Month,Arbitrage Type,Gain
2016-01,Buy Call,26545.613003303715
2016-01,Buy Call,52672.697321387575
2016-01,Buy Call,78365.05893805779
2016-01,Buy Call,103606.48798594951
2016-01,Buy Call,99631.19920589491
2016-01,Buy Call,95420.5819991536
2016-01,Buy Call,177158.5546446097
2016-01,Buy Call,202535.42935219215
2016-01,Buy Call,222309.69095252285
2016-01,Buy Call,241668.87412066985
2016-01,Buy Call,260596.0769891862
2016-01,Buy Call,252401.8100864538
2016-01,Buy Call,278453.7363016337
2016-01,Buy Call,280104.5911858644
2016-01,Buy Call,301294.33576791873
2016-01,Buy Call,298719.81616771314
2016-01,Buy Call,296134.3321375427
2016-01,Buy Call,293539.10967984475
2016-01,Buy Call,290933.9317530222
2016-01,Buy Call,319757.50439142913
2016-01,Buy Call,285689.24431068153
2016-01,Buy Call,255490.74258989003
2016-01,Buy Call,257399.47642877503
2016-01,Buy Call,259303.48925675516
2016-01,Buy Call,261202.88083487787
2016-01,Buy Call,274600.3692763086
2016-01,Buy Call,282299.8683318581
2016-01,Buy Call,331800.0248851316
2016-01,Buy Call,300213.6406414841
2016-01,Buy Call,294798.14441456395
2016-01,Buy Call,289339.20819972944
2016-02,Buy Call,283839.23546519974
2016-02,Buy Call,296577.9522377847
2016-02,Buy Call,319042.4906345548
2016-02,Buy Call,283114.496927066
2016-02,Buy Call,343382.4240605432
2016-02,Buy Call,365419.1949321657
2016-02,Buy Call,386487.1904111116
2016-02,Buy Call,406515.04377904144
2016-02,Buy Call,387644.9959452
2016-02,Buy Call,342648.4133644117
2016-02,Buy Call,389979.3044778104
2016-02,Buy Call,362078.0208303138
2016-02,Buy Call,350428.43784587417
2016-02,Buy Call,338512.6324856795
2016-02,Buy Call,326326.6601319774
2016-02,Buy Call,313858.1758584493
2016-02,Buy Call,272943.36198326084
2016-02,Buy Call,283914.4011307457
2016-02,Buy Call,284884.38979341526
2016-02,Buy Call,274819.5817259944
2016-02,Buy Call,264610.7372654551
2016-02,Buy Call,254260.88748711173
2016-02,Buy Call,295139.19060357806
2016-02,Buy Call,307154.76717128
2016-02,Buy Call,289748.30172411713
2016-02,Buy Call,272693.5294138695
2016-02,Buy Call,274429.4084372001
2016-02,Buy Call,276161.3182052773
2016-02,Buy Call,277888.7169898141
2016-03,Buy Call,237478.6353687277
2016-03,Buy Call,200928.234636617
2016-03,Buy Call,199394.19785680456
2016-03,Buy Call,176949.93370819034
2016-03,Buy Call,174062.52656676457
2016-03,Buy Call,171167.63572935766
2016-03,Buy Call,168264.76430050618
2016-03,Buy Call,238095.5098704103
2016-03,Buy Call,245865.07167324357
2016-03,Buy Call,255291.8259006969
2016-03,Buy Call,198819.238103507
2016-03,Buy Call,198506.41699232697
2016-03,Buy Call,198193.39959991566
2016-03,Buy Call,197880.5003051285
2016-03,Buy Call,236919.58480630504
2016-03,Buy Call,222041.57041995742
2016-03,Buy Call,189085.6754016248
2016-03,Buy Call,129525.79264164044
2016-03,Buy Call,135269.50805286475
2016-03,Buy Call,140986.2743686503
2016-03,Buy Call,146675.84628091034
2016-03,Buy Call,150101.75450255047
2016-03,Buy Call,157702.52844201593
2016-03,Buy Call,180153.11068404926
2016-03,Buy Call,177890.61654653438
2016-03,Buy Call,175623.28660054406
2016-03,Buy Call,173351.19802027778
2016-03,Buy Call,171074.2945055621
2016-03,Buy Call,148929.19220007883
2016-03,Buy Call,127203.66926154724
2016-03,Buy Call,143423.07915509876
2016-04,Buy Call,128711.91484804712
2016-04,Buy Call,127421.51408299663
2016-04,Buy Call,126129.7466553728
2016-04,Buy Call,124836.70615512565
2016-04,Buy Call,170242.29456053418
2016-04,Buy Call,140073.46951832034
2016-04,Buy Call,162647.69925985334
2016-04,Buy Call,159777.42269998175
2016-04,Buy Call,160044.38920411345
2016-04,Buy Call,160311.27152070112
2016-04,Buy Call,160578.08308879728
2016-04,Buy Call,157285.49366178157
2016-04,Buy Call,99952.66495904786
2016-04,Buy Call,77284.94932114315
2016-04,Buy Call,90051.87618860688
2016-04,Buy Call,78049.75266956759
2016-04,Buy Call,65947.00877751336
2016-04,Buy Call,53745.27486770475
2016-04,Buy Call,44895.84471059871
2016-04,Buy Call,40396.57721716594
2016-04,Buy Call,24061.24306972046
2016-04,Buy Call,26121.478736989444
2016-04,Buy Call,27960.99566276666
2016-04,Buy Call,29799.856011663906
2016-04,Buy Call,31635.994199145756
2016-04,Buy Call,47247.48363873488
2016-04,Buy Call,46512.44592680115
2016-04,Buy Call,36461.07966631362
2016-04,Buy Call,99763.08705484627
2016-04,Buy Call,79277.12623389027
2016-05,Buy Call,58494.66771839929
2016-05,Buy Call,37424.354762318755
2016-05,Buy Call,61934.89334317803
2016-05,Buy Call,93567.05873039672
2016-05,Buy Call,85320.41201626229
2016-05,Buy Call,52570.52135505802
2016-05,Buy Call,49285.5937609491
2016-05,Buy Call,45993.72936474566
2016-05,Buy Call,42694.930913519616
2016-05,Buy Call,14828.406581624875
2016-05,Buy Put,41746.735563016555
2016-05,Buy Put,34342.418379221584
2016-05,Buy Put,35054.223172288344
2016-05,Buy Put,38645.0706403032
2016-05,Buy Put,42226.757333150286
2016-05,Buy Put,45799.197396441115
2016-05,Buy Put,125305.76344265044
2016-05,Buy Put,137627.3127189762
2016-05,Buy Put,141261.8466366844
2016-05,Buy Put,169579.54090832671
2016-05,Buy Put,164043.8364385304
2016-05,Buy Put,158484.07766645422
2016-05,Buy Put,152900.17229906638
2016-05,Buy Put,170148.50368391167
2016-05,Buy Put,196905.75670104593
2016-05,Buy Put,191501.23391301578
2016-05,Buy Put,210565.80923719535
2016-05,Buy Put,210396.67112820837
