Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,222759.61749601513
2016-01,Buy Call,26376.255201412845
2016-01,Buy Put,111482.58599466487
2016-01,Buy Put,12563.530394224643
2016-01,Buy Put,134416.63124253368
2016-01,Buy Put,31557.89608759818
2016-01,Buy Call,29137.494443070012
2016-01,Buy Call,73261.70823589707
2016-01,Buy Call,89570.27776578741
2016-01,Buy Put,195658.12450145435
2016-01,Buy Call,176376.47811533164
2016-01,Buy Call,360145.1672442639
2016-01,Buy Call,217817.66928253532
2016-01,Buy Call,90733.36136979649
2016-01,Buy Put,13183.345642108436
2016-01,Buy Put,160139.058908376
2016-01,Buy Put,198186.3226517895
2016-01,Buy Put,475553.4333448832
2016-01,Buy Put,94896.95379034657
2016-01,Buy Call,33398.091843999115
2016-01,Buy Call,127815.8392835671
2016-02,Buy Call,163178.2530768895
2016-02,Buy Put,11961.8897334135
2016-02,Buy Put,219020.09228929842
2016-02,Buy Call,162094.18483620652
2016-02,Buy Put,390198.47913953144
2016-02,Buy Put,434468.1325458861
2016-02,Buy Put,442190.5565646345
2016-02,Buy Put,420415.34482961753
2016-02,Buy Put,56138.05917559489
2016-02,Buy Call,454272.74134863005
2016-02,Buy Put,89569.60238335122
2016-02,Buy Call,232990.10024439858
2016-02,Buy Call,259780.1470154426
2016-02,Buy Call,257082.3539450071
2016-02,Buy Call,223506.5021418645
2016-02,Buy Call,199711.53110211226
2016-02,Buy Call,398662.91379560437
2016-02,Buy Call,129529.4700598717
2016-02,Buy Call,3718.8623688457765
2016-02,Buy Call,26357.783745314835
2016-02,Buy Call,37788.641991635785
2016-02,Buy Call,77442.38917612734
2016-02,Buy Put,309567.01657829556
2016-02,Buy Put,324021.42721968197
2016-02,Buy Put,82517.98410768884
2016-02,Buy Call,130421.5042731336
2016-02,Buy Call,96575.04584390252
2016-02,Buy Call,44106.72250464032
2016-02,Buy Call,397.8535007824746
2016-03,Buy Call,322561.81099692505
2016-03,Buy Call,450838.3716151947
2016-03,Buy Call,287760.0418762896
2016-03,Buy Call,288009.3482787291
2016-03,Buy Call,146897.92282869617
2016-03,Buy Call,45388.33811230347
2016-03,Buy Put,16336.899722006137
2016-03,Buy Put,494958.60763863317
2016-03,Buy Put,420327.97676750633
2016-03,Buy Put,333147.5925345995
2016-03,Buy Call,289680.61644119915
2016-03,Buy Call,269219.94390405325
2016-03,Buy Call,212848.37131069522
2016-03,Buy Call,143130.49164437075
2016-03,Buy Put,238421.0393823718
2016-03,Buy Put,73606.57196808873
2016-03,Buy Call,211797.21137560037
2016-03,Buy Call,512859.9647604748
2016-03,Buy Call,316373.6507988073
2016-03,Buy Call,123927.70099825868
2016-03,Buy Put,23393.514276463633
2016-03,Buy Put,100913.65606346159
2016-03,Buy Put,162563.9006106745
2016-03,Buy Put,281449.77407789894
2016-03,Buy Put,177406.86316428622
2016-03,Buy Put,64600.75219473538
2016-03,Buy Call,27275.443978012958
2016-03,Buy Call,79240.99999176804
2016-03,Buy Call,235171.82800881643
2016-03,Buy Call,310318.1241872619
2016-03,Buy Call,67715.93758548988
2016-04,Buy Call,120123.37341405299
2016-04,Buy Call,50270.67201305613
2016-04,Buy Call,7225.868990499152
2016-04,Buy Put,10589.822058911124
2016-04,Buy Put,329986.1823152792
2016-04,Buy Put,12675.598104291197
2016-04,Buy Put,151916.89453311596
2016-04,Buy Put,51509.21841634215
2016-04,Buy Put,3993.2000335589637
2016-04,Buy Call,17421.71598531783
2016-04,Buy Call,33923.249637862085
2016-04,Buy Call,62615.93647007047
2016-04,Buy Call,436258.5982895553
2016-04,Buy Call,428926.9783838776
2016-04,Buy Call,166297.62347483635
2016-04,Buy Call,137376.04295733874
2016-04,Buy Call,115149.49061500345
2016-04,Buy Call,112515.23348169457
2016-04,Buy Call,87646.21953812934
2016-04,Buy Call,44618.66645915435
2016-04,Buy Call,117558.89770372008
2016-04,Buy Call,37470.59187207569
2016-04,Buy Put,10238.197085573831
2016-04,Buy Put,43302.64626611324
2016-04,Buy Put,55568.78520393127
2016-04,Buy Put,142756.10771713688
2016-04,Buy Put,80281.55582492857
2016-04,Buy Call,44336.61793197885
2016-04,Buy Put,357010.2994509128
2016-04,Buy Put,86978.11189697546
2016-05,Buy Call,149093.93399929273
2016-05,Buy Call,285052.1754661344
2016-05,Buy Call,35576.0248375212
2016-05,Buy Put,205469.52291745413
2016-05,Buy Put,80935.58915409815
2016-05,Buy Call,207966.89160469838
2016-05,Buy Call,177523.4310406013
2016-05,Buy Call,140211.427150831
2016-05,Buy Call,97736.09576780017
2016-05,Buy Call,248583.55675527832
2016-05,Buy Call,501590.2080734307
2016-05,Buy Call,259711.6639549526
2016-05,Buy Call,98914.73582270293
2016-05,Buy Call,18682.35588193201
2016-05,Buy Put,10243.031379815193
2016-05,Buy Put,17205.423085201233
2016-05,Buy Call,530405.6389860588
2016-05,Buy Call,430577.9936603074
2016-05,Buy Call,262962.747619639
2016-05,Buy Call,319721.3965077843
2016-05,Buy Call,85497.06561143111
2016-05,Buy Put,90032.460483922
2016-05,Buy Put,158040.50009968763
2016-05,Buy Call,14038.398946794929
2016-05,Buy Call,235447.10374575574
2016-05,Buy Call,103003.95504814475
2016-05,Buy Call,212520.76230924999
2016-05,Buy Call,101987.06169902039
2016-05,Buy Call,18812.362589816446
2016-05,Buy Put,27305.586854549092
2016-05,Buy Put,43549.20599546475
2016-06,Buy Call,40715.226963673245
2016-06,Buy Call,85834.46577818066
2016-06,Buy Put,114132.4705695972
2016-06,Buy Put,46844.57561574007
2016-06,Buy Call,7105.571817859868
2016-06,Buy Call,52259.215793732496
2016-06,Buy Put,11087.324525664855
2016-06,Buy Call,110717.24946162931
2016-06,Buy Call,77902.1838454952
2016-06,Buy Put,237459.47181556915
2016-06,Buy Put,184711.8054540715
2016-06,Buy Put,126487.20671427327
2016-06,Buy Put,72896.22432922726
2016-06,Buy Put,214450.72307931312
2016-06,Buy Call,87043.22001519316
2016-06,Buy Call,15960.112387670477
2016-06,Buy Call,138498.40603274188
2016-06,Buy Call,259715.78173399123
2016-06,Buy Call,314832.99307889823
2016-06,Buy Call,318670.4363132833
2016-06,Buy Call,123712.8207554825
2016-06,Buy Call,57465.75615032867
2016-06,Buy Call,166994.6471677193
2016-06,Buy Put,661925.9871958345
2016-06,Buy Put,651594.8547398444
2016-06,Buy Put,599619.4480039456
2016-06,Buy Put,516886.6566416685
2016-06,Buy Put,142986.3076293394
2016-06,Buy Call,581198.7376853001
2016-06,Buy Call,632459.2240361114
2016-07,Buy Call,614353.9400135421
2016-07,Buy Call,322900.13870408176
2016-07,Buy Call,29678.037460101335
2016-07,Buy Put,159168.7236192776
2016-07,Buy Put,230411.7673322459
2016-07,Buy Call,1449.0073608364185
2016-07,Buy Call,143789.122246627
2016-07,Buy Call,498117.6846833808
2016-07,Buy Call,360605.2438384886
2016-07,Buy Call,210366.72745013618
2016-07,Buy Call,88940.06007006539
2016-07,Buy Call,385060.30883284484
2016-07,Buy Call,225637.23379697365
2016-07,Buy Call,233583.92162979415
2016-07,Buy Call,6062.9836376158155
2016-07,Buy Put,59234.353609358695
2016-07,Buy Put,70952.89237397395
2016-07,Buy Put,59495.07226774742
2016-07,Buy Put,91310.96440053455
2016-07,Buy Call,160589.4423038663
2016-07,Buy Put,54858.8256016167
2016-07,Buy Put,120036.08565521873
2016-07,Buy Put,147052.86126472926
2016-07,Buy Put,147460.95286044892
2016-07,Buy Put,134908.75371759615
