Month,Arbitrage Type,Gain
2016-01,Buy Put,16678.724047466174
2016-01,Buy Put,25050.641280209617
2016-01,Buy Put,33405.88878801043
2016-01,Buy Put,41743.417160923
2016-01,Buy Call,15546.151704384669
2016-01,Buy Put,16914.472351700737
2016-01,Buy Put,21510.96444595879
2016-01,Buy Call,78565.77847076097
2016-01,Buy Call,133076.5404642804
2016-01,Buy Call,186974.36414003477
2016-01,Buy Call,240242.8068492668
2016-01,Buy Call,169065.25036355192
2016-01,Buy Put,56364.497700784
2016-01,Buy Call,36378.48154134105
2016-01,Buy Call,138100.5781039235
2016-01,Buy Call,177335.96434093357
2016-01,Buy Call,216239.30070826702
2016-01,Buy Call,254806.01436807858
2016-01,Buy Call,293031.56892183324
2016-01,Buy Call,415433.41474304895
2016-01,Buy Call,736788.9333681959
2016-01,Buy Call,734536.9495032657
2016-01,Buy Call,789112.2543517284
2016-01,Buy Call,842580.9325738953
2016-01,Buy Call,894924.4197415353
2016-01,Buy Call,888347.6939938078
2016-01,Buy Call,1076235.350106238
2016-01,Buy Call,1240414.8006342908
2016-01,Buy Call,1211824.281351319
2016-01,Buy Call,1183133.1043333649
2016-01,Buy Call,1153919.9562452752
2016-02,Buy Call,1124188.826198022
2016-02,Buy Call,1085925.2136767453
2016-02,Buy Call,1182747.3960798045
2016-02,Buy Call,1147527.8091942798
2016-02,Buy Call,1107690.5067392744
2016-02,Buy Call,1157317.9606822564
2016-02,Buy Call,1205511.625520792
2016-02,Buy Call,1252253.458885093
2016-02,Buy Call,1420031.3270687275
2016-02,Buy Call,1432508.4683715303
2016-02,Buy Call,1580678.3317097484
2016-02,Buy Call,1694036.8014544623
2016-02,Buy Call,1711548.8042040356
2016-02,Buy Call,1728371.8794315278
2016-02,Buy Call,1744508.3152217187
2016-02,Buy Call,1759960.7678405675
2016-02,Buy Call,1758372.0356807148
2016-02,Buy Call,1703575.5028322903
2016-02,Buy Call,1680889.7759222107
2016-02,Buy Call,1696553.6095000324
2016-02,Buy Call,1726528.4422575461
2016-02,Buy Call,1754406.8063701417
2016-02,Buy Call,1770422.6749916251
2016-02,Buy Call,1791679.0730799192
2016-02,Buy Call,1855643.4699249032
2016-02,Buy Call,1801015.27177656
2016-02,Buy Call,1777578.9117266142
2016-02,Buy Call,1752169.3599777387
2016-02,Buy Call,1724769.245310096
2016-03,Buy Call,1640496.1295775706
2016-03,Buy Call,1680529.2530173687
2016-03,Buy Call,1802774.6646288882
2016-03,Buy Call,1885275.6097656887
2016-03,Buy Call,1873609.563959608
2016-03,Buy Call,1860731.759084903
2016-03,Buy Call,1846623.0678229288
2016-03,Buy Call,1814298.6214806617
2016-03,Buy Call,1833638.6091553418
2016-03,Buy Call,1862565.9615780688
2016-03,Buy Call,1818059.7687603708
2016-03,Buy Call,1824610.9551714512
2016-03,Buy Call,1830967.8903002774
2016-03,Buy Call,1837131.4665578478
2016-03,Buy Call,1874062.8735212113
2016-03,Buy Call,1868107.4123873583
2016-03,Buy Call,1841769.5017967173
2016-03,Buy Call,1882015.4266424787
2016-03,Buy Call,1883538.079907483
2016-03,Buy Call,1885039.1705198425
2016-03,Buy Call,1886518.7615939565
2016-03,Buy Call,1853116.389825498
2016-03,Buy Call,1791548.7779721194
2016-03,Buy Call,1778169.4181441949
2016-03,Buy Call,1787040.9022440389
2016-03,Buy Call,1795643.9901593307
2016-03,Buy Call,1803979.7577643455
2016-03,Buy Call,1812049.3424389253
2016-03,Buy Call,1817649.088213029
2016-03,Buy Call,1831054.601651214
2016-03,Buy Call,1867088.5353902874
2016-04,Buy Call,1831349.9104516087
2016-04,Buy Call,1819141.5452370024
2016-04,Buy Call,1806230.9089188683
2016-04,Buy Call,1792612.5600555735
2016-04,Buy Call,1772580.0053462635
2016-04,Buy Call,1724240.5447005923
2016-04,Buy Call,1669246.7003569433
2016-04,Buy Call,1637329.4825251605
2016-04,Buy Call,1609682.189619793
2016-04,Buy Call,1580819.962128583
2016-04,Buy Call,1550745.0488595716
2016-04,Buy Call,1547885.1857021567
2016-04,Buy Call,1608825.0172042286
2016-04,Buy Call,1621637.6281599097
2016-04,Buy Call,1624444.7851180972
2016-04,Buy Call,1615061.1706771408
2016-04,Buy Call,1605539.3306417365
2016-04,Buy Call,1595879.2085402892
2016-04,Buy Call,1547150.4026564702
2016-04,Buy Call,1441077.1965449527
2016-04,Buy Call,1358424.7538406835
2016-04,Buy Call,1293448.3696052297
2016-04,Buy Call,1296452.0494067245
2016-04,Buy Call,1299449.0078983104
2016-04,Buy Call,1302439.1582180215
2016-04,Buy Call,1260321.348568013
2016-04,Buy Call,1247322.594648992
2016-04,Buy Call,1225732.9925683464
2016-04,Buy Call,1311399.851104987
2016-04,Buy Call,1315185.6029860873
2016-05,Buy Call,1318960.3585211672
2016-05,Buy Call,1322724.0323773408
2016-05,Buy Call,1266608.1476303148
2016-05,Buy Call,1040315.1612990982
2016-05,Buy Call,984926.4471653712
2016-05,Buy Call,993606.6533764034
2016-05,Buy Call,941409.6003121912
2016-05,Buy Call,887955.1727409307
2016-05,Buy Call,833263.3755363261
2016-05,Buy Call,886587.3303598235
2016-05,Buy Call,928065.629791078
2016-05,Buy Call,956813.3287134018
2016-05,Buy Call,1037696.9906338473
2016-05,Buy Call,1015836.9384436341
2016-05,Buy Call,993738.2426941994
2016-05,Buy Call,971402.410971109
2016-05,Buy Call,968020.4385577866
2016-05,Buy Call,800039.9240071658
2016-05,Buy Call,728954.1213627686
2016-05,Buy Call,755598.140927816
2016-05,Buy Call,861377.7791165945
2016-05,Buy Call,962751.729501349
2016-05,Buy Call,1059583.5042184945
2016-05,Buy Call,1202565.4991121755
2016-05,Buy Call,1173372.328104726
2016-05,Buy Call,1246020.5335437208
2016-05,Buy Call,1330713.1996426377
2016-05,Buy Call,1336986.342089883
2016-05,Buy Call,1343228.0394764575
2016-05,Buy Call,1349438.2934371175
2016-05,Buy Call,1355616.9290180157
2016-06,Buy Call,1381929.3188273108
2016-06,Buy Call,1686540.0443464757
2016-06,Buy Call,1778296.1479393898
