Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,636029.5478617104
2016-01,Buy Put,236371.83622631142
2016-01,Buy Call,698239.1227118754
2016-01,Buy Call,208978.5690243815
2016-01,Buy Put,230295.5594286402
2016-01,Buy Put,326467.3704400067
2016-01,Buy Put,398829.005620442
2016-01,Buy Put,457955.3595299331
2016-01,Buy Put,498733.46984740155
2016-01,Buy Put,806717.948910034
2016-01,Buy Put,1545315.0243963662
2016-01,Buy Put,1257783.910188209
2016-01,Buy Put,1141006.4725201963
2016-01,Buy Put,1044640.3977085126
2016-01,Buy Put,965098.7666777908
2016-01,Buy Put,681918.453995749
2016-01,Buy Put,1173518.714423082
2016-01,Buy Put,1452276.0134989454
2016-01,Buy Put,1048234.7064266548
2016-01,Buy Put,656535.5556625363
2016-01,Buy Put,307516.93608399224
2016-02,Buy Put,12139.782729597926
2016-02,Buy Call,270165.5368987303
2016-02,Buy Put,268654.21194829507
2016-02,Buy Call,12935.008201424125
2016-02,Buy Call,259732.30897906775
2016-02,Buy Put,58521.301638783996
2016-02,Buy Put,299340.5372430118
2016-02,Buy Put,478336.3365269579
2016-02,Buy Put,1159828.0238322117
2016-02,Buy Put,990676.9809530047
2016-02,Buy Put,1441691.9665481132
2016-02,Buy Put,1702162.0611739366
2016-02,Buy Put,1508760.9824167246
2016-02,Buy Put,1311082.1479124404
2016-02,Buy Put,1120862.8602052997
2016-02,Buy Put,949769.8825520615
2016-02,Buy Put,656292.1378159246
2016-02,Buy Call,167578.34224952006
2016-02,Buy Call,603375.4195457917
2016-02,Buy Call,232467.21403347692
2016-02,Buy Put,106262.39802292759
2016-02,Buy Put,366432.96904974675
2016-02,Buy Put,455450.1619454143
2016-02,Buy Put,582472.5543235232
2016-02,Buy Put,1148289.7167257455
2016-02,Buy Put,235468.22732452455
2016-02,Buy Call,183515.43275446858
2016-02,Buy Call,503434.0970275437
2016-02,Buy Call,723225.1174711663
2016-03,Buy Call,1349771.4854389073
2016-03,Buy Call,840086.9400131227
2016-03,Buy Put,788208.88077027
2016-03,Buy Put,1489235.8834247936
2016-03,Buy Put,1135495.4070520087
2016-03,Buy Put,735586.8868399042
2016-03,Buy Put,328867.8868864565
2016-03,Buy Call,324698.4870263958
2016-03,Buy Call,25061.966001040048
2016-03,Buy Put,397698.631463534
2016-03,Buy Call,467519.1001990626
2016-03,Buy Call,320161.24471783766
2016-03,Buy Call,180689.98393925285
2016-03,Buy Call,43526.5481832019
2016-03,Buy Put,585492.0813870095
2016-03,Buy Put,357461.0356723156
2016-03,Buy Call,213908.79666099494
2016-03,Buy Put,528387.0171617906
2016-03,Buy Put,420552.0962559035
2016-03,Buy Put,332122.0182325888
2016-03,Buy Put,258185.6087105834
2016-03,Buy Call,510487.17577142356
2016-03,Buy Call,1197525.9738744306
2016-03,Buy Call,1128906.772038743
2016-03,Buy Call,832636.3067660623
2016-03,Buy Call,546222.8767306386
2016-03,Buy Call,290632.09702509595
2016-03,Buy Call,79052.35436978585
2016-03,Buy Put,53143.42454120435
2016-03,Buy Put,255134.29997377557
2016-03,Buy Put,736671.8385667639
2016-04,Buy Put,17402.0693087229
2016-04,Buy Call,216453.93551368386
2016-04,Buy Call,396966.69623025827
2016-04,Buy Call,523589.8514080546
2016-04,Buy Call,670314.196630045
2016-04,Buy Call,1010413.7359896512
2016-04,Buy Call,1333922.4645435445
2016-04,Buy Call,1282884.8021130988
2016-04,Buy Call,1193481.8720072436
2016-04,Buy Call,1108011.1672794572
2016-04,Buy Call,1029733.1643526632
2016-04,Buy Call,795890.204622772
2016-04,Buy Call,97405.25766501662
2016-04,Buy Put,92598.88578236541
2016-04,Buy Put,134759.10427668225
2016-04,Buy Put,46946.772938504466
2016-04,Buy Call,43510.17473928209
2016-04,Buy Call,128604.17666237822
2016-04,Buy Call,498728.82271156274
2016-04,Buy Call,1062264.825088981
2016-04,Buy Call,1268968.680966207
2016-04,Buy Call,1315630.9281348335
2016-04,Buy Call,1043245.5172158086
2016-04,Buy Call,785893.4853397344
2016-04,Buy Call,558403.4158424558
2016-04,Buy Call,623043.6126794388
2016-04,Buy Call,518765.0768881866
2016-04,Buy Call,488190.1681597753
2016-04,Buy Put,165268.00273152985
2016-04,Buy Put,175841.7498998952
2016-05,Buy Put,167764.93095363065
2016-05,Buy Put,148589.27906866625
2016-05,Buy Call,245902.72937215475
2016-05,Buy Call,1271931.6197493314
2016-05,Buy Call,1252216.2018687765
2016-05,Buy Call,977541.7862214439
2016-05,Buy Call,977141.1591354848
2016-05,Buy Call,966711.7227799906
2016-05,Buy Call,952089.5038600869
2016-05,Buy Call,478907.54151601554
2016-05,Buy Call,111671.24784385152
2016-05,Buy Put,112497.25442907277
2016-05,Buy Put,500821.4849129473
2016-05,Buy Put,311703.6394472095
2016-05,Buy Put,131752.51823587785
2016-05,Buy Call,26667.4474008326
2016-05,Buy Call,57821.802182800755
2016-05,Buy Call,834278.9361723532
2016-05,Buy Call,954715.8660036743
2016-05,Buy Call,657267.5855611934
2016-05,Buy Call,3137.579413447611
2016-05,Buy Put,486650.20064666466
2016-05,Buy Put,812281.6335141608
2016-05,Buy Put,1208091.1275053907
2016-05,Buy Put,862525.9869432043
2016-05,Buy Put,972052.7028995036
2016-05,Buy Put,1102516.20564312
2016-05,Buy Put,875735.6164217001
2016-05,Buy Put,668529.6947770567
2016-05,Buy Put,492611.2768801687
2016-05,Buy Put,354629.4010670934
2016-06,Buy Put,372781.7237367006
2016-06,Buy Put,1697791.4710851465
2016-06,Buy Put,1842587.0241693172
2016-06,Buy Put,1762588.5427108959
2016-06,Buy Put,1680268.6417335514
2016-06,Buy Put,1598524.044410123
2016-06,Buy Put,1507536.441052487
2016-06,Buy Put,873473.2636265043
2016-06,Buy Put,366918.0229905606
2016-06,Buy Put,650682.4330861036
2016-06,Buy Put,517970.5218375545
2016-06,Buy Put,432274.2113886946
2016-06,Buy Put,390571.3689599537
2016-06,Buy Put,90006.68034195769
2016-06,Buy Put,34604.71531865039
2016-06,Buy Call,50647.36910638601
2016-06,Buy Put,761736.9418228179
2016-06,Buy Put,623852.3791429031
2016-06,Buy Put,498462.4697451423
2016-06,Buy Put,387488.94378178986
2016-06,Buy Call,496868.1056106519
2016-06,Buy Call,1025687.9367205797
2016-06,Buy Call,996588.4771972746
2016-06,Buy Call,728425.8162930328
2016-06,Buy Call,678804.1051819675
2016-06,Buy Call,628234.1356604917
2016-06,Buy Call,581374.5818540923
2016-06,Buy Call,1023319.1599666149
2016-06,Buy Call,1184847.9568281577
2016-06,Buy Call,1388227.1517640809
2016-07,Buy Call,1363267.1938207857
2016-07,Buy Call,1148867.2331669428
2016-07,Buy Call,953393.0076573327
2016-07,Buy Call,781181.1272678568
2016-07,Buy Call,638088.0333402387
2016-07,Buy Call,375845.8449406135
2016-07,Buy Put,107438.9660699353
2016-07,Buy Put,711206.1805468884
2016-07,Buy Put,577504.7873026651
2016-07,Buy Put,446236.73686898965
2016-07,Buy Put,321968.55465617345
2016-07,Buy Call,137635.1873878363
2016-07,Buy Call,515973.937056664
2016-07,Buy Call,353867.7743950274
2016-07,Buy Call,445685.3860293535
2016-07,Buy Call,329576.78056017414
2016-07,Buy Call,226632.61878508222
2016-07,Buy Call,136225.00490355803
2016-07,Buy Put,456799.9589981966
2016-07,Buy Put,597475.0704034974
2016-07,Buy Put,305487.19834596483
2016-07,Buy Put,550852.7930401143
2016-07,Buy Put,503795.15399482247
2016-07,Buy Put,459201.086604196
