Month,Arbitrage Type,Gain
2016-01,Buy Call,8891.05008429425
2016-01,Buy Call,8732.097396347172
2016-01,Buy Call,8573.13791868819
2016-01,Buy Call,8414.171656283997
2016-01,Buy Call,8289.064538296032
2016-01,Buy Call,6469.79289934535
2016-01,Buy Call,11348.233355107595
2016-01,Buy Call,6861.684169557237
2016-01,Buy Call,5872.670506398947
2016-01,Buy Call,4883.397857412319
2016-01,Buy Call,3893.867247484195
2016-01,Buy Call,3221.749746707303
2016-01,Buy Call,139.56190796449164
2016-01,Buy Put,7588.834447922465
2016-01,Buy Put,11293.178592197251
2016-01,Buy Put,10957.550055294974
2016-01,Buy Put,10621.880424352526
2016-01,Buy Put,10286.188455921774
2016-01,Buy Put,9950.46468841565
2016-01,Buy Put,10178.172955548347
2016-01,Buy Put,5593.816875453684
2016-01,Buy Put,8802.849137374835
2016-01,Buy Put,9558.310782416867
2016-01,Buy Put,10313.61085622251
2016-01,Buy Put,11068.75942713259
2016-01,Buy Put,9935.980972457513
2016-01,Buy Put,14247.117727826719
2016-01,Buy Put,20158.187273828786
2016-01,Buy Put,21569.30595790385
2016-01,Buy Put,22713.155227940264
2016-01,Buy Put,23856.652608515105
2016-02,Buy Put,24999.80175980454
2016-02,Buy Put,27789.855072015256
2016-02,Buy Put,30131.32777154226
2016-02,Buy Put,22511.624022349963
2016-02,Buy Put,10138.747480041842
2016-02,Buy Put,11540.639945607723
2016-02,Buy Put,12941.971312287136
2016-02,Buy Put,14342.754452172812
2016-02,Buy Put,8810.093325315904
2016-02,Buy Call,6804.71528151827
2016-02,Buy Call,17564.752829926532
2016-02,Buy Call,37788.244388423205
2016-02,Buy Call,38358.36617483324
2016-02,Buy Call,38928.38115301345
2016-02,Buy Call,39498.29820756179
2016-02,Buy Call,40068.1124769946
2016-02,Buy Call,45461.01428419291
2016-02,Buy Call,45967.022424996176
2016-02,Buy Call,53437.70931456504
2016-02,Buy Call,54208.374340881
2016-02,Buy Call,54977.78176986401
2016-02,Buy Call,55745.87281170551
2016-02,Buy Call,65420.58265718964
2016-02,Buy Call,61985.24470755018
2016-02,Buy Call,59351.6757283723
2016-02,Buy Call,57921.3035449726
2016-02,Buy Call,59130.435962657655
2016-02,Buy Call,57837.139263945406
2016-02,Buy Call,61926.07448200959
2016-03,Buy Call,65573.19672250372
2016-03,Buy Call,79781.64137509935
2016-03,Buy Call,75702.34102738027
2016-03,Buy Call,75618.76330871797
2016-03,Buy Call,77080.27767503011
2016-03,Buy Call,78540.95354404933
2016-03,Buy Call,80000.77254286708
2016-03,Buy Call,87216.9852005129
2016-03,Buy Call,98348.53832144574
2016-03,Buy Call,103180.08059454086
2016-03,Buy Call,111129.22628082345
2016-03,Buy Call,108662.57861228235
2016-03,Buy Call,106189.32806535497
2016-03,Buy Call,103713.20082275303
2016-03,Buy Call,96514.74243369763
2016-03,Buy Call,103382.83205780385
2016-03,Buy Call,98815.11594209513
