Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,339577.8289206248
2016-01,Buy Put,347383.7695522519
2016-01,Buy Put,195477.69844297136
2016-01,Buy Call,306215.9281912926
2016-01,Buy Call,361473.78570162656
2016-01,Buy Call,71503.10141027915
2016-01,Buy Put,125728.72228849263
2016-01,Buy Put,306244.01003901626
2016-01,Buy Put,444953.3570461952
2016-01,Buy Put,530068.8510960186
2016-01,Buy Put,894406.5617481911
2016-01,Buy Put,720600.5054524525
2016-01,Buy Put,727207.1426191999
2016-01,Buy Put,747720.8557090833
2016-01,Buy Put,736144.3903068121
2016-01,Buy Put,816985.3444857793
2016-01,Buy Put,548182.0318912085
2016-01,Buy Put,206180.74723792291
2016-01,Buy Put,278568.0510860189
2016-01,Buy Put,356278.95393067633
2016-01,Buy Put,401567.9376409693
2016-02,Buy Put,478971.15004830225
2016-02,Buy Put,432469.88080797164
2016-02,Buy Put,447688.98175772163
2016-02,Buy Put,1067884.1475966435
2016-02,Buy Put,1589191.4614785954
2016-02,Buy Put,1433926.921426867
2016-02,Buy Put,1286709.0491260279
2016-02,Buy Put,1167860.125195638
2016-02,Buy Put,1391574.4595131266
2016-02,Buy Put,1780661.1351202547
2016-02,Buy Put,1842934.2932104866
2016-02,Buy Put,1960440.1813590853
2016-02,Buy Put,1788706.3927094946
2016-02,Buy Put,1563193.0306921583
2016-02,Buy Put,1333031.3953221485
2016-02,Buy Put,1155668.2961737686
2016-02,Buy Put,1218808.469151032
2016-02,Buy Put,1031716.7368085585
2016-02,Buy Put,1141353.947375258
2016-02,Buy Put,913131.9255009807
2016-02,Buy Put,733085.1909067846
2016-02,Buy Put,587868.6683465801
2016-02,Buy Put,1001728.0186696027
2016-02,Buy Put,648293.273457064
2016-02,Buy Put,355804.3417643546
2016-02,Buy Put,127754.61551296274
2016-02,Buy Put,213611.37078347526
2016-02,Buy Put,283013.23099863395
2016-02,Buy Put,313248.3663182199
2016-03,Buy Put,471598.05254929664
2016-03,Buy Put,1112908.8643345817
2016-03,Buy Put,700529.1184558047
2016-03,Buy Put,516803.6957544686
2016-03,Buy Put,482903.66966121923
2016-03,Buy Put,479682.6404043131
2016-03,Buy Put,501396.4571874112
2016-03,Buy Put,807250.6609760382
2016-03,Buy Put,1160640.9291567346
2016-03,Buy Put,1145675.4854795542
2016-03,Buy Put,1227274.1568226132
2016-03,Buy Put,863633.2325308622
2016-03,Buy Put,504871.62291245366
2016-03,Buy Put,173376.88526419015
2016-03,Buy Call,441717.72903818864
2016-03,Buy Put,150483.47410760954
2016-03,Buy Call,200400.48636394658
2016-03,Buy Call,324287.1879236589
2016-03,Buy Call,459260.19793049735
2016-03,Buy Call,554800.3102034755
2016-03,Buy Call,601726.3916476523
2016-03,Buy Call,331274.35303662624
2016-03,Buy Call,239687.71818021394
2016-03,Buy Call,502764.3204184145
2016-03,Buy Call,310387.4807177718
2016-03,Buy Call,147214.64482625635
2016-03,Buy Put,13451.36873108288
2016-03,Buy Put,105666.75949727511
2016-03,Buy Put,220822.81315601192
2016-03,Buy Call,81229.03978475904
2016-03,Buy Call,230257.4849635235
2016-04,Buy Put,181344.78721954394
2016-04,Buy Put,123410.97844274885
2016-04,Buy Put,70912.76826275105
2016-04,Buy Call,7753.223051111036
2016-04,Buy Call,23384.783052193823
2016-04,Buy Call,153385.58193186458
2016-04,Buy Call,232588.5295024932
2016-04,Buy Call,80965.8371329789
2016-04,Buy Call,12271.472898468972
2016-04,Buy Put,23728.61373311963
2016-04,Buy Put,34646.024586535874
2016-04,Buy Put,98545.24994757696
2016-04,Buy Put,551653.6498716249
2016-04,Buy Call,477185.14049461193
2016-04,Buy Call,85099.9190701387
2016-04,Buy Put,188968.47508301563
2016-04,Buy Put,389334.194226862
2016-04,Buy Put,515142.57250672556
2016-04,Buy Put,320608.0451733371
2016-04,Buy Put,527783.8277513994
2016-04,Buy Call,195094.21249095027
2016-04,Buy Put,13848.612270166428
2016-04,Buy Put,1177.0065431946364
2016-04,Buy Put,6894.472319338263
2016-04,Buy Call,11505.010100030688
2016-04,Buy Call,120891.10186964547
2016-04,Buy Put,440852.9306240752
2016-04,Buy Put,349202.1515531718
2016-04,Buy Put,303397.6591491907
2016-04,Buy Put,114650.18422087781
2016-05,Buy Call,29337.66610048849
2016-05,Buy Call,134420.58214537412
2016-05,Buy Put,152409.7754760376
2016-05,Buy Put,188315.56242693638
2016-05,Buy Call,241816.77179682025
2016-05,Buy Put,499467.9270681459
2016-05,Buy Put,228097.3003745288
2016-05,Buy Put,579.2845435408367
2016-05,Buy Call,207595.31856285207
2016-05,Buy Call,83977.30658186476
2016-05,Buy Put,610572.4796993926
2016-05,Buy Put,769164.6566528511
2016-05,Buy Put,681070.584726637
2016-05,Buy Put,456550.3986823387
2016-05,Buy Put,258631.30049155813
2016-05,Buy Put,110993.64621066599
2016-05,Buy Call,682072.8951054207
2016-05,Buy Call,816045.163141741
2016-05,Buy Call,1113283.071724247
2016-05,Buy Call,1166457.1772776782
2016-05,Buy Call,1136574.2339472398
2016-05,Buy Call,1135950.3875971697
2016-05,Buy Call,1136833.8637106738
2016-05,Buy Call,1058562.6921315843
2016-05,Buy Call,673329.1471716285
2016-05,Buy Call,446150.68891900475
2016-05,Buy Call,204372.2406468689
2016-05,Buy Put,73804.54993598562
2016-05,Buy Put,276102.52832343464
2016-05,Buy Put,396774.08663399663
2016-05,Buy Put,473958.5660627768
2016-06,Buy Put,1415896.9045226576
2016-06,Buy Put,1494687.6852468876
2016-06,Buy Put,1270833.3027346903
2016-06,Buy Put,968342.785529341
2016-06,Buy Put,667341.3176722641
2016-06,Buy Put,444812.38145443314
2016-06,Buy Put,972587.7795701763
2016-06,Buy Put,1662203.0555601483
2016-06,Buy Put,1613333.9374492674
2016-06,Buy Put,1283625.4339084476
2016-06,Buy Put,1082229.678641454
2016-06,Buy Put,894852.385764679
2016-06,Buy Put,755291.7741289526
2016-06,Buy Put,804357.1037392176
2016-06,Buy Put,884270.3854707637
2016-06,Buy Put,898048.7773188805
2016-06,Buy Put,660384.8766835192
2016-06,Buy Put,471710.83984118665
2016-06,Buy Put,308663.69040500175
2016-06,Buy Put,170596.929699137
2016-06,Buy Call,61032.419379507985
2016-06,Buy Put,48941.37244213681
2016-06,Buy Put,965.8329938204702
2016-06,Buy Put,277415.73042636603
2016-06,Buy Put,217034.28875992613
2016-06,Buy Put,166204.19153565535
2016-06,Buy Put,125121.44852458818
2016-06,Buy Put,230393.84225128146
2016-06,Buy Put,345480.0142863945
2016-06,Buy Put,113495.11796601774
2016-07,Buy Call,259316.36390318148
2016-07,Buy Call,332712.9167565275
2016-07,Buy Call,380699.60730749485
2016-07,Buy Call,412013.2168649775
2016-07,Buy Call,425729.22093827615
2016-07,Buy Call,769015.907460961
2016-07,Buy Call,441872.6830465651
2016-07,Buy Call,239594.0752979371
2016-07,Buy Call,155381.9669469263
2016-07,Buy Call,85468.54431294548
2016-07,Buy Call,37484.38637190787
2016-07,Buy Put,127561.08124990817
2016-07,Buy Put,190346.0729029689
2016-07,Buy Call,197786.8758871537
2016-07,Buy Call,25218.354518351305
2016-07,Buy Put,167107.75466540185
2016-07,Buy Put,309792.7284575306
2016-07,Buy Put,417508.50358054234
2016-07,Buy Call,62767.51786855783
2016-07,Buy Put,225087.0050883762
2016-07,Buy Put,127965.11750499207
2016-07,Buy Call,349246.3126708856
2016-07,Buy Call,236345.44247016008
2016-07,Buy Call,132107.93681511036
