Month,Arbitrage Type,Gain
2016-01,Buy Call,20516.48115058313
2016-01,Buy Call,19124.970163378664
2016-01,Buy Call,17732.264548879328
2016-01,Buy Call,16338.047062799176
2016-01,Buy Call,39735.79442880748
2016-01,Buy Call,51220.04502954525
2016-01,Buy Call,14959.430715787646
2016-01,Buy Call,65523.070033211894
2016-01,Buy Call,89254.98806210185
2016-01,Buy Call,112942.19064973987
2016-01,Buy Call,136127.87645636714
2016-01,Buy Call,28546.57975354158
2016-01,Buy Call,18174.725957454284
2016-01,Buy Call,19648.98313756791
2016-01,Buy Call,54578.969288769484
2016-01,Buy Call,60897.56528479384
2016-01,Buy Call,67184.48822727296
2016-01,Buy Call,73424.81646708521
2016-01,Buy Call,79623.54120184045
2016-01,Buy Call,141977.45051692933
2016-01,Buy Call,55952.07729809815
2016-01,Buy Put,2359.463911208337
2016-01,Buy Put,11629.949453688227
2016-01,Buy Put,20815.975722278778
2016-01,Buy Put,29885.568142230313
2016-01,Buy Call,77941.15509295807
2016-01,Buy Call,193719.4015808501
2016-01,Buy Call,193385.48048627403
2016-01,Buy Call,118857.3247441127
2016-01,Buy Call,100724.80945788698
2016-01,Buy Call,82640.94723620018
2016-02,Buy Call,64429.77411763806
2016-02,Buy Call,74919.6025904233
2016-02,Buy Put,11283.30776297659
2016-02,Buy Put,14139.707987531836
2016-02,Buy Call,45265.062011630165
2016-02,Buy Call,140886.03552441724
2016-02,Buy Call,230291.46567664683
2016-02,Buy Call,313020.3918429331
2016-02,Buy Call,307258.3151188581
2016-02,Buy Call,337126.2544706255
2016-02,Buy Call,415550.6581442676
2016-02,Buy Call,466513.41654735565
2016-02,Buy Call,482519.22100731195
2016-02,Buy Call,497982.8188876354
2016-02,Buy Call,512934.32513180724
2016-02,Buy Call,527399.0413078717
2016-02,Buy Call,463008.9429590765
2016-02,Buy Call,478432.21545698534
2016-02,Buy Call,488598.5729346114
2016-02,Buy Call,500228.94346336246
2016-02,Buy Call,511566.777829076
2016-02,Buy Call,522623.1382971065
2016-02,Buy Call,505601.4413853589
2016-02,Buy Call,582029.9705793489
2016-02,Buy Call,576122.1363275428
2016-02,Buy Call,562809.4367694594
2016-02,Buy Call,561698.6395457353
2016-02,Buy Call,560584.4762826067
2016-02,Buy Call,559466.8994881733
2016-03,Buy Call,546903.2109709602
2016-03,Buy Call,501795.7165772966
2016-03,Buy Call,703066.2475804847
2016-03,Buy Call,684594.8792550605
2016-03,Buy Call,681723.0023249676
2016-03,Buy Call,678771.0559052674
2016-03,Buy Call,675739.2438922238
2016-03,Buy Call,659168.2730243376
