Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,197939.52807902926
2016-01,Buy Call,293408.3684749105
2016-01,Buy Call,290441.41624481766
2016-01,Buy Call,227630.90138927568
2016-01,Buy Call,32447.139075056697
2016-01,Buy Put,13632.70099367142
2016-01,Buy Put,44378.62420521199
2016-01,Buy Put,50831.66830346997
2016-01,Buy Put,49212.24398163915
2016-01,Buy Put,247607.9733368408
2016-01,Buy Call,171093.30375204835
2016-01,Buy Call,362287.30321324675
2016-01,Buy Call,323397.81491917564
2016-01,Buy Call,277920.85917412024
2016-01,Buy Call,230087.47295232723
2016-01,Buy Put,257828.78523162723
2016-01,Buy Put,542624.0736518473
2016-01,Buy Put,418910.1316758652
2016-01,Buy Put,9609.583609933026
2016-01,Buy Call,134371.6436989979
2016-01,Buy Call,227803.7905401007
2016-02,Buy Call,269745.2515314751
2016-02,Buy Call,168521.91327536304
2016-02,Buy Call,413176.8411609045
2016-02,Buy Call,316194.04237194714
2016-02,Buy Put,17582.96767793155
2016-02,Buy Put,364708.8715102296
2016-02,Buy Put,541547.9135467276
2016-02,Buy Put,625346.1850165678
2016-02,Buy Put,451064.6616131986
2016-02,Buy Put,391175.4777502807
2016-02,Buy Put,506785.2140391764
2016-02,Buy Put,521652.8896016346
2016-02,Buy Put,421585.9226594532
2016-02,Buy Put,344196.80159469304
2016-02,Buy Put,292923.32307439396
2016-02,Buy Put,258021.77738086483
2016-02,Buy Call,227738.09201668628
2016-02,Buy Call,123013.86913813416
2016-02,Buy Call,51012.52591373395
2016-02,Buy Put,32710.530315611664
2016-02,Buy Put,97239.4261272811
2016-02,Buy Put,140911.6955820231
2016-02,Buy Call,1257.1816406321545
2016-02,Buy Put,423185.90099952224
2016-02,Buy Put,291621.2571645378
2016-02,Buy Put,117523.16559932652
2016-02,Buy Put,50272.123197920846
2016-02,Buy Put,5989.926631418285
2016-02,Buy Call,22374.12735164668
2016-03,Buy Call,118706.5738929256
2016-03,Buy Call,363466.1706380236
2016-03,Buy Put,762524.4503618678
2016-03,Buy Put,606671.2017985152
2016-03,Buy Put,472688.61615686043
2016-03,Buy Put,320282.2549153002
2016-03,Buy Put,173424.35934817148
2016-03,Buy Call,102932.79157367507
2016-03,Buy Put,189829.72951901544
2016-03,Buy Call,53858.22266535101
2016-03,Buy Put,137605.51336629945
2016-03,Buy Put,173326.24792898167
2016-03,Buy Put,204832.88415536372
2016-03,Buy Put,229906.44262197436
2016-03,Buy Put,102820.20383912638
2016-03,Buy Call,153915.02635067765
2016-03,Buy Put,361726.98971720686
2016-03,Buy Put,168263.4890570629
2016-03,Buy Call,45838.73904014268
2016-03,Buy Call,213061.77248067825
2016-03,Buy Call,322935.5142284351
2016-03,Buy Call,475656.59887093934
2016-03,Buy Call,424414.5813352436
2016-03,Buy Call,269542.57441826357
2016-03,Buy Call,266884.31725256477
2016-03,Buy Call,260441.82102212333
2016-03,Buy Call,255092.37361227477
2016-03,Buy Call,247516.53642297277
2016-03,Buy Put,111668.02534181741
2016-03,Buy Put,79866.93386277466
2016-03,Buy Call,246464.2098736256
2016-04,Buy Call,324731.2164452083
2016-04,Buy Call,210631.98229245117
2016-04,Buy Call,106905.8992259464
2016-04,Buy Call,21167.633920015305
2016-04,Buy Put,58727.190308790254
2016-04,Buy Put,22996.9023871881
2016-04,Buy Put,308060.08185026457
2016-04,Buy Call,3703.089639135015
2016-04,Buy Call,23552.825457827
2016-04,Buy Call,40062.94410236322
2016-04,Buy Call,46205.59236612465
2016-04,Buy Call,82945.58440653078
2016-04,Buy Call,37274.64485061915
2016-04,Buy Call,15488.80832264743
2016-04,Buy Call,306031.1543164911
2016-04,Buy Call,299391.0944822851
2016-04,Buy Call,286082.8109374083
2016-04,Buy Call,274440.2778493083
2016-04,Buy Put,77122.48061814364
2016-04,Buy Call,59541.60916029494
2016-04,Buy Call,32321.540703570405
2016-04,Buy Call,314789.7638572452
2016-04,Buy Call,220821.71006551833
2016-04,Buy Call,140460.6942811206
2016-04,Buy Call,75063.57778374806
2016-04,Buy Call,216451.2415770119
2016-04,Buy Call,107208.72544235505
2016-04,Buy Put,46168.8521880248
2016-04,Buy Call,56878.78141183234
2016-04,Buy Call,104251.22847317425
2016-05,Buy Call,140231.78477636477
2016-05,Buy Call,165954.35602883413
2016-05,Buy Call,332246.172358726
2016-05,Buy Call,311439.1823331637
2016-05,Buy Call,277336.50936001196
2016-05,Buy Call,398180.5053759988
2016-05,Buy Call,231265.7440514947
2016-05,Buy Call,83661.20832499745
2016-05,Buy Put,30196.155142519387
2016-05,Buy Call,334595.2277379176
2016-05,Buy Call,116642.52638583505
2016-05,Buy Call,19193.99457766957
2016-05,Buy Call,104832.83371237207
2016-05,Buy Call,107165.41060985562
2016-05,Buy Call,108273.89584905589
2016-05,Buy Call,107582.98342862105
2016-05,Buy Call,237627.40757571167
2016-05,Buy Call,351066.1098942052
2016-05,Buy Call,155346.66173983424
2016-05,Buy Call,341737.99699052057
2016-05,Buy Call,221664.66129327135
2016-05,Buy Call,120322.16000349294
2016-05,Buy Call,42831.88648404135
2016-05,Buy Call,97876.65774965148
2016-05,Buy Call,96369.93168946618
2016-05,Buy Call,131742.75426199244
2016-05,Buy Call,131425.96319133305
2016-05,Buy Call,83099.77008239855
2016-05,Buy Call,42308.38187865516
2016-05,Buy Call,16762.062178766966
2016-05,Buy Put,2793.616730667026
2016-06,Buy Put,18300.024203004028
2016-06,Buy Put,776825.3487573649
2016-06,Buy Put,836322.6813347366
2016-06,Buy Put,765106.962547911
2016-06,Buy Put,654008.0774976937
2016-06,Buy Put,517581.2796921164
2016-06,Buy Put,399919.6202652868
2016-06,Buy Put,344795.4637133126
2016-06,Buy Put,104850.226513733
2016-06,Buy Put,219255.9005038497
2016-06,Buy Put,144586.68229772797
2016-06,Buy Put,102995.48435690653
2016-06,Buy Put,61089.12169012726
2016-06,Buy Put,44567.606448914885
2016-06,Buy Call,18591.928612931242
2016-06,Buy Put,148645.86721135353
2016-06,Buy Put,96428.33556809548
2016-06,Buy Put,27369.091590632168
2016-06,Buy Call,31626.669283131294
2016-06,Buy Call,76861.81041827211
2016-06,Buy Put,46837.05843558173
2016-06,Buy Put,79179.00656131849
2016-06,Buy Put,337472.78579723707
2016-06,Buy Put,40716.18489392392
2016-06,Buy Put,57325.99867002008
2016-06,Buy Put,69897.08904979608
2016-06,Buy Put,80317.78855638904
2016-06,Buy Call,118898.77171212148
2016-06,Buy Call,381622.31628658815
2016-06,Buy Call,430602.489373074
2016-07,Buy Call,481384.7048383977
2016-07,Buy Call,395541.24595194653
2016-07,Buy Call,311506.460328383
2016-07,Buy Call,235965.44686596844
2016-07,Buy Call,177671.1798039834
2016-07,Buy Call,131109.28227035145
2016-07,Buy Call,68308.50895596897
2016-07,Buy Put,120273.34230351982
2016-07,Buy Put,91991.43141276167
2016-07,Buy Put,61646.94541532256
2016-07,Buy Put,33458.85573064678
2016-07,Buy Put,87614.20520648855
2016-07,Buy Put,138234.3058934161
2016-07,Buy Put,94342.01191405123
2016-07,Buy Put,287070.06387004344
2016-07,Buy Put,251806.35938464847
2016-07,Buy Put,220226.289060248
2016-07,Buy Put,193453.15510433636
2016-07,Buy Put,321018.7341154267
2016-07,Buy Put,237273.9151777381
2016-07,Buy Put,335153.99161452206
2016-07,Buy Put,157216.48898568752
2016-07,Buy Put,28044.871533040805
2016-07,Buy Call,79758.67289351868
2016-07,Buy Call,155056.2474146595
2016-07,Buy Call,76970.3955358807
