Month,Arbitrage Type,Gain
2016-01,Buy Put,9473.643625540262
2016-01,Buy Put,19688.956540626634
2016-01,Buy Put,29876.570648980305
2016-01,Buy Put,40035.44398200631
2016-01,Buy Put,95163.2904952433
2016-01,Buy Call,44172.51419430812
2016-01,Buy Put,5683.179554544893
2016-01,Buy Put,174098.65166376194
2016-01,Buy Put,157544.12298003474
2016-01,Buy Put,140905.1821681331
2016-01,Buy Put,124187.90092961985
2016-01,Buy Put,109487.80474409858
2016-01,Buy Put,5966.398754985392
2016-01,Buy Call,119076.63710957195
2016-01,Buy Call,179072.97631685282
2016-01,Buy Call,152520.17066708134
2016-01,Buy Call,125781.10491832462
2016-01,Buy Call,98809.60421407537
2016-01,Buy Call,71654.48000385055
2016-01,Buy Call,26960.906026523902
2016-01,Buy Call,225746.02985937276
2016-01,Buy Call,517057.52529245074
2016-01,Buy Call,525529.0898992869
2016-01,Buy Call,533959.0709080966
2016-01,Buy Call,542341.2850225802
2016-01,Buy Call,486843.6341639324
2016-01,Buy Call,393564.878528025
2016-01,Buy Call,356527.0422196036
2016-01,Buy Call,383768.35656210064
2016-01,Buy Call,343682.5869299014
2016-01,Buy Call,303067.02752251626
2016-02,Buy Call,261926.55285017708
2016-02,Buy Call,194649.84252794436
2016-02,Buy Call,334795.26673824014
2016-02,Buy Call,664019.5556412465
2016-02,Buy Call,599118.1516228181
2016-02,Buy Call,602774.8114239912
2016-02,Buy Call,606416.9344748365
2016-02,Buy Call,610046.6290962814
2016-02,Buy Call,834494.8490988031
2016-02,Buy Call,890703.8029523236
2016-02,Buy Call,900848.6649113507
2016-02,Buy Call,761142.3314414765
2016-02,Buy Call,763413.0232300578
2016-02,Buy Call,765681.1268826189
2016-02,Buy Call,767946.6470783041
2016-02,Buy Call,770209.5909683493
2016-02,Buy Call,661993.6086880714
2016-02,Buy Call,829342.7229145749
2016-02,Buy Call,722402.0906761482
2016-02,Buy Call,795708.1475441754
2016-02,Buy Call,866389.9332544318
2016-02,Buy Call,934421.5457969796
