Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,92632.28762400644
2016-01,Buy Put,25195.209812224562
2016-01,Buy Put,472206.1025493005
2016-01,Buy Put,811322.9219546056
2016-01,Buy Put,836289.191258345
2016-01,Buy Put,561613.2610231617
2016-01,Buy Put,292303.12596394017
2016-01,Buy Put,52503.233762095646
2016-01,Buy Call,140377.55367111517
2016-01,Buy Call,329446.97126768576
2016-01,Buy Put,504530.8507799362
2016-01,Buy Put,1311770.2272143462
2016-01,Buy Put,1126324.0598289422
2016-01,Buy Put,924059.2458087065
2016-01,Buy Put,717770.3618361519
2016-01,Buy Put,261807.37532018838
2016-01,Buy Call,327626.4424879116
2016-01,Buy Call,499886.0371722671
2016-01,Buy Call,336186.1772649561
2016-01,Buy Call,428401.91211929126
2016-01,Buy Call,475377.1871360044
2016-02,Buy Call,502607.73925365496
2016-02,Buy Call,618309.1511199947
2016-02,Buy Put,135462.97777278937
2016-02,Buy Put,1271547.5488830067
2016-02,Buy Put,879686.2150946439
2016-02,Buy Put,709838.3980428906
2016-02,Buy Put,536455.3902574229
2016-02,Buy Put,372727.0296136709
2016-02,Buy Put,1078934.7209150116
2016-02,Buy Put,1046114.9951214708
2016-02,Buy Put,841792.8394478338
2016-02,Buy Call,28545.947151286557
2016-02,Buy Call,96975.66638401867
2016-02,Buy Call,129985.32291372555
2016-02,Buy Call,142520.46166968314
2016-02,Buy Call,134838.61877128333
2016-02,Buy Call,627060.0570243304
2016-02,Buy Put,328399.186798066
2016-02,Buy Call,236799.56143035242
2016-02,Buy Put,198953.83544606916
2016-02,Buy Put,498727.8115534366
2016-02,Buy Put,703700.2451726409
2016-02,Buy Put,262094.7609571047
2016-02,Buy Call,897801.014208305
2016-02,Buy Call,1155717.4723804663
2016-02,Buy Call,972618.8743055814
2016-02,Buy Call,791867.5750095758
2016-02,Buy Call,605655.9105364698
2016-02,Buy Call,436238.9726620322
2016-03,Buy Call,473536.5677402612
2016-03,Buy Call,1140956.1072470637
2016-03,Buy Call,1171893.4031023097
2016-03,Buy Put,35287.21356546782
2016-03,Buy Put,425882.39805389347
2016-03,Buy Put,683616.7600689507
2016-03,Buy Put,847236.5050111605
2016-03,Buy Put,546058.2291464817
2016-03,Buy Put,1502724.9427017502
2016-03,Buy Put,1901309.3594352046
2016-03,Buy Put,1800665.2678011807
2016-03,Buy Put,1489542.6447450647
2016-03,Buy Put,1079893.447919506
2016-03,Buy Put,641880.8611660225
2016-03,Buy Put,747075.2465274443
2016-03,Buy Call,96629.32311810834
2016-03,Buy Call,1037458.5446512441
2016-03,Buy Call,1584686.0125953413
2016-03,Buy Call,1344283.9108992217
2016-03,Buy Call,1062408.676016858
2016-03,Buy Call,760137.4013164346
2016-03,Buy Call,452220.7777258984
2016-03,Buy Call,836700.3371217692
2016-03,Buy Call,415301.5810762355
2016-03,Buy Call,144106.57701554187
2016-03,Buy Put,51308.493209134554
2016-03,Buy Put,155908.06536238233
2016-03,Buy Put,226517.16078998163
2016-03,Buy Call,617463.3843323534
2016-03,Buy Call,826261.8062813374
2016-03,Buy Call,669564.20298186
2016-04,Buy Call,1213860.507562753
2016-04,Buy Call,888249.76698465
2016-04,Buy Call,551883.6491551298
2016-04,Buy Call,235683.56355442433
2016-04,Buy Call,113884.93255016385
2016-04,Buy Call,336098.2939213244
2016-04,Buy Put,163070.0159994447
2016-04,Buy Call,118340.55294076506
2016-04,Buy Call,199410.69468614357
2016-04,Buy Call,260239.48461514123
2016-04,Buy Call,303158.52266727464
2016-04,Buy Call,236410.3040470624
2016-04,Buy Call,1100657.4956098732
2016-04,Buy Call,1185617.8755953338
2016-04,Buy Call,1130500.9554426917
2016-04,Buy Call,911244.7751562059
2016-04,Buy Call,698574.6250384608
2016-04,Buy Call,510488.2345238977
2016-04,Buy Call,752802.5665362108
2016-04,Buy Call,376166.00077891606
2016-04,Buy Call,396810.0442329501
2016-04,Buy Call,231734.15677148057
2016-04,Buy Call,194652.16553869168
2016-04,Buy Call,172385.03086475987
2016-04,Buy Call,158923.0353837081
2016-04,Buy Call,1828790.080879646
2016-04,Buy Call,1862284.464503354
2016-04,Buy Call,1794420.4121784572
2016-04,Buy Call,1472889.8120610693
2016-04,Buy Call,1043286.1614051987
2016-05,Buy Call,635803.3263959513
2016-05,Buy Call,345336.876455967
2016-05,Buy Call,279081.5844406325
2016-05,Buy Put,212860.93740071976
2016-05,Buy Put,522695.7685060825
2016-05,Buy Put,497095.91397326847
2016-05,Buy Put,628908.6030264244
2016-05,Buy Put,713420.8235661319
2016-05,Buy Put,759717.3227698164
2016-05,Buy Put,496939.45994283695
2016-05,Buy Call,34803.190919241446
2016-05,Buy Call,408805.9148771848
2016-05,Buy Call,407580.9402949062
2016-05,Buy Call,393759.2110786241
2016-05,Buy Call,348305.8328707003
2016-05,Buy Call,299051.66312379803
2016-05,Buy Call,162156.26254528103
2016-05,Buy Call,244665.3937086083
2016-05,Buy Call,64562.25577586849
2016-05,Buy Call,377885.8078019951
2016-05,Buy Call,115553.84957855352
2016-05,Buy Put,99675.32990327754
2016-05,Buy Put,258302.010183165
2016-05,Buy Put,623198.4658184828
2016-05,Buy Put,424436.82261036034
2016-05,Buy Put,157149.25806889113
2016-05,Buy Call,254044.24535712166
2016-05,Buy Call,166992.3798667199
2016-05,Buy Call,71242.57473987683
2016-05,Buy Put,36837.85339163137
2016-05,Buy Put,121638.19884580818
2016-06,Buy Put,912686.203724931
2016-06,Buy Put,346844.44181417715
2016-06,Buy Put,504343.76120687573
2016-06,Buy Put,287841.6908088468
2016-06,Buy Put,97956.06141022261
2016-06,Buy Call,57133.21976913477
2016-06,Buy Call,259508.88715579623
2016-06,Buy Call,759017.6927536874
2016-06,Buy Call,778318.2104183482
2016-06,Buy Call,941164.9280956383
2016-06,Buy Call,627499.5263592658
2016-06,Buy Call,338156.27667100047
2016-06,Buy Call,88953.70842641625
2016-06,Buy Put,94958.42055810045
2016-06,Buy Put,200024.6899211291
2016-06,Buy Call,269653.3775483374
2016-06,Buy Call,80788.4242062542
2016-06,Buy Put,4953.908332893775
2016-06,Buy Put,74358.38657682581
2016-06,Buy Put,132283.3324572912
2016-06,Buy Put,443327.6489016578
2016-06,Buy Call,45334.26234370808
2016-06,Buy Call,70013.46244915396
2016-06,Buy Call,945349.5650923074
2016-06,Buy Call,778997.7938850967
2016-06,Buy Call,599270.6573954009
2016-06,Buy Call,403127.7128508748
2016-06,Buy Put,18407.4543513546
2016-06,Buy Call,71281.41051105529
2016-06,Buy Put,95922.61157219185
2016-07,Buy Put,45114.17024018271
2016-07,Buy Put,57268.998904532964
2016-07,Buy Put,52599.02924495208
2016-07,Buy Put,53294.088934151776
2016-07,Buy Put,55354.810656780275
2016-07,Buy Put,45410.537392960745
2016-07,Buy Call,254542.43901546646
2016-07,Buy Call,307543.8908196801
2016-07,Buy Call,95095.17735835971
2016-07,Buy Put,85532.80305315525
2016-07,Buy Put,218823.4045411974
2016-07,Buy Put,247080.23230496678
2016-07,Buy Put,465349.02511807985
2016-07,Buy Put,697256.3461495866
2016-07,Buy Put,482182.13085090864
2016-07,Buy Put,352920.6619780396
2016-07,Buy Put,243759.66249898795
2016-07,Buy Put,159190.7716922165
2016-07,Buy Put,132807.93474385177
2016-07,Buy Call,36321.187697438974
2016-07,Buy Call,770070.6396288127
2016-07,Buy Call,652467.0735886318
2016-07,Buy Call,359512.4201236359
2016-07,Buy Call,87024.70830694864
2016-07,Buy Put,131405.52623556802
