Month,Arbitrage Type,Gain
2016-01,Buy Put,16621.71405136803
2016-01,Buy Put,34136.579155422456
2016-01,Buy Put,51554.43699594997
2016-01,Buy Put,68874.84446592396
2016-01,Buy Call,295.75953596605586
2016-01,Buy Call,97527.95043871742
2016-01,Buy Call,95118.67539171703
2016-01,Buy Call,190561.43149628467
2016-01,Buy Call,172236.10885212536
2016-01,Buy Call,153783.02728477423
2016-01,Buy Call,135254.93419133028
2016-01,Buy Call,307433.8944087387
2016-01,Buy Call,169850.32162966006
2016-01,Buy Put,27044.177832564743
2016-01,Buy Put,235013.16222856872
2016-01,Buy Put,245260.41325823654
2016-01,Buy Put,255471.01245162197
2016-01,Buy Put,265645.10615171597
2016-01,Buy Put,275782.9341434643
2016-01,Buy Put,350663.98121210793
2016-01,Buy Put,213003.75172398845
2016-01,Buy Call,14540.805279168013
2016-01,Buy Call,9506.876631959927
2016-01,Buy Call,4465.107859964235
2016-01,Buy Put,550.7865577030202
2016-01,Buy Put,223348.09987737003
2016-01,Buy Put,300550.1497650584
2016-01,Buy Put,209994.34647631433
2016-01,Buy Put,386590.62919835205
2016-01,Buy Put,396247.0903855717
2016-01,Buy Put,405869.7995854956
2016-02,Buy Put,415458.8783432729
2016-02,Buy Put,311104.49526902783
2016-02,Buy Call,77048.02830208025
2016-02,Buy Put,19251.397697466644
2016-02,Buy Call,104203.94049257453
2016-02,Buy Call,146646.24766204783
2016-02,Buy Call,188579.08715257567
2016-02,Buy Call,229909.2619953811
2016-02,Buy Call,352149.2389164038
2016-02,Buy Call,377862.62663965434
2016-02,Buy Call,282781.7080020765
2016-02,Buy Call,243744.06734121122
2016-02,Buy Call,266401.0411170139
2016-02,Buy Call,288876.06649185217
2016-02,Buy Call,311167.18218014936
2016-02,Buy Call,333272.88379492617
2016-02,Buy Call,415139.6946084489
2016-02,Buy Call,247890.7581912111
2016-02,Buy Call,624833.2298263648
2016-02,Buy Call,546382.8676436719
2016-02,Buy Call,464787.1472236602
2016-02,Buy Call,380116.22899039567
2016-02,Buy Call,326497.7549862564
2016-02,Buy Call,470287.49476339726
2016-02,Buy Call,576456.9032559735
2016-02,Buy Call,627149.5300027538
2016-02,Buy Call,703778.5261467171
2016-02,Buy Call,777210.0937262465
2016-02,Buy Call,846875.1632566693
2016-03,Buy Call,469731.59215671953
2016-03,Buy Call,346331.1347100131
2016-03,Buy Call,423124.9010126632
2016-03,Buy Call,500539.49354222737
