Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,157474.43479624935
2016-01,Buy Put,723798.8241118458
2016-01,Buy Put,54976.299026790795
2016-01,Buy Call,680242.3521028302
2016-01,Buy Call,1154025.5882654407
2016-01,Buy Call,831291.9664908876
2016-01,Buy Call,516597.2256591047
2016-01,Buy Call,251103.89243069876
2016-01,Buy Call,57275.32821113357
2016-01,Buy Call,230282.46509634441
2016-01,Buy Put,550389.3809766538
2016-01,Buy Put,1171279.5222247224
2016-01,Buy Put,929169.3758881543
2016-01,Buy Put,669672.2237043247
2016-01,Buy Put,451325.08265324135
2016-01,Buy Call,604347.4530892539
2016-01,Buy Call,739728.5589002038
2016-01,Buy Call,96726.87411743653
2016-01,Buy Call,735387.3901684906
2016-01,Buy Call,470304.2815617877
2016-01,Buy Call,220857.6090138905
2016-02,Buy Call,18942.078636250415
2016-02,Buy Put,556633.7714841225
2016-02,Buy Put,1478699.576803649
2016-02,Buy Put,996593.5825415322
2016-02,Buy Put,1047148.7107239419
2016-02,Buy Put,883411.6340294464
2016-02,Buy Put,728983.6719533227
2016-02,Buy Put,611249.7308585532
2016-02,Buy Put,796715.3978471728
2016-02,Buy Put,643684.465377099
2016-02,Buy Put,83543.43380007379
2016-02,Buy Call,97806.3364620354
2016-02,Buy Put,69794.33152185522
2016-02,Buy Put,171036.7631397176
2016-02,Buy Put,270598.3032131769
2016-02,Buy Put,333665.7941492618
2016-02,Buy Put,589817.0618442649
2016-02,Buy Call,200947.709983474
2016-02,Buy Put,1181138.5563229565
2016-02,Buy Put,687697.4063277501
2016-02,Buy Put,167766.4340466478
2016-02,Buy Call,272427.5973872494
2016-02,Buy Call,414530.66132491047
2016-02,Buy Put,362668.3429997541
2016-02,Buy Put,721622.1069002913
2016-02,Buy Put,762798.6423165253
2016-02,Buy Put,864962.7462723437
2016-02,Buy Put,907853.4549898762
2016-02,Buy Put,949419.2374880726
2016-03,Buy Call,968699.5011328143
2016-03,Buy Call,1156398.4500934908
2016-03,Buy Call,591463.855706742
2016-03,Buy Put,16848.339495496133
2016-03,Buy Put,274301.4892127818
2016-03,Buy Put,422596.6500009548
2016-03,Buy Put,501691.63397305994
2016-03,Buy Put,1698117.7072137292
2016-03,Buy Put,1664778.5619241856
2016-03,Buy Put,1583124.2551509296
2016-03,Buy Put,1060312.9989781799
2016-03,Buy Put,787585.5064178125
2016-03,Buy Put,600233.296097727
2016-03,Buy Put,512008.29768365
2016-03,Buy Call,685384.4033869478
2016-03,Buy Call,1203914.3710675298
2016-03,Buy Call,1538121.9280061363
2016-03,Buy Call,1161269.5177610845
2016-03,Buy Call,695049.96953928
2016-03,Buy Call,273113.9179563513
2016-03,Buy Put,61053.81824366418
2016-03,Buy Call,1061671.091268483
2016-03,Buy Call,818118.3668503173
2016-03,Buy Put,151585.71803846853
2016-03,Buy Call,163937.3285952317
2016-03,Buy Call,404872.3334877593
2016-03,Buy Call,569966.1852859065
2016-03,Buy Call,660778.1731281719
2016-03,Buy Call,607144.1518298783
2016-03,Buy Call,336457.6548228868
2016-03,Buy Call,507735.45917927974
2016-04,Buy Call,874984.193443062
2016-04,Buy Call,355237.8457525478
2016-04,Buy Put,103679.08734951215
2016-04,Buy Put,374405.4787104147
2016-04,Buy Put,548792.565757374
2016-04,Buy Put,883350.6674239188
2016-04,Buy Put,738169.3270581771
2016-04,Buy Put,777934.5865164124
2016-04,Buy Put,501306.543579382
2016-04,Buy Put,258258.84922709718
2016-04,Buy Put,76245.42327111072
2016-04,Buy Call,352958.8020660839
2016-04,Buy Call,863569.2481302826
2016-04,Buy Call,353522.47499520925
2016-04,Buy Call,607197.6322434339
2016-04,Buy Call,475725.3172585223
2016-04,Buy Call,382974.0287795289
2016-04,Buy Call,301578.52527517546
2016-04,Buy Call,1784350.025693744
2016-04,Buy Call,943387.3455781381
2016-04,Buy Call,731153.6013850741
2016-04,Buy Call,84927.2049604366
2016-04,Buy Put,123348.59320655766
2016-04,Buy Put,249865.37922254825
2016-04,Buy Put,295729.6198056127
2016-04,Buy Put,347242.4539974881
2016-04,Buy Put,99532.24735087219
2016-04,Buy Call,321841.27719174424
2016-04,Buy Call,338664.2641544455
2016-04,Buy Call,289432.4609761085
2016-05,Buy Call,248158.91241645717
2016-05,Buy Call,205055.38827170254
2016-05,Buy Put,32848.47629095111
2016-05,Buy Put,451204.2329052761
2016-05,Buy Put,148596.67208163074
2016-05,Buy Put,610589.9225386579
2016-05,Buy Put,472643.8427637163
2016-05,Buy Put,354688.14830032614
2016-05,Buy Put,259119.90311358578
2016-05,Buy Put,342649.18827341974
2016-05,Buy Put,475771.64726236986
2016-05,Buy Call,3211.9732034203707
2016-05,Buy Call,86840.4809268668
2016-05,Buy Call,50007.32526175256
2016-05,Buy Call,2228.5837633049255
2016-05,Buy Put,45362.30065517799
2016-05,Buy Call,554689.8571540382
2016-05,Buy Call,400760.3655972076
2016-05,Buy Call,158274.13929410029
2016-05,Buy Call,118299.70027443438
2016-05,Buy Put,325547.0400557883
2016-05,Buy Put,586333.9121414555
2016-05,Buy Put,742717.0140094645
2016-05,Buy Put,279173.46191232186
2016-05,Buy Put,53052.563576969194
2016-05,Buy Put,379405.536845141
2016-05,Buy Put,554568.9726067664
2016-05,Buy Put,550050.0090641082
2016-05,Buy Put,531996.0328128985
2016-05,Buy Put,520579.26033430843
2016-05,Buy Put,515919.4729685126
2016-06,Buy Call,90483.40684099543
2016-06,Buy Put,379680.9039403115
2016-06,Buy Put,595173.8890914981
2016-06,Buy Put,386342.4293954694
2016-06,Buy Put,226537.66756020844
2016-06,Buy Put,105825.9932447072
2016-06,Buy Put,168159.41156727375
2016-06,Buy Call,379649.0692197665
2016-06,Buy Call,688332.7107259589
2016-06,Buy Call,759342.9154205751
2016-06,Buy Call,338117.97155918553
2016-06,Buy Put,41178.31196906252
2016-06,Buy Put,277099.2993459416
2016-06,Buy Put,6034.38941596579
2016-06,Buy Call,137864.56406057824
2016-06,Buy Put,134698.39308103104
2016-06,Buy Put,275400.37973288633
2016-06,Buy Put,394940.48887237196
2016-06,Buy Put,466392.01203771564
2016-06,Buy Put,516357.5921543924
2016-06,Buy Put,18443.67623984766
2016-06,Buy Call,27976.44976080704
2016-06,Buy Call,989573.1529142822
2016-06,Buy Call,813199.5658643944
2016-06,Buy Call,476514.117288076
2016-06,Buy Call,174690.15808828914
2016-06,Buy Put,52128.65848034909
2016-06,Buy Put,142290.49855260455
2016-06,Buy Put,98633.27680729129
2016-06,Buy Put,193302.5000170119
2016-07,Buy Put,369907.79269626015
2016-07,Buy Put,428548.64163121674
2016-07,Buy Put,454156.57352299377
2016-07,Buy Put,479965.01076680433
2016-07,Buy Put,492879.5709594809
2016-07,Buy Put,181021.26807446693
2016-07,Buy Put,228804.8157997551
2016-07,Buy Put,443225.71978180745
2016-07,Buy Put,421283.6166743159
2016-07,Buy Put,404804.764657321
2016-07,Buy Put,392049.65557895123
2016-07,Buy Put,718613.6270059223
2016-07,Buy Put,499189.2067436723
2016-07,Buy Put,649011.5001280614
2016-07,Buy Put,267375.5076285218
2016-07,Buy Put,337484.06354718696
2016-07,Buy Put,405688.9085273028
2016-07,Buy Put,455861.9167595879
2016-07,Buy Put,621037.2087356007
2016-07,Buy Call,592221.2575610927
2016-07,Buy Call,655709.4703065758
2016-07,Buy Put,1202439.1916932836
2016-07,Buy Put,891729.4228782069
2016-07,Buy Put,577672.6266725376
2016-07,Buy Put,290078.90513418743
