Month,Arbitrage Type,Gain
2016-01,Buy Put,2265.2262845603846
2016-01,Buy Put,4528.127464631381
2016-01,Buy Put,6788.680941475888
2016-01,Buy Put,9046.873718933313
2016-01,Buy Put,99125.19685524046
2016-01,Buy Put,92989.95200638416
2016-01,Buy Put,43479.12151599686
2016-01,Buy Call,81140.35817498788
2016-01,Buy Call,95966.00136728384
2016-01,Buy Call,110655.30276101398
2016-01,Buy Call,125206.0701010791
2016-01,Buy Call,157808.61267509393
2016-01,Buy Call,193774.10932645135
2016-01,Buy Call,272463.5908736097
2016-01,Buy Call,259246.05712372894
2016-01,Buy Call,264825.983618838
2016-01,Buy Call,270380.55719440023
2016-01,Buy Call,275908.6402997362
2016-01,Buy Call,281411.4679132196
2016-01,Buy Call,284532.5123426896
2016-01,Buy Call,295654.0815206559
2016-01,Buy Call,257712.88426677685
2016-01,Buy Call,273242.57380250574
2016-01,Buy Call,288569.8313352272
2016-01,Buy Call,303695.7076746596
2016-01,Buy Call,358972.71448546066
2016-01,Buy Call,355604.2460120388
2016-01,Buy Call,326542.92703751865
2016-01,Buy Call,301490.2061897935
2016-01,Buy Call,303473.4435168822
2016-01,Buy Call,305452.9794188241
2016-02,Buy Call,307429.3426011927
2016-02,Buy Call,263180.74651348055
2016-02,Buy Call,265662.17354350386
2016-02,Buy Call,327116.64545892563
2016-02,Buy Call,418767.8225519171
2016-02,Buy Call,426553.5253830635
2016-02,Buy Call,434267.0079908331
2016-02,Buy Call,441909.0666816743
2016-02,Buy Call,502468.8499732548
2016-02,Buy Call,603405.9338315352
2016-02,Buy Call,618243.646109903
2016-02,Buy Call,616858.1747180948
2016-02,Buy Call,612167.5610608524
2016-02,Buy Call,607426.763096214
2016-02,Buy Call,602637.107225048
2016-02,Buy Call,597798.9600361458
2016-02,Buy Call,586718.0193035288
2016-02,Buy Call,631597.1572533527
2016-02,Buy Call,675626.2849564756
2016-02,Buy Call,671537.1479644787
2016-02,Buy Call,667398.004474288
2016-02,Buy Call,663207.2665043686
2016-02,Buy Call,679504.2030662835
2016-02,Buy Call,620396.6929897522
2016-02,Buy Call,615422.5546870027
2016-02,Buy Call,601867.9020580677
2016-02,Buy Call,599492.2104352671
2016-02,Buy Call,597104.3718472497
2016-02,Buy Call,594705.8611762159
2016-03,Buy Call,591555.0525245763
2016-03,Buy Call,591300.1917301628
2016-03,Buy Call,544952.376131242
2016-03,Buy Call,494605.6587831968
2016-03,Buy Call,512228.8381842743
2016-03,Buy Call,529393.1372016268
2016-03,Buy Call,546096.8877293695
2016-03,Buy Call,605423.1744786396
2016-03,Buy Call,590898.205709383
2016-03,Buy Call,625963.2017031045
2016-03,Buy Call,685724.1488447592
2016-03,Buy Call,685673.2193930118
2016-03,Buy Call,685622.2943448458
2016-03,Buy Call,685571.3518554065
2016-03,Buy Call,672089.4524636752
2016-03,Buy Call,696147.871298253
2016-03,Buy Call,689328.1682289789
2016-03,Buy Call,630248.849749032
2016-03,Buy Call,602743.2864359454
2016-03,Buy Call,573533.1961711729
2016-03,Buy Call,542622.9072837571
2016-03,Buy Call,541537.7350102908
2016-03,Buy Call,557124.4961379911
2016-03,Buy Call,549668.9841020519
2016-03,Buy Call,552465.0530490085
2016-03,Buy Call,555247.5146957043
2016-03,Buy Call,558016.192595062
2016-03,Buy Call,560770.4563998723
2016-03,Buy Call,616627.9561689905
2016-03,Buy Call,580041.0699548166
2016-03,Buy Call,519600.05924611253
2016-04,Buy Call,493214.0525860085
2016-04,Buy Call,485300.7195152692
2016-04,Buy Call,477298.5328403685
2016-04,Buy Call,469208.8723060408
2016-04,Buy Call,400899.07125137
2016-04,Buy Call,390569.8482439064
2016-04,Buy Call,362581.7187790901
2016-04,Buy Call,338350.3564413104
2016-04,Buy Call,343175.6492872644
2016-04,Buy Call,347978.6962110367
2016-04,Buy Call,352758.7097784739
2016-04,Buy Call,376132.16318509757
