Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,269664.48464474623
2016-01,Buy Put,263424.1750515471
2016-01,Buy Put,312549.50344905554
2016-01,Buy Put,565622.8982376135
2016-01,Buy Put,257952.8238307489
2016-01,Buy Put,134763.55422255537
2016-01,Buy Put,62109.277655881815
2016-01,Buy Put,36645.33139357573
2016-01,Buy Put,41096.7358144454
2016-01,Buy Put,53482.48664057565
2016-01,Buy Put,125237.92654098998
2016-01,Buy Call,158960.2305169535
2016-01,Buy Put,34578.76915537028
2016-01,Buy Put,165272.94490555988
2016-01,Buy Put,238083.44064978824
2016-01,Buy Put,501431.4214322759
2016-01,Buy Put,333380.4905261459
2016-01,Buy Put,4141.871511194495
2016-01,Buy Call,207463.86264086424
2016-01,Buy Call,127211.89474519789
2016-01,Buy Call,33292.50111059423
2016-02,Buy Put,50056.40242573506
2016-02,Buy Call,213999.89860815083
2016-02,Buy Call,59074.16174771285
2016-02,Buy Put,410015.7510580509
2016-02,Buy Put,773153.9661275182
2016-02,Buy Put,603688.9786018946
2016-02,Buy Put,423454.7566533777
2016-02,Buy Put,264323.4661730709
2016-02,Buy Put,506692.13473367237
2016-02,Buy Put,849962.6225326775
2016-02,Buy Put,678708.3860473882
2016-02,Buy Put,389224.8393599047
2016-02,Buy Put,108394.00435231994
2016-02,Buy Call,86554.62404210823
2016-02,Buy Call,175301.80491088386
2016-02,Buy Call,195197.89068558425
2016-02,Buy Call,218262.62560546893
2016-02,Buy Put,363476.96337199764
2016-02,Buy Put,668300.4077374068
2016-02,Buy Put,497545.95185248007
2016-02,Buy Put,309963.237946782
2016-02,Buy Put,144786.63203329843
2016-02,Buy Put,257702.9860068336
2016-02,Buy Call,477973.299861258
2016-02,Buy Call,368298.1409977728
2016-02,Buy Call,323427.52632111526
2016-02,Buy Call,138922.79033884947
2016-02,Buy Put,29584.968836939395
2016-02,Buy Put,121347.55593883994
2016-03,Buy Put,148685.980951921
2016-03,Buy Put,180246.9553980508
2016-03,Buy Call,255411.12529548115
2016-03,Buy Call,513206.40863017173
2016-03,Buy Call,150744.82071334572
2016-03,Buy Put,170398.13408819883
2016-03,Buy Put,349455.706363365
2016-03,Buy Put,703100.309038149
2016-03,Buy Put,449791.50036787277
2016-03,Buy Put,576023.7440565899
2016-03,Buy Put,786394.06220986
2016-03,Buy Put,553372.609139025
2016-03,Buy Put,315398.2250310001
2016-03,Buy Put,137341.049756337
2016-03,Buy Call,128690.8702274694
2016-03,Buy Put,203415.4790338114
2016-03,Buy Put,75506.90699947183
2016-03,Buy Call,554961.4854319068
2016-03,Buy Call,581155.9078874247
2016-03,Buy Call,562118.0310513161
2016-03,Buy Call,527835.7520819199
2016-03,Buy Call,254032.89432059138
2016-03,Buy Put,137837.3399889732
2016-03,Buy Put,177419.16185343952
2016-03,Buy Put,260735.20980181897
2016-03,Buy Put,291069.84281978046
2016-03,Buy Put,271213.01179443335
2016-03,Buy Put,229455.94942806126
2016-03,Buy Put,599753.5294787842
2016-03,Buy Put,126644.51126879684
2016-03,Buy Call,462085.5674369153
2016-04,Buy Call,498590.58426770987
2016-04,Buy Call,349858.60245605593
2016-04,Buy Call,207327.10662467114
2016-04,Buy Call,82652.68878450271
2016-04,Buy Call,448443.0601092093
2016-04,Buy Call,267639.57390823023
2016-04,Buy Call,250955.32907755213
2016-04,Buy Call,215011.28931778268
2016-04,Buy Put,9941.771727660864
2016-04,Buy Put,148432.76568817033
2016-04,Buy Put,221706.52442149218
2016-04,Buy Put,364192.83754826995
2016-04,Buy Put,405460.0667419095
2016-04,Buy Put,118082.36106061898
2016-04,Buy Call,128797.06421722048
2016-04,Buy Call,53032.020480603845
2016-04,Buy Put,22091.37111534787
2016-04,Buy Put,89732.81237375019
2016-04,Buy Call,85750.86493701178
2016-04,Buy Call,413417.40842583973
2016-04,Buy Call,681513.5997189934
2016-04,Buy Call,538926.9100794962
2016-04,Buy Call,255304.45712422178
2016-04,Buy Call,17693.80310477331
2016-04,Buy Put,112793.45790904571
2016-04,Buy Put,219757.92231393143
2016-04,Buy Put,339063.28484400915
2016-04,Buy Put,143657.84928462587
2016-04,Buy Put,68477.03709008357
2016-04,Buy Call,44149.83819765084
2016-05,Buy Call,102231.30703655414
2016-05,Buy Call,115991.1178590285
2016-05,Buy Call,63320.03549180243
2016-05,Buy Put,70608.17882311455
2016-05,Buy Put,161817.9484905582
2016-05,Buy Put,231602.79955822104
2016-05,Buy Put,204228.10885548516
2016-05,Buy Put,169442.499305827
2016-05,Buy Put,141748.47137880063
2016-05,Buy Put,56195.87960325134
2016-05,Buy Put,77582.85082550743
2016-05,Buy Call,229159.7231925202
2016-05,Buy Put,74353.59321264911
2016-05,Buy Put,10645.617730034473
2016-05,Buy Call,33122.55054856194
2016-05,Buy Call,64295.602641088575
2016-05,Buy Call,68985.65316915394
2016-05,Buy Put,54825.50456067159
2016-05,Buy Put,321384.55114273867
2016-05,Buy Put,393577.657532866
2016-05,Buy Put,214248.00610134297
2016-05,Buy Put,60771.188827672515
2016-05,Buy Call,38364.37406207693
2016-05,Buy Call,133177.74690851182
2016-05,Buy Put,63774.67326693065
2016-05,Buy Put,167306.6543708721
2016-05,Buy Call,102436.0576872212
2016-05,Buy Call,40526.5260160057
2016-05,Buy Put,9941.039111620143
2016-05,Buy Put,49179.971821935454
2016-05,Buy Put,69323.21771727246
2016-06,Buy Call,57335.60004302163
2016-06,Buy Put,816336.4714185662
2016-06,Buy Put,751620.3934486008
2016-06,Buy Put,475801.4501139023
2016-06,Buy Put,196208.57191416973
2016-06,Buy Call,26620.376875808204
2016-06,Buy Put,169237.2082864857
2016-06,Buy Put,143744.69059591278
2016-06,Buy Put,291841.4926042665
2016-06,Buy Put,197310.08168218978
2016-06,Buy Put,64116.68312285457
2016-06,Buy Call,14026.425567671196
2016-06,Buy Call,68947.97910902284
2016-06,Buy Call,212994.0406207851
2016-06,Buy Put,297526.0955829882
2016-06,Buy Put,353486.52918692026
2016-06,Buy Put,237279.40748846522
2016-06,Buy Put,65926.89788489636
2016-06,Buy Call,61120.982689384815
2016-06,Buy Call,139693.79358433187
2016-06,Buy Put,4331.521413771356
2016-06,Buy Put,125591.36842177666
2016-06,Buy Call,290288.0151409306
2016-06,Buy Call,370544.5662404081
2016-06,Buy Call,257222.78975363012
2016-06,Buy Call,164761.72880787842
2016-06,Buy Call,102155.57304262646
2016-06,Buy Call,294855.93155516556
2016-06,Buy Call,113931.19515368255
2016-06,Buy Call,112367.83087583646
2016-07,Buy Put,107362.2557588081
2016-07,Buy Put,139522.76949644115
2016-07,Buy Put,130790.61606328323
2016-07,Buy Put,117479.83477880197
2016-07,Buy Put,95388.0067012598
2016-07,Buy Put,178086.54971682004
2016-07,Buy Put,196544.02697659278
2016-07,Buy Put,261656.6534695366
2016-07,Buy Put,243902.1308066991
2016-07,Buy Put,222297.19089122568
2016-07,Buy Put,205847.45501359692
2016-07,Buy Call,89737.47720239089
2016-07,Buy Put,62012.19409634717
2016-07,Buy Put,233379.35792867982
2016-07,Buy Put,181298.07440319823
2016-07,Buy Put,156741.63974799882
2016-07,Buy Put,136231.68194439117
2016-07,Buy Put,122874.31094610212
2016-07,Buy Put,53832.37076771863
2016-07,Buy Put,275404.1664486842
2016-07,Buy Put,346004.1941667811
2016-07,Buy Call,35200.48561867028
2016-07,Buy Call,51921.10389388915
2016-07,Buy Call,46633.18318572607
2016-07,Buy Call,28360.808658153048
2016-07,Buy Call,96987.31254105298
