Month,Arbitrage Type,Gain
2016-01,Buy Put,2243.4692324537764
2016-01,Buy Put,10518.558214240415
2016-01,Buy Put,18747.531964685037
2016-01,Buy Put,26938.250039570732
2016-01,Buy Put,11300.08157188911
2016-01,Buy Put,34276.37962423802
2016-01,Buy Put,38420.89965989004
2016-01,Buy Call,7814.847538753611
2016-01,Buy Call,12636.396082488232
2016-01,Buy Call,17440.32250736538
2016-01,Buy Call,22227.545860179278
2016-01,Buy Call,40707.59648877598
2016-01,Buy Call,66596.23708569385
2016-01,Buy Call,47318.96282870096
2016-01,Buy Call,62233.775017645596
2016-01,Buy Call,77999.17608166496
2016-01,Buy Call,93576.55527866626
2016-01,Buy Call,108963.49456687915
2016-01,Buy Call,124154.62813097911
2016-01,Buy Call,153961.20725609563
2016-01,Buy Call,119599.82572298244
2016-01,Buy Call,90452.23549500036
2016-01,Buy Call,93750.17304421362
2016-01,Buy Call,97039.48417987718
2016-01,Buy Call,100320.12322050754
2016-01,Buy Call,120828.27016348041
2016-01,Buy Call,66248.37039505849
2016-01,Buy Call,18913.54408081014
2016-01,Buy Put,41943.696889138235
2016-01,Buy Put,38311.96527387348
2016-01,Buy Put,34666.908904334545
2016-02,Buy Put,31008.89755944536
2016-02,Buy Put,28485.482229918092
2016-02,Buy Put,62139.45105398721
2016-02,Buy Put,55209.88316098752
2016-02,Buy Put,25152.27041644863
2016-02,Buy Put,3479.147433679941
2016-02,Buy Call,19704.311049778767
2016-02,Buy Call,42780.98264551744
2016-02,Buy Call,19468.156234818678
2016-02,Buy Call,60727.49081291917
2016-02,Buy Call,108321.51524907906
2016-02,Buy Call,108417.71002407974
2016-02,Buy Call,117590.05436871917
2016-02,Buy Call,126690.36026215964
2016-02,Buy Call,135717.6540038516
2016-02,Buy Call,144670.65101186093
2016-02,Buy Call,156790.96784034208
2016-02,Buy Call,182577.89858745178
2016-02,Buy Call,235548.8193706119
2016-02,Buy Call,267509.36044960836
2016-02,Buy Call,297918.00979019277
2016-02,Buy Call,326690.1379184546
2016-02,Buy Call,366797.3630856647
2016-02,Buy Call,346308.10252101975
2016-02,Buy Call,273124.60461487476
2016-02,Buy Call,228936.70607678907
2016-02,Buy Call,233620.81238829545
2016-02,Buy Call,238275.25502538905
2016-02,Buy Call,242899.79345686064
2016-03,Buy Call,194433.71402437927
2016-03,Buy Call,154763.93588637726
2016-03,Buy Call,100010.21177961178
2016-03,Buy Call,84651.25809788177
2016-03,Buy Call,96252.76377945014
2016-03,Buy Call,107747.3966570306
2016-03,Buy Call,119132.86583567385
2016-03,Buy Call,255947.8484416342
2016-03,Buy Call,193619.94304550657
2016-03,Buy Call,134253.90487085131
2016-03,Buy Call,148714.21803744588
2016-03,Buy Call,169912.03505690856
2016-03,Buy Call,190650.30903651347
2016-03,Buy Call,210911.9833009423
2016-03,Buy Call,205815.84652771312
2016-03,Buy Call,219929.2119904417
2016-03,Buy Call,300984.3271512267
