Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,128997.9517130142
2016-01,Buy Put,180951.79591935207
2016-01,Buy Put,251731.05314391898
2016-01,Buy Put,58879.1149220107
2016-01,Buy Put,98568.12607847943
2016-01,Buy Put,144750.24376997858
2016-01,Buy Put,189177.6236101208
2016-01,Buy Put,209517.22215068535
2016-01,Buy Put,216929.25026955656
2016-01,Buy Put,295963.8543618066
2016-01,Buy Call,13351.176392443875
2016-01,Buy Call,229464.09683369318
2016-01,Buy Call,170005.2135360899
2016-01,Buy Call,95911.32627384091
2016-01,Buy Call,997.8486235375783
2016-01,Buy Put,137547.72867619814
2016-01,Buy Call,227882.4698409867
2016-01,Buy Call,404507.1260934279
2016-01,Buy Call,553319.6798772728
2016-01,Buy Call,378092.34996645636
2016-01,Buy Call,237930.40775709605
2016-02,Buy Call,118830.30759438284
2016-02,Buy Call,21255.924694795423
2016-02,Buy Call,196786.59405447263
2016-02,Buy Call,68752.4905469452
2016-02,Buy Put,184042.96214230877
2016-02,Buy Put,258956.93424263655
2016-02,Buy Put,295747.36020024697
2016-02,Buy Put,308202.4953294695
2016-02,Buy Put,73100.17177659489
2016-02,Buy Put,237057.93474718108
2016-02,Buy Put,378432.3741539115
2016-02,Buy Put,266690.22135191865
2016-02,Buy Put,191888.5512279882
2016-02,Buy Put,146553.82750679634
2016-02,Buy Put,121903.9653841456
2016-02,Buy Put,120613.38932894827
2016-02,Buy Put,139269.42754129355
2016-02,Buy Put,232001.99836524858
2016-02,Buy Put,419853.03302973165
2016-02,Buy Put,453304.76356602565
2016-02,Buy Put,459895.3520841116
2016-02,Buy Put,448696.35129165533
2016-02,Buy Put,488560.0299274575
2016-02,Buy Put,200188.61525590735
2016-02,Buy Call,462128.01248791814
2016-02,Buy Call,598030.732391205
2016-02,Buy Call,494247.1660546515
2016-02,Buy Call,344768.9486269976
2016-02,Buy Call,169941.35833850875
2016-03,Buy Call,368890.05640367325
2016-03,Buy Call,449680.05416341586
2016-03,Buy Call,556081.070979884
2016-03,Buy Call,498801.3032437539
2016-03,Buy Call,311332.9514734105
2016-03,Buy Call,117007.9808805884
2016-03,Buy Put,38559.481662368
2016-03,Buy Put,607819.5115126084
2016-03,Buy Put,271320.7046427204
2016-03,Buy Call,230407.19099335404
2016-03,Buy Call,163516.2380325905
2016-03,Buy Call,31233.623610745555
2016-03,Buy Put,112957.54704348404
2016-03,Buy Put,235324.3087378214
2016-03,Buy Put,137088.73342345562
2016-03,Buy Put,169061.02435005188
2016-03,Buy Put,508229.9318722692
2016-03,Buy Put,225302.57506930872
2016-03,Buy Call,93912.1836195902
2016-03,Buy Call,311258.3348642399
2016-03,Buy Call,415785.0050309797
2016-03,Buy Call,255094.7559221388
2016-03,Buy Call,165972.7028578928
2016-03,Buy Put,208771.472049742
2016-03,Buy Put,88525.4256732253
2016-03,Buy Call,28689.645153914254
2016-03,Buy Call,127246.5536855929
2016-03,Buy Call,195887.43229748574
2016-03,Buy Call,49238.25157933237
2016-03,Buy Call,21302.042273156017
2016-03,Buy Call,383226.6917555085
2016-04,Buy Call,402072.512568731
2016-04,Buy Call,318281.9009445286
2016-04,Buy Call,240325.37371267183
2016-04,Buy Call,189453.29985683833
2016-04,Buy Call,284714.92497515347
2016-04,Buy Call,260188.18655001573
2016-04,Buy Call,550391.9187475824
2016-04,Buy Call,602338.824621949
2016-04,Buy Call,394922.0981993449
2016-04,Buy Call,160667.4256673557
2016-04,Buy Put,44025.85101697554
2016-04,Buy Put,374490.1767342217
2016-04,Buy Put,305586.1466141714
2016-04,Buy Put,305626.1500225297
2016-04,Buy Call,129906.01568163029
2016-04,Buy Call,168656.0676964426
2016-04,Buy Call,171364.35272788297
2016-04,Buy Call,128009.56149804321
2016-04,Buy Call,8743.937831390269
2016-04,Buy Call,373819.2628258954
2016-04,Buy Call,577588.3402721079
2016-04,Buy Call,303298.54851133574
2016-04,Buy Call,188320.64340483968
2016-04,Buy Call,75446.07434227402
2016-04,Buy Put,9647.482262245432
2016-04,Buy Put,226027.07733648762
2016-04,Buy Put,500769.65480564616
2016-04,Buy Put,391351.2924190812
2016-04,Buy Put,288755.93878787063
2016-04,Buy Put,86254.307211739
2016-05,Buy Call,31974.490853091454
2016-05,Buy Call,93784.95279131016
2016-05,Buy Put,76957.60579352395
2016-05,Buy Put,162992.04327810023
2016-05,Buy Put,93182.4508961121
2016-05,Buy Put,212804.87909644563
2016-05,Buy Put,245443.47028989933
2016-05,Buy Put,257104.2753827051
2016-05,Buy Put,249107.75761433612
2016-05,Buy Put,44848.96539862504
2016-05,Buy Call,266202.8824840501
2016-05,Buy Call,306857.03564114065
2016-05,Buy Call,259265.30349211596
2016-05,Buy Call,214397.37300619832
2016-05,Buy Call,202647.13077910378
2016-05,Buy Call,187729.41929067954
2016-05,Buy Call,172331.15422557076
2016-05,Buy Put,93506.39686182661
2016-05,Buy Call,121407.6024991293
2016-05,Buy Call,381657.1772814168
2016-05,Buy Call,298743.00499363925
2016-05,Buy Call,224239.06025726305
2016-05,Buy Call,185982.34184151253
2016-05,Buy Call,392031.0651847032
2016-05,Buy Call,136135.75838833823
2016-05,Buy Call,347852.7599612597
2016-05,Buy Call,204719.6978318908
2016-05,Buy Call,144597.79349718004
2016-05,Buy Call,89523.92886562066
2016-05,Buy Call,69462.32082641401
2016-05,Buy Call,57238.60257452884
2016-06,Buy Call,209264.91122275338
2016-06,Buy Call,235347.7424899495
2016-06,Buy Put,20452.90632815977
2016-06,Buy Put,184.78912736696884
2016-06,Buy Call,46789.08748640964
2016-06,Buy Call,61609.0550923154
2016-06,Buy Put,358879.5396420288
2016-06,Buy Put,427913.6932532754
2016-06,Buy Put,481071.8193464236
2016-06,Buy Put,326719.08581490425
2016-06,Buy Put,194109.11861841206
2016-06,Buy Put,97977.07028982927
2016-06,Buy Put,80619.24521814134
2016-06,Buy Call,171612.31785771492
2016-06,Buy Call,122615.37605221306
2016-06,Buy Call,166611.3172751942
2016-06,Buy Put,201956.22106359678
2016-06,Buy Put,186458.66606556895
2016-06,Buy Put,140344.8666324394
2016-06,Buy Put,122918.75995523327
2016-06,Buy Put,105067.57414525225
2016-06,Buy Put,146737.35437368407
2016-06,Buy Call,274650.80776050856
2016-06,Buy Call,712637.4302640688
2016-06,Buy Call,625794.0429932809
2016-06,Buy Call,550721.37401784
2016-06,Buy Call,502020.273634523
2016-06,Buy Call,703985.355292982
2016-06,Buy Call,683745.7340991566
2016-06,Buy Call,695861.5345221127
2016-07,Buy Call,514068.0732025551
2016-07,Buy Call,326655.3104585768
2016-07,Buy Call,173171.43553253444
2016-07,Buy Call,44671.946541317455
2016-07,Buy Put,22588.437887343105
2016-07,Buy Put,54371.02303586272
2016-07,Buy Call,331883.94618463237
2016-07,Buy Call,266848.6594441575
2016-07,Buy Call,111777.74993790734
2016-07,Buy Call,45681.453584897725
2016-07,Buy Call,20573.901428722507
2016-07,Buy Call,51533.632464497714
2016-07,Buy Put,8316.137429336124
2016-07,Buy Put,112781.16384750447
2016-07,Buy Put,364205.71586199204
2016-07,Buy Put,342624.95011345705
2016-07,Buy Put,295911.0873678483
2016-07,Buy Put,259146.44928753105
2016-07,Buy Put,232765.8508350119
2016-07,Buy Call,79123.71811848473
2016-07,Buy Call,7833.70517107329
2016-07,Buy Call,135530.87279930408
2016-07,Buy Call,88515.75615900842
2016-07,Buy Call,44490.362165674924
2016-07,Buy Call,39470.26672010878
2016-07,Buy Put,192363.17002631509
