Month,Arbitrage Type,Gain
2016-01,Buy Put,42757.78084231519
2016-01,Buy Put,39065.75865092066
2016-01,Buy Put,35361.384783072936
2016-01,Buy Put,31660.71397269832
2016-01,Buy Call,239889.3783443157
2016-01,Buy Call,54814.410993444086
2016-01,Buy Call,123976.55996924329
2016-01,Buy Call,197393.8217571245
2016-01,Buy Call,251528.29848396863
2016-01,Buy Call,304536.14114983194
2016-01,Buy Call,356411.73208125564
2016-01,Buy Call,283521.1892732659
2016-01,Buy Call,603857.2179936139
2016-01,Buy Call,587055.2415701268
2016-01,Buy Call,294526.1807155148
2016-01,Buy Call,300481.96130898217
2016-01,Buy Call,306423.22017655487
2016-01,Buy Call,312349.94765706145
2016-01,Buy Call,318262.16223684157
2016-01,Buy Call,293371.34214897273
2016-01,Buy Call,625472.1273223183
2016-01,Buy Call,643551.5866574093
2016-01,Buy Call,606547.195437578
2016-01,Buy Call,568757.4835856211
2016-01,Buy Call,530184.242363383
2016-01,Buy Call,311441.4061401831
2016-01,Buy Call,278828.58678896836
2016-01,Buy Call,220865.54667079385
2016-01,Buy Call,46296.29031580862
2016-01,Buy Call,92851.56153798368
2016-01,Buy Call,138673.9623298965
2016-02,Buy Call,183759.67362678837
2016-02,Buy Call,488352.5680518943
2016-02,Buy Call,879780.9799893202
2016-02,Buy Call,892729.3827487724
2016-02,Buy Call,1018847.0454027083
2016-02,Buy Call,1096484.881470392
2016-02,Buy Call,1167738.109066036
2016-02,Buy Call,1232354.6716279665
2016-02,Buy Call,1264568.3600177015
2016-02,Buy Call,1273712.232392949
2016-02,Buy Call,1226908.7106531486
2016-02,Buy Call,1281528.2413442652
2016-02,Buy Call,1271523.3008413592
2016-02,Buy Call,1261323.1607387122
2016-02,Buy Call,1250926.1716267304
2016-02,Buy Call,1240330.5106459719
2016-02,Buy Call,1328265.4375110336
2016-02,Buy Call,1250023.3911238753
2016-02,Buy Call,1321426.5812005496
2016-02,Buy Call,1272787.8384096094
2016-02,Buy Call,1219128.3241205255
2016-02,Buy Call,1160236.4985780972
2016-02,Buy Call,1041194.4901125949
2016-02,Buy Call,1057444.0370484162
2016-02,Buy Call,1014888.3574149003
2016-02,Buy Call,1009350.2542211006
2016-02,Buy Call,1010897.6452954756
2016-02,Buy Call,1012443.0161607591
2016-02,Buy Call,1013985.4628424309
2016-03,Buy Call,828869.0600402582
2016-03,Buy Call,786616.7422022556
2016-03,Buy Call,860843.0176469816
2016-03,Buy Call,938483.2745467726
2016-03,Buy Call,907188.9158761337
2016-03,Buy Call,875039.431108803
2016-03,Buy Call,842036.0829077217
2016-03,Buy Call,937242.9499700345
2016-03,Buy Call,1145676.829803147
2016-03,Buy Call,1015043.7997609209
2016-03,Buy Call,934522.2206172714
2016-03,Buy Call,1017011.7249812982
2016-03,Buy Call,1093155.4088749955
2016-03,Buy Call,1163204.8311667128
