Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,328146.21006949095
2016-01,Buy Put,17870.253013938964
2016-01,Buy Put,729236.622524386
2016-01,Buy Put,485311.32875094586
2016-01,Buy Call,471688.8724918391
2016-01,Buy Call,391939.5511340582
2016-01,Buy Call,279719.5422406418
2016-01,Buy Call,112797.9409790001
2016-01,Buy Put,53169.06552849332
2016-01,Buy Put,32101.51174317133
2016-01,Buy Put,814945.8025242069
2016-01,Buy Put,671520.4072292842
2016-01,Buy Put,372736.72027989593
2016-01,Buy Put,70814.89066145963
2016-01,Buy Call,183256.1355016651
2016-01,Buy Call,702584.3151891102
2016-01,Buy Call,555333.7844926247
2016-01,Buy Call,435113.9883265347
2016-01,Buy Call,573055.7440067799
2016-01,Buy Call,192721.44827426274
2016-01,Buy Put,105749.3448415272
2016-02,Buy Put,245675.48992188647
2016-02,Buy Put,848404.7501630663
2016-02,Buy Put,1317819.6858248229
2016-02,Buy Put,1027492.153307385
2016-02,Buy Put,950826.963351922
2016-02,Buy Put,755618.8384301414
2016-02,Buy Put,606274.5260326032
2016-02,Buy Put,503716.8069025242
2016-02,Buy Put,357433.1416453447
2016-02,Buy Put,176426.9881911602
2016-02,Buy Call,250748.24666372564
2016-02,Buy Put,70118.46096769859
2016-02,Buy Call,24381.925302407126
2016-02,Buy Call,99881.89353867227
2016-02,Buy Call,117999.48776291558
2016-02,Buy Call,113533.62781601817
2016-02,Buy Put,440522.65024498996
2016-02,Buy Call,85891.49710189758
2016-02,Buy Put,345972.22355638025
2016-02,Buy Call,12880.118142440722
2016-02,Buy Call,314586.59005075163
2016-02,Buy Call,492207.5656083393
2016-02,Buy Call,782900.8025605866
2016-02,Buy Call,457171.6773111874
2016-02,Buy Call,367706.1836797577
2016-02,Buy Call,126821.83625387466
2016-02,Buy Put,89767.76391570241
2016-02,Buy Put,167678.26330899994
2016-02,Buy Put,207102.8574195637
2016-03,Buy Call,480575.80639481044
2016-03,Buy Call,447923.6347318576
2016-03,Buy Put,4165.695076387976
2016-03,Buy Put,360105.1230685357
2016-03,Buy Put,250129.03551838404
2016-03,Buy Put,101949.05514342168
2016-03,Buy Call,32014.641352617444
2016-03,Buy Put,319423.0563349834
2016-03,Buy Put,905450.3760900907
2016-03,Buy Put,234873.59962860667
2016-03,Buy Call,213455.83265665625
2016-03,Buy Put,117534.58482321122
2016-03,Buy Put,362749.13996375346
2016-03,Buy Put,531147.7278964602
2016-03,Buy Call,427556.011059508
2016-03,Buy Call,1040667.6764643628
2016-03,Buy Call,1269501.8849761582
2016-03,Buy Call,1075892.4256924835
2016-03,Buy Call,683614.1013430961
2016-03,Buy Call,325392.146612721
2016-03,Buy Call,54337.98329755035
2016-03,Buy Call,334815.76470762066
2016-03,Buy Put,198761.7699451505
2016-03,Buy Put,797674.5301428423
2016-03,Buy Put,505141.41464106645
2016-03,Buy Put,172485.1835627703
2016-03,Buy Call,96994.55390848755
2016-03,Buy Call,270438.9304666321
2016-03,Buy Call,399740.5106034506
2016-03,Buy Call,180115.83691972532
2016-03,Buy Call,229493.2786268262
2016-04,Buy Put,108276.0729665182
2016-04,Buy Put,199525.9437430974
2016-04,Buy Put,247541.28223656124
2016-04,Buy Put,238930.6677856311
2016-04,Buy Call,54005.67251350452
2016-04,Buy Call,185833.23652617168
2016-04,Buy Put,43544.10867203739
2016-04,Buy Put,161095.64658740538
2016-04,Buy Put,200905.54746047218
2016-04,Buy Put,192175.1188398133
2016-04,Buy Put,183949.0773049519
2016-04,Buy Call,365308.2701285797
2016-04,Buy Call,563442.9097772511
2016-04,Buy Call,399514.39270938496
2016-04,Buy Call,146699.9929620627
2016-04,Buy Call,154445.16846533673
2016-04,Buy Call,206334.6780494726
2016-04,Buy Call,248898.9393980674
2016-04,Buy Call,371008.1183779863
2016-04,Buy Call,104079.80345431867
2016-04,Buy Call,220763.8875867488
2016-04,Buy Put,53646.85600243746
2016-04,Buy Put,132139.13827058833
2016-04,Buy Put,180948.6370776412
2016-04,Buy Put,181640.06116501242
2016-04,Buy Put,42565.442349975056
2016-04,Buy Put,11234.353532337593
2016-04,Buy Call,333239.7231596573
2016-04,Buy Call,330456.1575321969
2016-04,Buy Call,207588.51815022438
2016-05,Buy Call,95765.94089548962
2016-05,Buy Call,33613.922002722065
2016-05,Buy Call,94958.68895944426
2016-05,Buy Put,61331.92295052936
2016-05,Buy Put,4415.753532946099
2016-05,Buy Call,165304.88208739768
2016-05,Buy Call,49700.9988602386
2016-05,Buy Put,50445.48667112991
2016-05,Buy Put,116848.87098318341
2016-05,Buy Call,86805.94691710298
2016-05,Buy Put,96638.3245128739
2016-05,Buy Put,142327.99280066643
2016-05,Buy Put,26197.133339692868
2016-05,Buy Call,7554.24821466022
2016-05,Buy Call,17468.517409888307
2016-05,Buy Call,11299.09913947813
2016-05,Buy Put,53576.19329436858
2016-05,Buy Call,186660.38258862015
2016-05,Buy Call,49551.624630311155
2016-05,Buy Put,161173.15815145615
2016-05,Buy Put,266353.35983528564
2016-05,Buy Put,297773.0567010752
2016-05,Buy Put,303011.2043315185
2016-05,Buy Put,200825.64695865556
2016-05,Buy Put,17548.992270988605
2016-05,Buy Call,96278.36021679315
2016-05,Buy Call,219395.36396029525
2016-05,Buy Call,46405.91657314985
2016-05,Buy Put,88671.24076607524
2016-05,Buy Put,172621.2826520026
2016-05,Buy Put,205044.71292885285
2016-06,Buy Put,496022.182944003
2016-06,Buy Put,73513.48355233256
2016-06,Buy Put,220797.32478903225
2016-06,Buy Put,211834.6221259273
2016-06,Buy Put,213704.73703291992
2016-06,Buy Put,223071.52467771375
2016-06,Buy Put,638924.7168292514
2016-06,Buy Put,423659.07702285453
2016-06,Buy Put,117468.23980394083
2016-06,Buy Call,269184.4881361689
2016-06,Buy Call,131330.0657916301
2016-06,Buy Put,49193.98726845259
2016-06,Buy Put,192297.39724863038
2016-06,Buy Put,409164.2169480778
2016-06,Buy Put,400176.3243533603
2016-06,Buy Put,98520.45814215415
2016-06,Buy Put,461072.3577169935
2016-06,Buy Put,326185.6228779649
2016-06,Buy Put,224381.78374765272
2016-06,Buy Put,152589.17385652638
2016-06,Buy Put,379499.8466833093
2016-06,Buy Call,149978.60741251401
2016-06,Buy Put,13723.547679354908
2016-06,Buy Call,770693.5441869014
2016-06,Buy Call,626538.4482764631
2016-06,Buy Call,429065.5394156744
2016-06,Buy Call,266370.7695869988
2016-06,Buy Call,90463.42826439968
2016-06,Buy Call,59881.60539921239
2016-06,Buy Put,161541.69182144073
2016-07,Buy Put,4574.073202121554
2016-07,Buy Put,35452.74735974857
2016-07,Buy Put,52372.02214490822
2016-07,Buy Put,69609.17695158742
2016-07,Buy Put,77108.33134970586
2016-07,Buy Put,383719.9804780767
2016-07,Buy Put,58668.291204433845
2016-07,Buy Put,155245.9287191752
2016-07,Buy Put,167746.30843652715
2016-07,Buy Put,185229.21144550963
2016-07,Buy Put,202748.6555438429
2016-07,Buy Call,428.86907890249404
2016-07,Buy Put,152834.05486548675
2016-07,Buy Call,75724.13567827852
2016-07,Buy Put,17204.495765867025
2016-07,Buy Call,12574.73545364718
2016-07,Buy Call,40083.63494797607
2016-07,Buy Call,47929.839429208696
2016-07,Buy Put,29301.22448524486
2016-07,Buy Put,71782.12259195505
2016-07,Buy Call,570824.2360010516
2016-07,Buy Call,495472.17683004873
2016-07,Buy Call,292700.8032114955
2016-07,Buy Call,112328.10325994791
2016-07,Buy Call,27929.104752956846
