Month,Arbitrage Type,Gain
2016-01,Buy Call,78534.792973187
2016-01,Buy Call,119238.67168690094
2016-01,Buy Call,159722.31618785314
2016-01,Buy Call,199952.23796992435
2016-01,Buy Call,22665.26721656703
2016-01,Buy Put,27809.18664025478
2016-01,Buy Put,544264.5745104215
2016-01,Buy Put,785343.688012091
2016-01,Buy Put,847329.0115201593
2016-01,Buy Put,908771.586363514
2016-01,Buy Put,969674.4721722439
2016-01,Buy Put,947710.4514400167
2016-01,Buy Call,51695.452384038275
2016-01,Buy Put,41505.97739302953
2016-01,Buy Put,212481.72586621196
2016-01,Buy Put,233420.2254920541
2016-01,Buy Put,254298.53832153525
2016-01,Buy Put,275120.7719960718
2016-01,Buy Put,295886.38871020125
2016-01,Buy Call,10037.290756642393
2016-01,Buy Call,884948.9751595173
2016-01,Buy Call,349085.7433901482
2016-01,Buy Call,82646.95007555645
2016-01,Buy Put,176789.27831752843
2016-01,Buy Put,423668.49026254273
2016-01,Buy Put,403762.89606375335
2016-01,Buy Put,381273.7035617744
2016-01,Buy Put,227560.2053324519
2016-01,Buy Put,168340.36415092158
2016-01,Buy Call,38603.65313532554
2016-01,Buy Call,255214.69743912917
2016-02,Buy Call,464933.1865864497
2016-02,Buy Call,931122.4990248661
2016-02,Buy Call,819241.2897497405
2016-02,Buy Call,977054.9009512735
2016-02,Buy Call,1144517.1762980805
2016-02,Buy Call,1139048.8892499064
2016-02,Buy Call,1133574.088483158
2016-02,Buy Call,1128092.782014747
2016-02,Buy Call,1206875.17248561
2016-02,Buy Call,1094827.5412488328
2016-02,Buy Call,1133297.6004291596
2016-02,Buy Call,1258766.1318722921
2016-02,Buy Call,1258697.796627473
2016-02,Buy Call,1258629.4583759496
2016-02,Buy Call,1258561.1211754752
2016-02,Buy Call,1258492.7841284638
2016-02,Buy Call,1209170.654841813
2016-02,Buy Call,979175.0145083569
2016-02,Buy Call,819540.7968139676
2016-02,Buy Call,809568.1874452935
2016-02,Buy Call,799576.9678571776
2016-02,Buy Call,789567.1380234717
2016-02,Buy Call,958647.6797276618
2016-02,Buy Call,1104202.4825441246
2016-02,Buy Call,1062053.61634008
2016-02,Buy Call,572447.995912853
2016-02,Buy Call,381401.11828201386
2016-02,Buy Call,184542.22632524875
2016-02,Buy Put,16916.476789631928
2016-03,Buy Call,19347.515030275987
2016-03,Buy Call,643066.1224658536
2016-03,Buy Call,661914.3230628311
2016-03,Buy Call,584660.6707354027
2016-03,Buy Call,427746.2281371811
2016-03,Buy Call,266915.36212148034
2016-03,Buy Call,102057.6844983907
2016-03,Buy Put,167701.6420209867
2016-03,Buy Put,182461.44686619914
2016-03,Buy Put,488438.9607623234
2016-03,Buy Put,1034952.4364328602
2016-03,Buy Put,1116004.128789612
2016-03,Buy Put,1196087.8335448513
2016-03,Buy Put,1275225.7980342137
2016-03,Buy Put,1383814.5361735742
2016-03,Buy Put,1353681.1857978108
2016-03,Buy Put,1617639.5621818642
2016-03,Buy Put,1576765.0850796998
2016-03,Buy Put,1510108.2855745319
2016-03,Buy Put,1441978.8081353176
2016-03,Buy Put,1373520.245803263
2016-03,Buy Put,1244743.8175698693
2016-03,Buy Put,616286.3735176814
2016-03,Buy Put,228890.03184026535
2016-03,Buy Put,63740.13364919051
2016-03,Buy Call,110806.9379566956
2016-03,Buy Call,286053.77604758076
2016-03,Buy Call,456763.5422180132
2016-03,Buy Call,402217.03963997867
2016-03,Buy Call,738777.9345524024
2016-03,Buy Call,451135.2858175002
2016-04,Buy Call,984021.7346207822
2016-04,Buy Call,1159256.917149122
2016-04,Buy Call,1327961.7159053031
2016-04,Buy Call,1489199.0480960403
2016-04,Buy Call,1288604.4346395805
2016-04,Buy Call,1215994.713074423
2016-04,Buy Call,1796771.1144190303
2016-04,Buy Call,2403840.5768022244
2016-04,Buy Call,2405694.9300727267
2016-04,Buy Call,2407547.4700040827
2016-04,Buy Call,2409398.1623442033
2016-04,Buy Call,2082265.9594017025
2016-04,Buy Call,1980522.6337714572
2016-04,Buy Call,1748018.939906089
2016-04,Buy Call,1950838.2599388482
2016-04,Buy Call,1904205.926107423
2016-04,Buy Call,1856817.487718857
2016-04,Buy Call,1808670.1979823657
2016-04,Buy Call,1543156.9857569656
2016-04,Buy Call,1154352.067919561
2016-04,Buy Call,69531.70453495262
2016-04,Buy Put,231638.31081930653
2016-04,Buy Put,138241.47310113232
2016-04,Buy Put,43839.13199768585
2016-04,Buy Call,55049.42061462259
2016-04,Buy Put,80555.64309266572
2016-04,Buy Put,166517.5270405399
2016-04,Buy Put,29808.185328263902
2016-04,Buy Put,224559.46093835167
2016-04,Buy Put,216380.8868499757
2016-05,Buy Put,208192.6846229436
2016-05,Buy Put,199994.73961081548
2016-05,Buy Put,1531692.9143587146
2016-05,Buy Put,2083033.3301770168
2016-05,Buy Put,2091684.7202521467
2016-05,Buy Put,2114222.941950203
2016-05,Buy Put,2178397.8034900427
2016-05,Buy Put,2241868.5837757834
2016-05,Buy Put,2304649.428553688
2016-05,Buy Put,2307846.387364094
2016-05,Buy Put,2206785.591671007
2016-05,Buy Put,1951688.1223454874
2016-05,Buy Put,1452747.0730739792
2016-05,Buy Put,1367001.0629971614
2016-05,Buy Put,1280962.4338710534
2016-05,Buy Put,1193835.004174673
2016-05,Buy Put,953358.6507550353
2016-05,Buy Put,1253861.2696242523
2016-05,Buy Put,1317437.8123716223
2016-05,Buy Put,1167651.1385260255
2016-05,Buy Put,1079894.2785776546
2016-05,Buy Put,990978.5226663246
2016-05,Buy Put,900889.688763101
2016-05,Buy Put,934180.8060497812
2016-05,Buy Put,900988.5055178727
2016-05,Buy Put,585534.7407498641
2016-05,Buy Put,242084.67699502024
2016-05,Buy Put,45013.35265729267
2016-05,Buy Call,164741.22630989997
2016-05,Buy Call,371637.1587043312
2016-05,Buy Call,572119.2570754283
2016-06,Buy Call,1045868.3461157534
2016-06,Buy Call,1342150.3369114732
2016-06,Buy Call,1344225.385120481
2016-06,Buy Call,1320029.2782083096
2016-06,Buy Call,1295686.4137281626
2016-06,Buy Call,1271198.4543442014
2016-06,Buy Call,1275284.498916065
2016-06,Buy Call,1347810.6069724306
2016-06,Buy Call,1284830.2538412213
2016-06,Buy Call,1494720.2800870657
2016-06,Buy Call,1482795.2180711322
2016-06,Buy Call,1470833.3413754674
2016-06,Buy Call,1459715.230651966
2016-06,Buy Call,1221415.9877715076
2016-06,Buy Call,740373.6869883062
2016-06,Buy Call,172932.55915008386
2016-06,Buy Call,60263.64562691811
2016-06,Buy Put,60628.53793400791
2016-06,Buy Put,176172.01718603325
2016-06,Buy Put,290194.8004872139
2016-06,Buy Put,595647.2626037907
2016-06,Buy Put,423789.15237840434
2016-06,Buy Put,31600.488199018175
2016-06,Buy Put,524243.04742761765
2016-06,Buy Put,474819.46456730383
2016-06,Buy Put,424975.6125596065
2016-06,Buy Put,374810.16645776323
2016-06,Buy Put,348536.2214549923
2016-06,Buy Put,434039.0430403005
2016-06,Buy Put,529268.2826117954
2016-07,Buy Put,575851.5683582885
2016-07,Buy Put,522554.82288941834
2016-07,Buy Put,468923.1551364088
2016-07,Buy Put,414816.94874859444
2016-07,Buy Put,360331.0427549502
2016-07,Buy Put,469522.98174105067
2016-07,Buy Put,767339.6232850251
2016-07,Buy Put,539946.9260581356
2016-07,Buy Put,375118.8024067886
2016-07,Buy Put,206569.3852451034
2016-07,Buy Put,34280.21777490642
2016-07,Buy Put,299320.77646050457
2016-07,Buy Put,350348.4765883513
2016-07,Buy Put,306307.4471168932
2016-07,Buy Put,458283.56999155064
2016-07,Buy Put,528242.6941152636
2016-07,Buy Put,597591.5321605072
2016-07,Buy Put,666297.1574996703
2016-07,Buy Put,319038.6858384358
2016-07,Buy Put,543433.8803012224
2016-07,Buy Put,271094.7196865163
2016-07,Buy Call,226309.9646086033
2016-07,Buy Call,253784.6543080633
2016-07,Buy Call,281122.2171617374
2016-07,Buy Call,308363.2926323219
2016-07,Buy Call,438264.12526796333
2016-07,Buy Call,457847.11846621917
2016-07,Buy Call,546201.046284935
2016-07,Buy Call,299543.8651456368
2016-07,Buy Call,341845.34294394095
2016-07,Buy Call,383869.90760861296
2016-08,Buy Call,425605.15786665573
2016-08,Buy Call,146889.73871803057
2016-08,Buy Put,209908.62207521845
2016-08,Buy Call,798008.5196154079
2016-08,Buy Call,1285536.479906469
2016-08,Buy Call,1128463.4076618403
2016-08,Buy Call,965853.7207124595
2016-08,Buy Call,797782.9865853039
2016-08,Buy Call,993643.1017812026
2016-08,Buy Call,968725.4784950312
2016-08,Buy Call,1025962.8390040519
2016-08,Buy Call,861944.380210474
2016-08,Buy Call,886708.6663407661
2016-08,Buy Call,911355.232748278
2016-08,Buy Call,935883.9611758612
2016-08,Buy Call,1140167.4017053267
2016-08,Buy Call,1279244.1551805353
2016-08,Buy Call,1262222.467181246
2016-08,Buy Call,1270789.6313663411
2016-08,Buy Call,1168562.4841491347
2016-08,Buy Call,1063965.934845072
2016-08,Buy Call,957029.2719960349
2016-08,Buy Call,1133269.4809127445
2016-08,Buy Call,562029.0781229755
2016-08,Buy Call,368573.1093360829
2016-08,Buy Call,87931.40258586618
2016-08,Buy Call,127682.92064788511
2016-08,Buy Call,167203.29168569492
2016-08,Buy Call,206567.53905609547
2016-08,Buy Call,243561.68681750033
2016-08,Buy Call,187346.8855428655
2016-09,Buy Put,429684.4891801328
2016-09,Buy Put,632823.5823392703
2016-09,Buy Put,862798.3773110231
2016-09,Buy Put,1085456.6507781413
2016-09,Buy Put,1301009.6851825495
2016-09,Buy Put,1510424.900412005
2016-09,Buy Put,2056496.2979197502
2016-09,Buy Put,2239447.254394804
2016-09,Buy Put,2315920.947161828
2016-09,Buy Put,2273702.86959777
2016-09,Buy Put,2231173.694237526
2016-09,Buy Put,2188329.0943759163
2016-09,Buy Put,1982072.928533924
2016-09,Buy Put,1876433.302050927
2016-09,Buy Put,1650302.2506907287
2016-09,Buy Put,1149834.1376986757
2016-09,Buy Put,1230878.6828329233
2016-09,Buy Put,1310960.6650995004
2016-09,Buy Put,1390139.4074638062
2016-09,Buy Put,1563349.6071638858
2016-09,Buy Put,2148138.7631161935
2016-09,Buy Put,2595206.9361119214
2016-09,Buy Put,2109915.608970567
2016-09,Buy Put,2091902.7948268934
2016-09,Buy Put,2073833.9307633708
2016-09,Buy Put,2055708.7821438955
2016-09,Buy Put,2126556.771956501
2016-09,Buy Put,1995995.600393627
2016-09,Buy Put,2038438.884742078
2016-09,Buy Put,1930880.3278579062
2016-10,Buy Put,1988659.8870803737
2016-10,Buy Put,2045877.3635188409
2016-10,Buy Put,2102539.172294314
2016-10,Buy Put,2062945.2676282937
2016-10,Buy Put,2305189.8909557876
2016-10,Buy Put,2109973.8500588643
2016-10,Buy Put,2316505.2930860524
2016-10,Buy Put,2310122.955927895
2016-10,Buy Put,2303733.546203446
2016-10,Buy Put,2297337.0457939524
2016-10,Buy Put,1905756.7285655353
2016-10,Buy Put,1930255.932891086
2016-10,Buy Put,1950994.113871431
2016-10,Buy Put,2200448.8905096194
2016-10,Buy Put,2326011.347393319
2016-10,Buy Put,2448895.6179861105
2016-10,Buy Put,2569195.5341161476
2016-10,Buy Put,2473589.807383817
2016-10,Buy Put,2553131.962487242
2016-10,Buy Put,2632133.8293485753
2016-10,Buy Put,2469914.901120973
2016-10,Buy Put,2432591.226506631
2016-10,Buy Put,2395022.898450591
2016-10,Buy Put,2357207.292421933
2016-10,Buy Put,2418415.538022913
2016-10,Buy Put,2556074.62581051
2016-10,Buy Put,2034263.8306253634
2016-10,Buy Put,2079358.4382277858
2016-10,Buy Put,2062816.1227431435
2016-10,Buy Put,2046226.6731273218
2016-10,Buy Put,2029589.9073666846
2016-11,Buy Put,1989044.3241994262
2016-11,Buy Put,1852285.296317689
2016-11,Buy Put,1617992.9902089185
2016-11,Buy Put,1677963.6415938484
2016-11,Buy Put,1541989.926847748
2016-11,Buy Put,1402082.1007789692
2016-11,Buy Put,1259499.8931609637
2016-11,Buy Put,1203453.7758416093
2016-11,Buy Put,1672821.2973402066
2016-11,Buy Put,1851360.7018077637
2016-11,Buy Put,1925462.6801827045
2016-11,Buy Put,1864923.6863927569
2016-11,Buy Put,1803774.646714416
2016-11,Buy Put,1742016.671819826
2016-11,Buy Put,1847344.3261480895
2016-11,Buy Put,1730949.357143885
2016-11,Buy Put,1607406.7793901605
2016-11,Buy Put,1668426.4327377605
2016-11,Buy Put,1727164.9631184402
2016-11,Buy Put,1785367.667277214
2016-11,Buy Put,1843032.934027974
2016-11,Buy Put,1689397.3100220165
2016-11,Buy Put,1838779.4694945682
