Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,2066007.2960608033
2016-01,Buy Call,1526472.284015682
2016-01,Buy Put,2428328.0547649255
2016-01,Buy Put,1997721.0929546203
2016-01,Buy Put,1259493.8004333614
2016-01,Buy Put,989031.516149339
2016-01,Buy Put,703588.5950600686
2016-01,Buy Put,379664.9921252424
2016-01,Buy Put,69548.01031922386
2016-01,Buy Put,1084441.055273615
2016-01,Buy Put,3082806.567474201
2016-01,Buy Put,1279233.0662348804
2016-01,Buy Put,44785.30611946496
2016-01,Buy Call,1053376.0140878598
2016-01,Buy Call,1858548.3336519531
2016-01,Buy Call,1599686.0638054784
2016-01,Buy Call,1310897.3227555226
2016-01,Buy Call,480281.0549562935
2016-01,Buy Call,46339.06333545213
2016-01,Buy Put,824600.0770065791
2016-01,Buy Put,1441817.9523360522
2016-02,Buy Put,1900872.1728095992
2016-02,Buy Put,2794882.57825345
2016-02,Buy Put,2122202.6784801357
2016-02,Buy Put,2179453.7231285674
2016-02,Buy Put,2233404.7421168108
2016-02,Buy Put,1772576.4536819924
2016-02,Buy Put,1328924.742514687
2016-02,Buy Put,928802.4874462053
2016-02,Buy Put,918181.5508835171
2016-02,Buy Put,173949.86354138097
2016-02,Buy Put,192188.88117242727
2016-02,Buy Put,613128.497565043
2016-02,Buy Put,479479.09995555447
2016-02,Buy Put,360687.454269609
2016-02,Buy Put,272473.6739129412
2016-02,Buy Put,205286.1179202239
2016-02,Buy Call,79232.8925151935
2016-02,Buy Call,1101254.8804543768
2016-02,Buy Call,1558064.393079988
2016-02,Buy Call,1365812.0214224283
2016-02,Buy Call,1179892.0723373669
2016-02,Buy Call,988888.1833320368
2016-02,Buy Call,30286.498810895067
2016-02,Buy Put,669575.728874321
2016-02,Buy Put,473749.16465929575
2016-02,Buy Call,1518830.6547357796
2016-02,Buy Call,1900143.4005448772
2016-02,Buy Call,2201557.691852116
2016-02,Buy Call,2433672.9501293204
2016-03,Buy Call,1957512.0997277652
2016-03,Buy Put,705046.1800876064
2016-03,Buy Put,801140.8215568849
2016-03,Buy Put,525918.8645443658
2016-03,Buy Call,67055.13761056637
2016-03,Buy Call,632960.0977773992
2016-03,Buy Call,1117095.79782503
2016-03,Buy Call,1883138.506385734
2016-03,Buy Call,1679357.5996081245
2016-03,Buy Call,2400723.3472385537
2016-03,Buy Call,3520179.9445242584
2016-03,Buy Call,3262941.834782886
2016-03,Buy Call,2962940.671147166
2016-03,Buy Call,2653491.281619665
2016-03,Buy Call,2464026.421485286
2016-03,Buy Call,1776181.0357619368
2016-03,Buy Call,2318476.5088558663
2016-03,Buy Call,1652054.2368502617
2016-03,Buy Call,936677.0027672828
2016-03,Buy Call,270628.4687269687
2016-03,Buy Put,258546.78214233217
2016-03,Buy Put,848107.2112717527
2016-03,Buy Put,2744121.425729624
2016-03,Buy Put,3216527.6392929913
2016-03,Buy Put,3125871.5291419816
2016-03,Buy Put,3006781.6768454704
2016-03,Buy Put,2868875.5991574693
2016-03,Buy Put,2704252.186499495
2016-03,Buy Put,2008362.8125739067
2016-03,Buy Put,2402573.275207793
2016-03,Buy Put,1018865.6480052316
2016-04,Buy Put,2283251.755382473
2016-04,Buy Put,2318914.7744304677
2016-04,Buy Put,2378355.3800722286
2016-04,Buy Put,2434971.679506404
2016-04,Buy Put,1325048.314233925
2016-04,Buy Put,677923.7079772145
2016-04,Buy Put,2485924.053754175
2016-04,Buy Put,3546495.1919948435
2016-04,Buy Put,3182312.877276438
2016-04,Buy Put,2772051.8776462628
2016-04,Buy Put,2313879.72466392
2016-04,Buy Put,180898.67631239543
2016-04,Buy Call,704573.7947110382
2016-04,Buy Call,1906938.440140479
2016-04,Buy Call,864281.6332862253
2016-04,Buy Call,1110072.2477368948
2016-04,Buy Call,1236953.877118509
2016-04,Buy Call,1260592.7658158436
2016-04,Buy Call,2074315.5172450542
2016-04,Buy Call,2932411.934409046
2016-04,Buy Call,4378481.451339745
2016-04,Buy Call,4374662.504136517
2016-04,Buy Call,3837733.5770915835
2016-04,Buy Call,3106572.137897565
2016-04,Buy Call,2240433.5026744776
2016-04,Buy Call,2011353.0471716104
2016-04,Buy Call,1671828.0517421532
2016-04,Buy Call,603694.3789787302
2016-04,Buy Call,991902.2487946165
2016-04,Buy Call,640674.6968599748
2016-05,Buy Call,385347.16914129775
2016-05,Buy Call,252738.9939852469
2016-05,Buy Call,4192441.9526603743
2016-05,Buy Call,4770333.292267484
2016-05,Buy Call,4389799.791771154
2016-05,Buy Call,3920765.5406183973
2016-05,Buy Call,3481266.0119943074
2016-05,Buy Call,2996735.114359353
2016-05,Buy Call,2539219.2875312814
2016-05,Buy Call,1972781.5740318277
2016-05,Buy Call,926359.0645088442
2016-05,Buy Put,840576.0432023044
2016-05,Buy Put,2740130.486863897
2016-05,Buy Put,2659173.4727067263
2016-05,Buy Put,2497052.0859431247
2016-05,Buy Put,2310561.2142886682
2016-05,Buy Put,2553042.666636912
2016-05,Buy Put,997539.4689688955
2016-05,Buy Put,346893.37068536476
2016-05,Buy Put,756371.9227535444
2016-05,Buy Put,833868.2600541034
2016-05,Buy Put,928694.1100912287
2016-05,Buy Put,1041927.3498166888
2016-05,Buy Put,721911.4431949833
2016-05,Buy Put,676704.1331782764
2016-05,Buy Put,1637219.461735171
2016-05,Buy Put,2344957.6881961604
2016-05,Buy Put,2487012.662239863
2016-05,Buy Put,2561067.527103468
2016-05,Buy Put,2593926.388199222
2016-05,Buy Put,2599858.5712352097
2016-06,Buy Put,3149680.98399833
2016-06,Buy Put,3262642.39159196
2016-06,Buy Put,2793657.658007483
2016-06,Buy Put,2225537.8356367713
2016-06,Buy Put,1634932.0452856943
2016-06,Buy Put,1069682.1609085135
2016-06,Buy Put,690563.0201657403
2016-06,Buy Put,683442.4048238504
2016-06,Buy Put,143466.81533868378
2016-06,Buy Put,930883.869822054
2016-06,Buy Put,670343.1729996367
2016-06,Buy Put,480837.8986715667
2016-06,Buy Put,329528.50071787054
2016-06,Buy Call,874016.070253532
2016-06,Buy Call,2468964.4088447266
2016-06,Buy Call,3495146.9949811697
2016-06,Buy Call,3336102.0438994514
2016-06,Buy Call,3161973.7714707055
2016-06,Buy Call,2959553.0194796496
2016-06,Buy Call,2737321.2189254304
2016-06,Buy Call,3011333.1256794143
2016-06,Buy Call,1870115.2449782654
2016-06,Buy Put,224300.56564765266
2016-06,Buy Call,1474537.2936380932
2016-06,Buy Call,881459.0089250202
2016-06,Buy Call,403277.657656389
2016-06,Buy Call,42382.162832439004
2016-06,Buy Put,111674.1336431204
2016-06,Buy Call,253020.24543714197
2016-06,Buy Call,579120.5795589747
2016-07,Buy Call,664591.1021435467
2016-07,Buy Call,349162.71851466264
2016-07,Buy Call,46792.01398667487
2016-07,Buy Put,243059.4833937647
2016-07,Buy Put,434100.6644186507
2016-07,Buy Call,72967.72451869061
2016-07,Buy Call,1307095.5488005183
2016-07,Buy Call,155595.25837086595
2016-07,Buy Put,551470.7151704812
2016-07,Buy Put,1087856.480557491
2016-07,Buy Put,1486940.5163527601
2016-07,Buy Put,317905.5831714095
2016-07,Buy Put,22974.749316233556
2016-07,Buy Put,118191.14899881811
2016-07,Buy Call,616026.2460494579
2016-07,Buy Call,842075.5595824971
2016-07,Buy Call,1000879.8638030498
2016-07,Buy Call,1119768.1257445423
2016-07,Buy Put,529139.3085580296
2016-07,Buy Call,441046.32163472957
2016-07,Buy Put,787790.4419569717
2016-07,Buy Put,2192630.2591738817
