Month,Arbitrage Type,Gain
2016-01,Buy Put,29413.372700165753
2016-01,Buy Put,50669.34090647379
2016-01,Buy Put,71717.7401585296
2016-01,Buy Put,92544.13811824592
2016-01,Buy Put,180061.33649587852
2016-01,Buy Put,237061.3067248577
2016-01,Buy Put,247645.16607838872
2016-01,Buy Put,315148.5941239933
2016-01,Buy Put,258431.71398782518
2016-01,Buy Put,199899.04538325832
2016-01,Buy Put,139500.2273311796
2016-01,Buy Put,119409.44519176
2016-01,Buy Put,102009.06479182592
2016-01,Buy Put,80668.44490600644
2016-01,Buy Call,170701.16147652926
2016-01,Buy Call,224780.34526525193
2016-01,Buy Call,277304.3217639355
2016-01,Buy Call,328275.2527364323
2016-01,Buy Call,377657.27597353305
2016-01,Buy Call,214204.24988456687
2016-01,Buy Call,262272.1900678116
2016-01,Buy Call,244199.84542918982
2016-01,Buy Call,298639.6715143478
2016-01,Buy Call,351358.5895606539
2016-01,Buy Call,402317.18858099444
2016-01,Buy Call,435888.2344964812
2016-01,Buy Call,372092.4667333989
2016-01,Buy Call,198033.31997274753
2016-01,Buy Call,170343.95068996132
2016-01,Buy Call,167225.41309584928
2016-01,Buy Call,164102.02339869074
2016-02,Buy Call,160972.98427946426
2016-02,Buy Call,81251.4215200224
2016-02,Buy Call,100894.38369692516
2016-02,Buy Call,319037.97165360715
2016-02,Buy Call,425225.23040927853
2016-02,Buy Call,424743.973148555
2016-02,Buy Call,424262.186328928
2016-02,Buy Call,423780.57882141107
2016-02,Buy Call,547760.0749767149
2016-02,Buy Call,812218.9666641689
2016-02,Buy Call,899194.6151444115
2016-02,Buy Call,913223.3236534173
2016-02,Buy Call,922160.0066182028
2016-02,Buy Call,930837.4398218592
2016-02,Buy Call,939258.5182844257
2016-02,Buy Call,947425.6813517172
2016-02,Buy Call,1075742.6745110399
2016-02,Buy Call,1060849.882116809
2016-02,Buy Call,1089886.6316055905
2016-02,Buy Call,1090008.322334847
2016-02,Buy Call,1086828.4133665261
2016-02,Buy Call,1080796.48699922
2016-02,Buy Call,1076720.996362392
2016-02,Buy Call,1089191.0607995708
2016-02,Buy Call,1090144.2398917559
2016-02,Buy Call,1089093.9777540497
2016-02,Buy Call,1088689.703480446
2016-02,Buy Call,1088233.556784017
2016-02,Buy Call,1087726.5321028205
2016-03,Buy Call,1078760.2493932103
2016-03,Buy Call,1057336.9890759431
2016-03,Buy Call,1069587.299841685
2016-03,Buy Call,1080103.9219005948
2016-03,Buy Call,1079195.2333110778
2016-03,Buy Call,1078253.9724765455
2016-03,Buy Call,1077280.843260315
2016-03,Buy Call,1088258.1062765787
2016-03,Buy Call,1090056.5328301033
2016-03,Buy Call,1056670.4821273594
2016-03,Buy Call,1007500.5433156035
2016-03,Buy Call,1005628.2582667024
2016-03,Buy Call,1003748.7081452379
2016-03,Buy Call,1001862.2107982408
2016-03,Buy Call,1016426.2048122205
