Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,454386.77123366133
2016-01,Buy Put,413719.671317363
2016-01,Buy Put,355579.1217647481
2016-01,Buy Put,308275.01753870124
2016-01,Buy Put,767740.8338703237
2016-01,Buy Put,674285.7682793364
2016-01,Buy Put,588588.6496722499
2016-01,Buy Put,516360.61193023506
2016-01,Buy Put,465400.7603475314
2016-01,Buy Call,244061.0229683884
2016-01,Buy Call,56352.01207002538
2016-01,Buy Call,108241.2364237939
2016-01,Buy Put,125825.42289925058
2016-01,Buy Put,286797.0645463558
2016-01,Buy Put,394186.5371324944
2016-01,Buy Put,401901.1129178729
2016-01,Buy Put,82140.95433854497
2016-01,Buy Call,504121.51098267443
2016-01,Buy Call,437592.6324967594
2016-01,Buy Call,292972.6805099406
2016-01,Buy Call,148939.15286518933
2016-02,Buy Call,32416.954881924197
2016-02,Buy Call,189214.71546904912
2016-02,Buy Put,6883.991550896695
2016-02,Buy Put,633545.3298053083
2016-02,Buy Put,740805.3122059144
2016-02,Buy Put,552015.4091805125
2016-02,Buy Put,370563.0568853167
2016-02,Buy Put,226224.926876899
2016-02,Buy Put,516376.7385667626
2016-02,Buy Put,1015772.1553527708
2016-02,Buy Put,1006373.2031399918
2016-02,Buy Put,824020.8666067997
2016-02,Buy Put,608715.9583311212
2016-02,Buy Put,416109.3866801586
2016-02,Buy Put,261209.70420497967
2016-02,Buy Put,164357.43308666418
2016-02,Buy Put,992929.9173389197
2016-02,Buy Put,657356.7389489802
2016-02,Buy Put,941374.605084146
2016-02,Buy Put,873994.9215095253
2016-02,Buy Put,800100.9532843959
2016-02,Buy Put,730592.612383587
2016-02,Buy Put,593600.5014734108
2016-02,Buy Call,301514.1312735565
2016-02,Buy Call,438040.09383322654
2016-02,Buy Call,201035.14042812164
2016-02,Buy Call,86145.2026995586
2016-02,Buy Put,2785.9965774332804
2016-02,Buy Put,84224.5035181648
2016-03,Buy Put,482423.38749563985
2016-03,Buy Put,759657.5441280038
2016-03,Buy Put,372761.609686048
2016-03,Buy Call,151119.27218293885
2016-03,Buy Call,125511.74614938177
2016-03,Buy Call,74545.18187260462
2016-03,Buy Call,14672.523769501566
2016-03,Buy Call,930315.4480566605
2016-03,Buy Call,400164.27803568175
2016-03,Buy Put,803474.2116117979
2016-03,Buy Put,930261.2034625079
2016-03,Buy Put,852726.1891465345
2016-03,Buy Put,715836.2266388396
2016-03,Buy Put,540767.2180089715
2016-03,Buy Put,67850.15643288617
2016-03,Buy Put,165830.42441929763
2016-03,Buy Call,594397.3998117755
2016-03,Buy Call,712569.6631442384
2016-03,Buy Call,677870.3026346946
2016-03,Buy Call,625166.6518933518
2016-03,Buy Call,580829.403184687
2016-03,Buy Call,749834.0892256259
2016-03,Buy Call,972180.0378751011
2016-03,Buy Call,806131.6608391653
2016-03,Buy Call,492967.2455824061
2016-03,Buy Call,180487.12076403463
2016-03,Buy Put,52940.0924360246
2016-03,Buy Put,185793.97509294894
2016-03,Buy Put,302989.5344954063
2016-03,Buy Put,96070.29680010371
2016-03,Buy Call,693491.1859493216
2016-04,Buy Call,871531.6492293805
2016-04,Buy Call,811019.5588152607
2016-04,Buy Call,733177.610224157
2016-04,Buy Call,653358.5949373695
2016-04,Buy Call,449196.85206017236
2016-04,Buy Call,538739.7348059047
2016-04,Buy Call,933407.402016023
2016-04,Buy Call,813891.0407365661
2016-04,Buy Call,493361.247180502
2016-04,Buy Call,201975.30398419872
2016-04,Buy Put,31991.090745229656
2016-04,Buy Put,339126.55591363006
2016-04,Buy Put,481960.9870908188
2016-04,Buy Put,77556.56252965437
2016-04,Buy Put,143708.29133873997
2016-04,Buy Put,122239.71646148257
2016-04,Buy Put,108116.81640228699
2016-04,Buy Put,114029.57460453677
2016-04,Buy Call,185071.89078866303
2016-04,Buy Call,369554.0101183035
2016-04,Buy Call,493045.200505847
2016-04,Buy Call,370055.1350549226
2016-04,Buy Call,198711.2098384074
2016-04,Buy Call,63828.82952193114
2016-04,Buy Put,36101.34213304761
2016-04,Buy Put,369501.7529982749
2016-04,Buy Put,421336.4089372256
2016-04,Buy Put,224228.1538620503
2016-04,Buy Call,309712.7495043921
2016-04,Buy Call,208603.6551862165
2016-05,Buy Call,111965.57510228899
2016-05,Buy Call,22556.142012035707
2016-05,Buy Put,207490.89271004096
2016-05,Buy Put,181790.24126241216
2016-05,Buy Call,1317.5414885218117
2016-05,Buy Put,366652.5157346925
2016-05,Buy Put,279076.68981485756
2016-05,Buy Put,199361.29350463717
2016-05,Buy Put,136483.4768738028
2016-05,Buy Put,288525.07095220406
2016-05,Buy Put,150299.726220517
2016-05,Buy Put,166890.87498929922
2016-05,Buy Put,458672.5302747823
2016-05,Buy Put,130552.98631961066
2016-05,Buy Call,154276.4252758282
2016-05,Buy Call,331123.9942598263
2016-05,Buy Call,511499.44091146794
2016-05,Buy Call,450785.8837161045
2016-05,Buy Call,523598.6805107302
2016-05,Buy Call,335354.5027500395
2016-05,Buy Call,245596.3785605917
2016-05,Buy Call,180065.93425239713
2016-05,Buy Call,142331.58998495553
2016-05,Buy Call,127495.11215967147
2016-05,Buy Put,144094.30180968385
2016-05,Buy Put,7592.275510649671
2016-05,Buy Call,471210.10518065275
2016-05,Buy Call,354425.89998603327
2016-05,Buy Call,252877.89004039142
2016-05,Buy Call,165891.45974298703
2016-05,Buy Call,101759.82103873693
2016-06,Buy Put,174573.9665150694
2016-06,Buy Put,652399.3606791656
2016-06,Buy Put,220379.08147277107
2016-06,Buy Put,253638.19244527264
2016-06,Buy Put,263891.13661494077
2016-06,Buy Put,266100.5460600556
2016-06,Buy Put,611832.0822960257
2016-06,Buy Put,492102.7604597548
2016-06,Buy Put,338018.42984639306
2016-06,Buy Put,48404.02182853509
2016-06,Buy Call,61720.069023987635
2016-06,Buy Call,121065.58977897919
2016-06,Buy Call,154337.89856219705
2016-06,Buy Put,127408.4332415626
2016-06,Buy Put,556842.6746423718
2016-06,Buy Put,310577.7681228261
2016-06,Buy Call,148616.31824367904
2016-06,Buy Put,6835.090890646711
2016-06,Buy Put,117669.4427360232
2016-06,Buy Put,194613.56290013753
2016-06,Buy Put,456721.17003474355
2016-06,Buy Put,590616.1072921989
2016-06,Buy Put,679157.014923863
2016-06,Buy Put,18567.28580234801
2016-06,Buy Call,212262.81769191858
2016-06,Buy Call,351413.56647128676
2016-06,Buy Call,417312.88436117
2016-06,Buy Call,438046.9535027878
2016-06,Buy Call,9613.862306714793
2016-06,Buy Call,207952.5292919051
2016-07,Buy Put,245532.31595056245
2016-07,Buy Put,208888.65229623477
2016-07,Buy Put,157997.31943387486
2016-07,Buy Put,99303.26648123255
2016-07,Buy Put,56606.01841848845
2016-07,Buy Put,154433.34413804876
2016-07,Buy Put,136126.71356130336
2016-07,Buy Call,47701.29999271333
2016-07,Buy Call,4153.447060019744
2016-07,Buy Put,25144.237933837132
2016-07,Buy Put,55026.79352371232
2016-07,Buy Put,126730.13331869498
2016-07,Buy Put,497128.7896034369
2016-07,Buy Put,709810.2132193986
2016-07,Buy Put,653092.199951594
2016-07,Buy Put,479358.28498918196
2016-07,Buy Put,322213.6191803102
2016-07,Buy Put,197748.8775243934
2016-07,Buy Call,181795.15900451192
2016-07,Buy Call,189017.16524101532
2016-07,Buy Call,405236.3359826785
2016-07,Buy Call,555081.0165324336
2016-07,Buy Call,351516.15312451054
2016-07,Buy Call,174856.7230078173
2016-07,Buy Call,42081.92229982188
2016-07,Buy Put,50584.713230104935
