Month,Arbitrage Type,Gain
2016-01,Buy Call,1405.5507048489346
2016-01,Buy Call,1745.0619348693408
2016-01,Buy Call,2084.50145630934
2016-01,Buy Call,2423.8692527234207
2016-01,Buy Put,39031.39308327041
2016-01,Buy Put,22768.768120371875
2016-01,Buy Put,27841.701941301977
2016-01,Buy Put,87868.0437461874
2016-01,Buy Put,88942.11577046818
2016-01,Buy Put,90015.31106233785
2016-01,Buy Put,91087.63050561208
2016-01,Buy Put,73158.75749593913
2016-01,Buy Put,105740.07303017651
2016-01,Buy Put,158091.50971925945
2016-01,Buy Put,200503.5470109604
2016-01,Buy Put,203102.1136236255
2016-01,Buy Put,205695.12129865686
2016-01,Buy Put,208094.5626130486
2016-01,Buy Put,210671.86833854023
2016-01,Buy Put,226800.2854637139
2016-01,Buy Put,223109.61370797956
2016-01,Buy Put,265992.70210556727
2016-01,Buy Put,263048.473658376
2016-01,Buy Put,260096.71985411487
2016-01,Buy Put,257137.47524237717
2016-01,Buy Put,280647.5100881229
2016-01,Buy Put,292945.5742758371
2016-01,Buy Put,285000.77935677837
2016-01,Buy Put,278311.7111389188
2016-01,Buy Put,270294.38059247466
2016-01,Buy Put,262221.26029614045
2016-02,Buy Put,254091.53007820962
2016-02,Buy Put,297024.01640452084
2016-02,Buy Put,290658.68582063104
2016-02,Buy Put,215267.30894103707
2016-02,Buy Put,205277.48020818137
2016-02,Buy Put,212123.60258554242
2016-02,Buy Put,219111.25047822465
2016-02,Buy Put,226057.9770584492
2016-02,Buy Put,232874.94212452485
2016-02,Buy Put,254791.29466966554
2016-02,Buy Put,271965.4856376188
2016-02,Buy Put,191730.94006856674
2016-02,Buy Put,172487.43374222287
2016-02,Buy Put,152940.26457215537
2016-02,Buy Put,133084.09091493444
2016-02,Buy Put,112913.54278223054
2016-02,Buy Put,188876.46333960362
2016-02,Buy Put,246101.74802293017
2016-02,Buy Put,269131.02201652
2016-02,Buy Put,253116.13113339248
2016-02,Buy Put,236877.71100632203
2016-02,Buy Put,220411.21924482353
2016-02,Buy Put,192957.90145062952
2016-02,Buy Put,230160.50975527236
2016-02,Buy Put,150963.8669893647
2016-02,Buy Put,163626.8177071294
2016-02,Buy Put,191400.90157888422
2016-02,Buy Put,218351.1541033738
2016-02,Buy Put,244855.08947628533
2016-03,Buy Put,258981.17633455442
2016-03,Buy Put,192852.40447212715
2016-03,Buy Put,165408.0452740665
2016-03,Buy Put,181125.35679692953
2016-03,Buy Put,196473.62681874013
2016-03,Buy Put,211436.83732817209
2016-03,Buy Put,226377.9688182268
2016-03,Buy Put,234452.25340201857
2016-03,Buy Put,188611.82280103606
2016-03,Buy Put,101266.57848599763
2016-03,Buy Put,117038.9070254565
2016-03,Buy Put,128346.0043396687
2016-03,Buy Put,139553.96235153827
2016-03,Buy Put,150663.72760104586
2016-03,Buy Put,132966.48690637626
2016-03,Buy Put,131665.20415910555
2016-03,Buy Put,80209.65508194067
2016-03,Buy Put,29309.06107400233
2016-03,Buy Put,23901.04067330867
2016-03,Buy Put,18471.72367011041
2016-03,Buy Put,13021.027706852095
2016-03,Buy Put,33806.42548283674
2016-03,Buy Put,96037.51617698465
2016-03,Buy Put,165259.7061013772
2016-03,Buy Put,176509.94695822676
2016-03,Buy Put,187658.6431641556
2016-03,Buy Put,198706.8284824076
2016-03,Buy Put,209465.0508850826
2016-03,Buy Put,182362.9722757367
2016-03,Buy Put,133616.630560919
2016-03,Buy Put,191176.4244934382
2016-04,Buy Put,233930.95208368564
2016-04,Buy Put,236522.4682295839
2016-04,Buy Put,239108.2842741419
2016-04,Buy Put,241688.34792838112
2016-04,Buy Put,278629.9861744368
2016-04,Buy Put,273429.2957399234
2016-04,Buy Put,209646.79575689614
2016-04,Buy Put,142985.93444432938
2016-04,Buy Put,149985.87786079297
2016-04,Buy Put,156947.10863336426
2016-04,Buy Put,163869.86247847445
2016-04,Buy Put,219561.89732019737
2016-04,Buy Put,246906.9761079581
2016-04,Buy Put,235481.4752539376
2016-04,Buy Put,220205.37121868244
2016-04,Buy Put,210503.2360308563
2016-04,Buy Put,200896.63476550256
2016-04,Buy Put,191017.94563210107
2016-04,Buy Put,205264.42640066377
2016-04,Buy Put,196854.87473955733
2016-04,Buy Put,200333.16974377158
2016-04,Buy Put,205107.77214734332
2016-04,Buy Put,173240.27852639646
2016-04,Buy Put,140530.89037582112
2016-04,Buy Put,106954.88324318347
2016-04,Buy Put,67409.51599756429
2016-04,Buy Put,93086.9526153053
2016-04,Buy Put,140072.33246699613
2016-04,Buy Put,151795.69543766291
2016-04,Buy Put,153616.52396984838
2016-05,Buy Put,155434.71501472793
2016-05,Buy Put,157250.273104264
2016-05,Buy Put,198641.20456108835
2016-05,Buy Put,299622.9159533286
2016-05,Buy Put,362047.41797503456
2016-05,Buy Put,409439.28776292
2016-05,Buy Put,438976.88512196887
2016-05,Buy Put,467704.8370535655
2016-05,Buy Put,495676.86652566853
2016-05,Buy Put,512066.50322223624
2016-05,Buy Put,465127.0595275161
2016-05,Buy Put,455196.2802979279
2016-05,Buy Put,445769.4566415658
2016-05,Buy Put,441208.59891924623
2016-05,Buy Put,436627.81334036717
2016-05,Buy Put,432026.80952527927
2016-05,Buy Put,432154.3396844536
2016-05,Buy Put,380478.32031680073
2016-05,Buy Put,370908.89773068624
2016-05,Buy Put,380701.5966074871
2016-05,Buy Put,384957.956098706
2016-05,Buy Put,389196.7636458418
2016-05,Buy Put,393418.3913029283
2016-05,Buy Put,448471.42604038125
2016-05,Buy Put,425632.5152553231
2016-05,Buy Put,432823.3771729675
2016-05,Buy Put,489888.13071989414
2016-05,Buy Put,504717.48430130247
2016-05,Buy Put,519338.911417476
2016-05,Buy Put,533752.6011256344
2016-05,Buy Put,547957.0324553187
