Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,48483.03640214624
2016-01,Buy Put,75924.21416073591
2016-01,Buy Call,54104.83575375125
2016-01,Buy Call,249167.2381895995
2016-01,Buy Call,351701.185333539
2016-01,Buy Call,259825.83652807277
2016-01,Buy Call,177725.15818683844
2016-01,Buy Call,108828.00057385466
2016-01,Buy Call,47162.04192115114
2016-01,Buy Call,72301.11522068939
2016-01,Buy Put,1690.8626052085651
2016-01,Buy Call,185422.86529023145
2016-01,Buy Call,112688.74875193546
2016-01,Buy Call,53017.186768389736
2016-01,Buy Put,479.74298306030505
2016-01,Buy Call,95608.09637218881
2016-01,Buy Call,112501.71976007905
2016-01,Buy Call,18355.33391291477
2016-01,Buy Put,44802.954751695266
2016-01,Buy Put,88157.5950892568
2016-01,Buy Put,117186.94987337131
2016-02,Buy Put,131673.75791411474
2016-02,Buy Call,114375.23849496145
2016-02,Buy Call,54892.67107113349
2016-02,Buy Put,302452.80612170335
2016-02,Buy Put,277531.20533057896
2016-02,Buy Put,180694.765660121
2016-02,Buy Put,95551.53250868287
2016-02,Buy Put,24600.570006906964
2016-02,Buy Call,29801.968276888856
2016-02,Buy Call,146102.27302569358
2016-02,Buy Call,198584.21109223555
2016-02,Buy Put,238393.0154057836
2016-02,Buy Put,284727.2222372652
2016-02,Buy Put,309807.42547824036
2016-02,Buy Put,307747.19369301805
2016-02,Buy Put,293771.0084299958
2016-02,Buy Call,134648.77486359584
2016-02,Buy Call,385317.4358169298
2016-02,Buy Call,410874.15072814614
2016-02,Buy Call,236794.11787955117
2016-02,Buy Call,56292.73836356674
2016-02,Buy Put,97932.97273841262
2016-02,Buy Put,234623.70024180145
2016-02,Buy Put,44847.03914957322
2016-02,Buy Put,362384.0950158765
2016-02,Buy Put,229372.14111646754
2016-02,Buy Put,23122.26824798458
2016-02,Buy Call,144736.12008367098
2016-02,Buy Call,244704.35187631522
2016-03,Buy Call,245237.03908061024
2016-03,Buy Put,152866.74446576854
2016-03,Buy Put,257068.89618547636
2016-03,Buy Put,154793.3398718371
2016-03,Buy Put,58134.1034484133
2016-03,Buy Call,23500.44003424401
2016-03,Buy Call,102854.57802126174
2016-03,Buy Call,126749.33307840419
2016-03,Buy Put,125827.23308034005
2016-03,Buy Put,426205.21305233974
2016-03,Buy Put,297745.00640985835
2016-03,Buy Put,190126.98369370186
2016-03,Buy Put,81064.8888725254
2016-03,Buy Call,16553.4931854161
2016-03,Buy Put,46149.17455440803
2016-03,Buy Put,30658.6510390936
2016-03,Buy Put,231105.1595507223
2016-03,Buy Put,359854.7639457514
2016-03,Buy Put,310679.77584415016
2016-03,Buy Put,257973.93523372491
2016-03,Buy Put,198874.22805141952
2016-03,Buy Put,50000.37424066761
2016-03,Buy Call,245836.56522090535
2016-03,Buy Call,457947.787774712
2016-03,Buy Call,394036.32912623545
2016-03,Buy Call,320564.6342136816
2016-03,Buy Call,242037.77912282475
2016-03,Buy Call,173759.61442353117
2016-03,Buy Put,58345.21623455302
2016-03,Buy Put,287282.34986726876
2016-03,Buy Put,10422.082499474072
2016-04,Buy Call,195818.98957714473
2016-04,Buy Call,167061.3682229991
2016-04,Buy Call,133803.1391357397
2016-04,Buy Call,93528.29354751791
2016-04,Buy Call,226539.16781846917
2016-04,Buy Call,118855.50333528272
2016-04,Buy Put,244874.31616282152
2016-04,Buy Put,453343.9800831722
2016-04,Buy Put,343853.01547929004
2016-04,Buy Put,219928.87077786704
2016-04,Buy Put,108674.51717550126
2016-04,Buy Call,212085.01457091345
2016-04,Buy Call,310748.911147666
2016-04,Buy Call,194246.12171183497
2016-04,Buy Call,52115.785744167195
2016-04,Buy Put,50047.021825907475
2016-04,Buy Put,126293.56862559504
2016-04,Buy Put,167092.18870098397
2016-04,Buy Put,73868.1645975241
2016-04,Buy Put,91966.97783013618
2016-04,Buy Put,43068.69347804465
2016-04,Buy Call,1006.9245702233331
2016-04,Buy Put,142921.82703623624
2016-04,Buy Put,247704.28706082015
2016-04,Buy Put,316874.1529284169
2016-04,Buy Put,373842.3402933701
2016-04,Buy Put,189267.0515891801
2016-04,Buy Call,89055.34151345407
2016-04,Buy Call,148471.1762523645
2016-04,Buy Call,131512.32796019485
2016-05,Buy Call,103264.67712796372
2016-05,Buy Call,65337.248828907235
2016-05,Buy Call,208740.9585801936
2016-05,Buy Call,543274.3630379768
2016-05,Buy Call,634548.0300440851
2016-05,Buy Call,649445.0149309862
2016-05,Buy Call,592311.81647948
2016-05,Buy Call,527926.7241208547
2016-05,Buy Call,458248.09641973727
2016-05,Buy Call,335230.7507119683
2016-05,Buy Put,149691.5474669791
2016-05,Buy Put,237881.20557167503
2016-05,Buy Put,262859.76493323204
2016-05,Buy Put,223112.11751136996
2016-05,Buy Put,170146.78011642204
2016-05,Buy Put,116633.5504257141
2016-05,Buy Put,61481.50651403128
2016-05,Buy Put,289128.9322253918
2016-05,Buy Put,252316.70687954023
2016-05,Buy Put,125861.57002528608
2016-05,Buy Put,53454.38162247973
2016-05,Buy Call,9155.889727530564
2016-05,Buy Call,52194.4316670222
2016-05,Buy Call,352193.6611229499
2016-05,Buy Call,131350.33536412875
2016-05,Buy Call,106635.84749763188
2016-05,Buy Call,363362.5968900311
2016-05,Buy Call,320511.7615452693
2016-05,Buy Call,280714.26427170465
2016-05,Buy Call,250352.64397810763
2016-05,Buy Call,215008.59372707736
2016-06,Buy Call,239566.21998311434
2016-06,Buy Put,298643.1960285323
2016-06,Buy Put,110621.44558743725
2016-06,Buy Put,178119.14204381197
2016-06,Buy Put,206664.433021281
2016-06,Buy Put,204966.27115304378
2016-06,Buy Put,96515.13551532531
2016-06,Buy Put,81861.66362652258
2016-06,Buy Call,226139.42043332712
2016-06,Buy Call,185457.585161096
2016-06,Buy Call,226415.0791176469
2016-06,Buy Call,230522.16987283103
2016-06,Buy Call,233993.34610520484
2016-06,Buy Call,261920.6796684139
2016-06,Buy Put,10108.799835983007
2016-06,Buy Call,112858.77591997462
2016-06,Buy Call,85600.21380024096
2016-06,Buy Call,1165.6945061488955
2016-06,Buy Put,42758.87347329643
2016-06,Buy Put,85784.63970105688
2016-06,Buy Put,69429.40875337555
2016-06,Buy Call,305495.4794764129
2016-06,Buy Call,327342.7968692069
2016-06,Buy Call,95430.02851681237
2016-06,Buy Call,11119.90184568512
2016-06,Buy Put,47907.093609918404
2016-06,Buy Put,59294.035061356
2016-06,Buy Call,14668.413773740951
2016-06,Buy Call,84925.91052423038
2016-06,Buy Call,66858.89113840205
2016-07,Buy Call,212018.1588039678
2016-07,Buy Call,152743.1305962921
2016-07,Buy Call,92810.58040804879
2016-07,Buy Call,43683.607196204124
2016-07,Buy Call,7902.385455395233
2016-07,Buy Call,59404.48310937896
2016-07,Buy Call,175690.07280834013
2016-07,Buy Call,335964.502284444
2016-07,Buy Call,79862.67007744274
2016-07,Buy Put,133443.89539965818
2016-07,Buy Put,263180.75126515696
2016-07,Buy Put,366246.01753788965
2016-07,Buy Put,265813.68562553107
2016-07,Buy Put,80895.8840004692
2016-07,Buy Put,334826.32909353427
2016-07,Buy Put,215143.14633764542
2016-07,Buy Put,122611.34442075061
2016-07,Buy Put,49312.65129966178
2016-07,Buy Put,154020.72949608936
2016-07,Buy Put,83590.2301822955
2016-07,Buy Call,135263.47536427606
2016-07,Buy Call,189372.8260505192
2016-07,Buy Call,165935.00623077873
2016-07,Buy Call,123956.2714421787
2016-07,Buy Call,68911.67275014709
2016-07,Buy Put,210890.06796170297
