Month,Arbitrage Type,Gain
2016-01,Buy Put,33567.36569080354
2016-01,Buy Put,58651.92821281795
2016-01,Buy Put,83399.18077234288
2016-01,Buy Put,107846.15895408578
2016-01,Buy Put,112788.7819491349
2016-01,Buy Put,106144.66963562563
2016-01,Buy Put,146243.6659055335
2016-01,Buy Put,123461.81329170847
2016-01,Buy Put,115133.81005944367
2016-01,Buy Put,106768.72035205421
2016-01,Buy Put,98366.45049515269
2016-01,Buy Put,239784.102619236
2016-01,Buy Put,203854.12828328597
2016-01,Buy Put,143542.57081555488
2016-01,Buy Put,152680.29490197322
2016-01,Buy Put,162978.37768510348
2016-01,Buy Put,173218.74095422274
2016-01,Buy Put,183401.63372983653
2016-01,Buy Put,193527.19888500404
2016-01,Buy Put,272443.70899386186
2016-01,Buy Put,293751.8271078083
2016-01,Buy Put,350144.1245179038
2016-01,Buy Put,360617.001216486
2016-01,Buy Put,371022.0232299761
2016-01,Buy Put,381359.6315826224
2016-01,Buy Put,416422.62230119086
2016-01,Buy Put,370622.5100509109
2016-01,Buy Put,428528.9203477873
2016-01,Buy Put,455424.7178577207
2016-01,Buy Put,449391.2882842039
2016-01,Buy Put,443333.9575900135
2016-02,Buy Put,437252.58644213126
2016-02,Buy Put,372594.74863203935
2016-02,Buy Put,290239.63602310943
2016-02,Buy Put,325048.51957180136
2016-02,Buy Put,286643.03815125435
2016-02,Buy Put,234912.0610701796
2016-02,Buy Put,181599.52413925852
2016-02,Buy Put,126663.72585555053
2016-02,Buy Put,156842.91001969442
2016-02,Buy Put,189220.20733451107
2016-02,Buy Put,185392.17764374526
2016-02,Buy Put,200946.61845877225
2016-02,Buy Put,197005.81098602753
2016-02,Buy Put,193056.36741032827
2016-02,Buy Put,189098.18636733532
2016-02,Buy Put,185131.2546243129
2016-02,Buy Call,40620.91329842943
2016-02,Buy Call,169327.4108826479
2016-02,Buy Call,84970.2707341855
2016-02,Buy Call,64366.070601519
2016-02,Buy Call,43547.24441906299
2016-02,Buy Call,22467.800306671394
2016-02,Buy Put,29509.113374135864
2016-02,Buy Put,25677.707351345445
2016-02,Buy Put,33085.47489468694
2016-02,Buy Put,94089.24781969574
2016-02,Buy Put,50488.74994859176
2016-02,Buy Put,5861.681828221776
2016-02,Buy Call,41732.958732637824
2016-03,Buy Put,19363.376024838173
2016-03,Buy Put,155334.8086070585
2016-03,Buy Put,154538.88028799056
2016-03,Buy Put,82041.93280303328
2016-03,Buy Put,67780.8548065677
2016-03,Buy Put,53385.02251083455
2016-03,Buy Put,38884.17766209429
2016-03,Buy Put,67991.57241386667
2016-03,Buy Put,138228.972007834
2016-03,Buy Put,130918.81020051232
2016-03,Buy Put,104169.05367834416
2016-03,Buy Put,55608.13871205284
2016-03,Buy Put,5765.962158328364
2016-03,Buy Call,47433.610979602745
2016-03,Buy Put,13725.257809134917
2016-03,Buy Put,91757.9840925704
