Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,179809.20292630387
2016-01,Buy Call,379470.45281702076
2016-01,Buy Call,127430.31900113521
2016-01,Buy Put,187130.65712703526
2016-01,Buy Put,161143.5261689067
2016-01,Buy Put,118276.11129427851
2016-01,Buy Put,69895.65785741192
2016-01,Buy Put,29593.373789570167
2016-01,Buy Call,4925.655245969551
2016-01,Buy Call,295575.0687336014
2016-01,Buy Call,269765.589097176
2016-01,Buy Call,363033.984401671
2016-01,Buy Call,224242.16693297794
2016-01,Buy Call,107411.11070942822
2016-01,Buy Call,31435.21226729007
2016-01,Buy Call,109907.44630845483
2016-01,Buy Put,166855.97597754054
2016-01,Buy Call,96124.92517732107
2016-01,Buy Call,178196.95974831618
2016-01,Buy Call,82832.20839485494
2016-01,Buy Call,579.6785572407259
2016-02,Buy Put,52865.71607575752
2016-02,Buy Put,314586.60736504383
2016-02,Buy Put,496871.093334228
2016-02,Buy Put,213940.0303006411
2016-02,Buy Put,225029.1106933453
2016-02,Buy Put,274184.46635562787
2016-02,Buy Put,308567.42378394486
2016-02,Buy Put,340665.54796048364
2016-02,Buy Put,80789.00098345798
2016-02,Buy Call,138720.03974533698
2016-02,Buy Call,128164.01132223732
2016-02,Buy Call,156649.10860655113
2016-02,Buy Call,76568.48726766797
2016-02,Buy Call,2324.7138626061314
2016-02,Buy Put,62068.43381738025
2016-02,Buy Put,100682.22933649196
2016-02,Buy Put,699008.6963680788
2016-02,Buy Put,788624.1151887958
2016-02,Buy Put,363183.8579315705
2016-02,Buy Put,89723.92657607031
2016-02,Buy Call,111868.26150263584
2016-02,Buy Call,205653.40113669352
2016-02,Buy Call,313629.37291919126
2016-02,Buy Call,161355.36373602122
2016-02,Buy Call,42367.44336629172
2016-02,Buy Call,143209.3732103823
2016-02,Buy Put,160160.42395099817
2016-02,Buy Put,323668.1966073434
2016-02,Buy Put,401943.04357811814
2016-03,Buy Put,138068.8741449454
2016-03,Buy Call,383772.0099204098
2016-03,Buy Call,270366.32888607314
2016-03,Buy Put,128467.55886479854
2016-03,Buy Put,216691.0678899363
2016-03,Buy Put,261294.99521973898
2016-03,Buy Put,272111.96804497816
2016-03,Buy Put,125249.74281826218
2016-03,Buy Call,170695.4088804906
2016-03,Buy Call,92390.58264253686
2016-03,Buy Put,61452.27545500731
2016-03,Buy Put,248655.97947707484
2016-03,Buy Put,375598.6503018427
2016-03,Buy Put,440516.37213359383
2016-03,Buy Put,142686.43301073424
2016-03,Buy Call,211713.46028019756
2016-03,Buy Call,146624.5748374213
2016-03,Buy Call,277232.88639961294
2016-03,Buy Call,20403.189114691857
2016-03,Buy Put,188156.2808953028
2016-03,Buy Put,315000.31171809795
2016-03,Buy Put,518015.8872544709
2016-03,Buy Put,521163.5366177383
2016-03,Buy Call,14181.702172077592
2016-03,Buy Call,219075.3429225758
2016-03,Buy Call,311528.8348901579
2016-03,Buy Call,325318.5125777307
2016-03,Buy Call,297232.096644283
2016-03,Buy Call,354345.707755769
2016-03,Buy Call,56007.33292775218
2016-03,Buy Put,234437.7228514496
2016-04,Buy Put,254769.21408443686
2016-04,Buy Put,93765.93376265773
2016-04,Buy Call,74353.41225421155
2016-04,Buy Call,188361.71666414003
2016-04,Buy Call,464961.9285426354
2016-04,Buy Call,362441.7950295502
2016-04,Buy Call,367624.73050460184
2016-04,Buy Call,185509.83765189245
2016-04,Buy Put,69765.2347019826
2016-04,Buy Put,205785.54458628417
2016-04,Buy Put,259733.29707841587
2016-04,Buy Put,375295.00219841336
2016-04,Buy Put,80642.86770341411
2016-04,Buy Call,348185.63610041764
2016-04,Buy Call,133166.6934657818
2016-04,Buy Call,75105.64302496903
2016-04,Buy Call,15675.230610046498
2016-04,Buy Put,33333.76563021773
2016-04,Buy Call,28241.145024022528
2016-04,Buy Put,302761.22830522567
2016-04,Buy Put,112732.35293993977
2016-04,Buy Call,168778.18430460678
2016-04,Buy Call,134071.70970210203
2016-04,Buy Call,81604.43635727788
2016-04,Buy Call,22988.69809975912
2016-04,Buy Call,243172.0601259144
2016-04,Buy Put,238548.2770784897
2016-04,Buy Put,402179.88887021504
2016-04,Buy Put,191974.26279123063
2016-04,Buy Put,60608.81320577138
2016-05,Buy Call,59189.02388301106
2016-05,Buy Call,121162.3279723817
2016-05,Buy Call,124224.19073524083
2016-05,Buy Call,140112.20090581843
2016-05,Buy Call,217567.24376101387
2016-05,Buy Call,761975.2289094279
2016-05,Buy Call,706219.4021745042
2016-05,Buy Call,627313.3705014758
2016-05,Buy Call,544495.4901963186
2016-05,Buy Call,418344.78840832645
2016-05,Buy Call,477945.91868245107
2016-05,Buy Call,416437.2465162458
2016-05,Buy Call,79678.63740337222
2016-05,Buy Put,43458.21881380729
2016-05,Buy Put,87883.24195767671
2016-05,Buy Put,104506.51340829964
2016-05,Buy Put,67236.57349112954
2016-05,Buy Call,55137.07160719861
2016-05,Buy Call,78741.23807316735
2016-05,Buy Put,453473.6792810392
2016-05,Buy Put,337068.92450386763
2016-05,Buy Put,198364.94503483592
2016-05,Buy Put,74223.00317771758
2016-05,Buy Put,2063.7298061174647
2016-05,Buy Call,374124.43877999735
2016-05,Buy Call,601770.0699818213
2016-05,Buy Call,373040.9650779585
2016-05,Buy Call,247176.3281931203
2016-05,Buy Call,160672.0419906118
2016-05,Buy Call,129881.32727345558
2016-05,Buy Call,111356.17512668716
2016-06,Buy Call,125513.12994264308
2016-06,Buy Call,252302.42089657296
2016-06,Buy Call,155812.65948093304
2016-06,Buy Put,127052.8533284967
2016-06,Buy Put,292466.18303496775
2016-06,Buy Put,368800.1616555816
2016-06,Buy Put,129063.39938518485
2016-06,Buy Put,300074.12316686555
2016-06,Buy Put,52926.0759653809
2016-06,Buy Call,34512.59506925908
2016-06,Buy Call,272190.66726523876
2016-06,Buy Call,406771.5203397597
2016-06,Buy Call,441092.57152429037
2016-06,Buy Call,580052.592651601
2016-06,Buy Call,540797.7327287092
2016-06,Buy Call,504987.9326032318
2016-06,Buy Call,254913.38805623443
2016-06,Buy Call,135671.76502393253
2016-06,Buy Call,65368.47021229519
2016-06,Buy Call,42550.292984799395
2016-06,Buy Call,19156.81784847578
2016-06,Buy Call,38731.16544493271
2016-06,Buy Call,241839.3462356221
2016-06,Buy Call,499476.25059628463
2016-06,Buy Call,273703.9513297965
2016-06,Buy Call,71857.38432311694
2016-06,Buy Put,40247.70934768185
2016-06,Buy Put,105024.83322009936
2016-06,Buy Put,21479.07334959953
2016-06,Buy Call,135696.14304225653
2016-07,Buy Call,68294.9352574802
2016-07,Buy Call,43909.919731174086
2016-07,Buy Call,37774.79416080709
2016-07,Buy Call,31035.810372536333
2016-07,Buy Call,25325.503048438946
2016-07,Buy Call,313409.80458965007
2016-07,Buy Call,449866.8020394483
2016-07,Buy Call,353381.179719662
2016-07,Buy Call,259233.19283413448
2016-07,Buy Call,199385.9696164826
2016-07,Buy Call,174237.13324999213
2016-07,Buy Call,7167.688852184994
2016-07,Buy Put,357618.0837194052
2016-07,Buy Put,288030.23116790527
2016-07,Buy Put,28447.9766148813
2016-07,Buy Call,148081.0811083906
2016-07,Buy Call,232152.1807408402
2016-07,Buy Call,249580.20737366483
2016-07,Buy Call,23059.323580049808
2016-07,Buy Call,155754.7258793761
2016-07,Buy Put,98765.24548326415
2016-07,Buy Put,86587.48653980553
2016-07,Buy Call,43089.96427625189
2016-07,Buy Call,123882.72459654459
2016-07,Buy Call,170795.59726720105
2016-07,Buy Call,94795.41958121373
