Month,Arbitrage Type,Gain
2016-01,Buy Put,732.0957318155408
2016-01,Buy Put,776.938370973923
2016-01,Buy Put,821.7751284238517
2016-01,Buy Put,866.6058481168193
2016-01,Buy Call,10781.031314077261
2016-01,Buy Call,45990.461132038086
2016-01,Buy Call,47412.516286472695
2016-01,Buy Call,28126.972120542603
2016-01,Buy Call,22674.58131732969
2016-01,Buy Call,17128.988733143837
2016-01,Buy Call,11491.381501999243
2016-01,Buy Put,28696.647553114297
2016-01,Buy Put,39443.32355217739
2016-01,Buy Put,67324.24002395554
2016-01,Buy Put,74653.0203032858
2016-01,Buy Put,78304.146997485
2016-01,Buy Put,81902.47982372422
2016-01,Buy Put,85448.96579435113
2016-01,Buy Put,88944.54316794453
2016-01,Buy Put,87501.03853366565
2016-01,Buy Put,85213.23881713183
2016-01,Buy Put,81018.78114437567
2016-01,Buy Put,78236.94740412623
2016-01,Buy Put,75423.68788091291
2016-01,Buy Put,72578.54588650847
2016-01,Buy Put,83118.27560578467
2016-01,Buy Put,80748.31270039207
2016-01,Buy Put,90405.46954893314
2016-01,Buy Put,100762.10821678533
2016-01,Buy Put,100168.03025187837
2016-01,Buy Put,99572.44603749161
2016-02,Buy Put,98975.3364889876
2016-02,Buy Put,113603.43055522248
2016-02,Buy Put,107424.16039648317
2016-02,Buy Put,98699.23128230206
2016-02,Buy Put,107617.5699303672
2016-02,Buy Put,109834.00762666085
2016-02,Buy Put,112028.97482576368
2016-02,Buy Put,114202.74113618367
2016-02,Buy Put,111415.90001479918
2016-02,Buy Put,111510.93596300355
2016-02,Buy Put,108112.4270035141
2016-02,Buy Put,107424.16039648317
2016-02,Buy Put,99081.91671829103
2016-02,Buy Put,90431.47350094793
2016-02,Buy Put,81457.65300024532
2016-02,Buy Put,72144.80065359653
2016-02,Buy Put,2333.7561661174177
2016-02,Buy Put,14171.899617045014
2016-02,Buy Call,9299.715971830658
2016-02,Buy Call,4501.603160710132
2016-02,Buy Put,334.22977786212726
2016-02,Buy Put,4858.54378117434
2016-02,Buy Call,4019.0211841544256
2016-02,Buy Call,18918.70859804623
2016-02,Buy Call,24374.73706892668
2016-02,Buy Call,31025.060479338506
2016-02,Buy Call,37720.22332830804
2016-02,Buy Call,44206.00937517083
2016-02,Buy Call,50547.42805249113
2016-03,Buy Call,48644.41978726486
2016-03,Buy Call,54473.64901027907
2016-03,Buy Call,50860.48768083895
2016-03,Buy Call,43021.99511991223
2016-03,Buy Call,36153.656630996345
2016-03,Buy Call,29226.20794102837
2016-03,Buy Call,22137.915264570653
2016-03,Buy Call,17067.73820973062
2016-03,Buy Put,1350.3983103078099
2016-03,Buy Put,2369.46050590614
2016-03,Buy Call,16313.451963536174
2016-03,Buy Call,27291.075038516687
2016-03,Buy Call,37974.010512243694
2016-03,Buy Call,48245.512414268
2016-03,Buy Call,62689.98692965777
2016-03,Buy Call,93871.42409697268
2016-03,Buy Call,102600.31333592678
2016-03,Buy Call,91319.4032149609
2016-03,Buy Call,92281.90655327361
2016-03,Buy Call,93238.47595009171
2016-03,Buy Call,94189.1125752119
2016-03,Buy Call,100756.27586502956
2016-03,Buy Call,122871.62702268928
2016-03,Buy Call,117433.01924246196
2016-03,Buy Call,111917.5858108865
2016-03,Buy Call,106115.13267653016
2016-03,Buy Call,100028.07031835559
2016-03,Buy Call,93659.25894589422
2016-03,Buy Call,92433.57537953711
2016-03,Buy Call,99996.32059136099
2016-03,Buy Call,109862.58712342866
2016-04,Buy Call,100541.38814878932
2016-04,Buy Call,95981.07602898098
2016-04,Buy Call,91274.4972743904
2016-04,Buy Call,86422.87921281655
2016-04,Buy Call,60864.31880519205
2016-04,Buy Call,67097.84518650341
2016-04,Buy Call,62987.62907776778
2016-04,Buy Call,53204.3671872593
2016-04,Buy Call,57388.57140523912
2016-04,Buy Call,61500.76302914886
2016-04,Buy Call,65540.36136189634
2016-04,Buy Call,76543.77322261751
2016-04,Buy Call,76147.34989923643
2016-04,Buy Call,76705.04361521546
2016-04,Buy Call,104946.08931975957
2016-04,Buy Call,109913.48912348098
2016-04,Buy Call,114676.63759550329
2016-04,Buy Call,119234.2452281232
2016-04,Buy Call,116597.31523350913
2016-04,Buy Call,126711.77762176855
2016-04,Buy Call,132428.85374616398
2016-04,Buy Call,139989.15287049641
2016-04,Buy Call,142146.4473860421
2016-04,Buy Call,144215.6575696709
2016-04,Buy Call,146197.26553452073
2016-04,Buy Call,143676.46933251256
2016-04,Buy Call,150434.2319944556
2016-04,Buy Call,134846.31609590503
2016-04,Buy Call,107032.88159071667
2016-04,Buy Call,109458.53630439339
2016-05,Buy Call,111834.87546468207
2016-05,Buy Call,114161.71121442043
2016-05,Buy Call,124276.21252117804
2016-05,Buy Call,112406.87137577821
2016-05,Buy Call,103320.90021329999
2016-05,Buy Call,94664.39179691832
2016-05,Buy Call,88620.31688172322
2016-05,Buy Call,82344.2327665096
2016-05,Buy Call,75838.45856623439
2016-05,Buy Call,76073.84980640796
2016-05,Buy Call,69845.7568386699
2016-05,Buy Call,25684.15805201596
2016-05,Buy Call,24302.83207869266
2016-05,Buy Call,28712.53610822766
2016-05,Buy Call,33058.866214333626
2016-05,Buy Call,37422.05461351489
2016-05,Buy Call,79078.84300278578
2016-05,Buy Call,73736.8236866649
2016-05,Buy Call,75676.46070206324
2016-05,Buy Call,111228.9726681941
2016-05,Buy Call,108448.21643209324
2016-05,Buy Call,105600.95789912305
2016-05,Buy Call,102687.49377712271
2016-05,Buy Call,78295.73714842742
2016-05,Buy Call,48445.0405226351
2016-05,Buy Call,52501.85906930893
2016-05,Buy Call,65756.92009743462
2016-05,Buy Call,59977.74082597473
2016-05,Buy Call,54051.28223610856
2016-05,Buy Call,47979.23765253032
2016-05,Buy Call,41764.92420701728
2016-06,Buy Call,56831.9703809923
2016-06,Buy Call,26702.827014280396
2016-06,Buy Call,13836.579274693506
2016-06,Buy Call,13780.923334301142
2016-06,Buy Call,13725.258480914881
2016-06,Buy Call,13669.584746097029
2016-06,Buy Call,15760.475959023523
2016-06,Buy Put,5478.102479083092
2016-06,Buy Put,26290.72964852863
2016-06,Buy Put,47334.986619318894
2016-06,Buy Put,61824.70326328993
2016-06,Buy Put,75557.27150582348
2016-06,Buy Put,88577.92116307106
2016-06,Buy Put,103632.06767318456
2016-06,Buy Put,81045.80704729747
2016-06,Buy Put,75676.98223995301
2016-06,Buy Put,86048.86433170656
2016-06,Buy Put,92867.94367562523
2016-06,Buy Put,99497.36366815554
