Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,71995.5524956144
2016-01,Buy Call,145490.26266240884
2016-01,Buy Call,130247.21553230866
2016-01,Buy Call,159089.79512952693
2016-01,Buy Call,130812.47507890525
2016-01,Buy Call,105926.44133343577
2016-01,Buy Call,84664.7454466769
2016-01,Buy Call,67269.63040695022
2016-01,Buy Call,53310.372577460184
2016-01,Buy Call,20921.48535393967
2016-01,Buy Put,5278.621411921591
2016-01,Buy Put,25385.20531107924
2016-01,Buy Put,27344.26905800458
2016-01,Buy Put,25200.49732745111
2016-01,Buy Put,21558.106131762677
2016-01,Buy Call,42107.07185138407
2016-01,Buy Call,25507.11888432211
2016-01,Buy Call,62377.17650213703
2016-01,Buy Call,83515.11679461776
2016-01,Buy Call,52449.413765372374
2016-01,Buy Call,21577.204936115813
2016-02,Buy Call,6969.1040581032485
2016-02,Buy Call,75778.33008051016
2016-02,Buy Call,18753.600073967646
2016-02,Buy Put,39833.1786898245
2016-02,Buy Call,19036.538457703144
2016-02,Buy Call,31664.99700739944
2016-02,Buy Call,33742.210800157045
2016-02,Buy Call,28715.76221766148
2016-02,Buy Call,3283.300673622591
2016-02,Buy Call,1555.509470580141
2016-02,Buy Put,15379.615648098088
2016-02,Buy Put,11351.408034582455
2016-02,Buy Put,43901.99329987965
2016-02,Buy Put,62117.63634330136
2016-02,Buy Put,68942.75261033566
2016-02,Buy Put,66831.06282962115
2016-02,Buy Put,183067.0138000967
2016-02,Buy Put,108321.22685361156
2016-02,Buy Put,98507.4081260735
2016-02,Buy Call,601.3126810477943
2016-02,Buy Call,81051.60989820481
2016-02,Buy Call,96919.57865751366
2016-02,Buy Call,51272.964161388045
2016-02,Buy Put,15700.63344935857
2016-02,Buy Put,35650.9494553201
2016-02,Buy Put,43494.502438942814
2016-02,Buy Put,44391.850453036954
2016-02,Buy Put,38728.27014620572
2016-02,Buy Put,39116.852201535934
2016-03,Buy Put,7255.925749163339
2016-03,Buy Put,13095.572895086782
2016-03,Buy Call,15493.10575008711
2016-03,Buy Call,45492.55677333885
2016-03,Buy Call,56265.406083185975
2016-03,Buy Call,61157.34808201134
2016-03,Buy Call,57958.920700881936
2016-03,Buy Call,45292.64069389694
2016-03,Buy Call,76293.43617017126
2016-03,Buy Call,48553.185801709194
2016-03,Buy Put,38927.44627181788
2016-03,Buy Put,69185.02105366554
2016-03,Buy Put,77962.64072528869
2016-03,Buy Put,77122.73807707781
2016-03,Buy Put,87592.92395978946
2016-03,Buy Put,134926.50319559153
2016-03,Buy Put,114687.4911544824
2016-03,Buy Put,13983.292474117448
2016-03,Buy Call,27481.293843971245
2016-03,Buy Call,47750.481708400905
2016-03,Buy Call,50860.46416190504
2016-03,Buy Call,9908.500137970399
2016-03,Buy Put,98061.75091723369
2016-03,Buy Put,53117.87090668085
2016-03,Buy Put,4836.080540718157
2016-03,Buy Call,39550.043179138236
2016-03,Buy Call,71375.25317214166
2016-03,Buy Call,89030.5025581415
2016-03,Buy Call,68083.14597545628
2016-03,Buy Put,2871.4321660858745
2016-03,Buy Put,64313.40874086455
2016-04,Buy Put,18674.325685222648
2016-04,Buy Call,6179.553745775835
2016-04,Buy Call,32792.64605070686
2016-04,Buy Call,48783.63190784274
2016-04,Buy Call,120762.44890339005
2016-04,Buy Call,62340.31623470582
2016-04,Buy Call,42209.00322739318
2016-04,Buy Call,45089.6390311728
2016-04,Buy Put,1420.7965801817934
2016-04,Buy Put,28742.189507477535
2016-04,Buy Put,43611.1356142983
2016-04,Buy Put,71908.47434299829
2016-04,Buy Put,48400.08493102577
2016-04,Buy Put,29697.948850730958
2016-04,Buy Put,110320.15642697868
2016-04,Buy Put,94673.66926298659
2016-04,Buy Put,78021.68406224386
2016-04,Buy Put,61438.06908700799
2016-04,Buy Put,7049.01058785623
2016-04,Buy Put,34511.40124541974
2016-04,Buy Put,42952.739328263604
2016-04,Buy Put,66370.27095897486
2016-04,Buy Put,52572.72536552415
2016-04,Buy Put,42249.397316116876
2016-04,Buy Put,33527.87435077431
2016-04,Buy Call,16199.997301841408
2016-04,Buy Put,28729.193853203495
2016-04,Buy Call,105152.97595208483
2016-04,Buy Call,176420.50941277732
2016-04,Buy Call,141470.74115331337
2016-05,Buy Call,93433.63042400555
2016-05,Buy Call,36193.06106082387
2016-05,Buy Put,56649.836962440415
2016-05,Buy Put,1308.1923820976726
2016-05,Buy Call,37000.70224473073
2016-05,Buy Call,63959.94657908055
2016-05,Buy Call,70470.7299317553
2016-05,Buy Call,75316.16752501158
2016-05,Buy Call,68036.32763714074
2016-05,Buy Call,25590.18257504686
2016-05,Buy Call,23746.842773690878
2016-05,Buy Call,137000.83585618873
2016-05,Buy Call,99938.85661499391
2016-05,Buy Call,43588.70678409854
2016-05,Buy Put,6921.651211262869
2016-05,Buy Put,32826.549561327134
2016-05,Buy Put,137762.13810064286
2016-05,Buy Put,93552.9809250415
2016-05,Buy Put,64388.05763317745
2016-05,Buy Put,136685.9740129378
2016-05,Buy Put,75465.87335520671
2016-05,Buy Put,7455.234581493109
2016-05,Buy Call,35045.998445212055
2016-05,Buy Call,133044.23016703292
2016-05,Buy Call,177903.10737754634
2016-05,Buy Call,132148.27129159888
2016-05,Buy Call,26689.824168942167
2016-05,Buy Call,3994.52440582948
2016-05,Buy Call,7675.149595641528
2016-05,Buy Call,20650.113970432925
2016-05,Buy Call,31939.71867115941
2016-06,Buy Put,41278.605481275044
2016-06,Buy Call,68870.13745547055
2016-06,Buy Call,86720.61935780074
2016-06,Buy Call,59183.29702844094
2016-06,Buy Call,28406.099504416638
2016-06,Buy Call,1422.5553892162068
2016-06,Buy Put,11206.628291589026
2016-06,Buy Call,58794.12752392632
2016-06,Buy Call,104076.37223756527
2016-06,Buy Call,131946.41145238827
2016-06,Buy Call,128166.97391987208
2016-06,Buy Call,125399.35891073028
2016-06,Buy Call,130627.30471622564
2016-06,Buy Call,143686.91925575395
2016-06,Buy Call,23.391033574071685
2016-06,Buy Put,28985.796723648426
2016-06,Buy Call,27512.53548341026
2016-06,Buy Call,48059.049466412594
2016-06,Buy Call,60860.70405814059
2016-06,Buy Call,64441.01306385619
2016-06,Buy Call,45549.847844091215
2016-06,Buy Call,35624.67494232902
2016-06,Buy Call,117829.95719480871
2016-06,Buy Call,182651.22214676667
2016-06,Buy Call,135719.39621941454
2016-06,Buy Call,104624.60257299799
2016-06,Buy Call,82056.75066493789
2016-06,Buy Call,27177.05870903231
2016-06,Buy Call,17327.091232133716
2016-06,Buy Put,83143.32767813416
2016-07,Buy Put,22194.464877323127
2016-07,Buy Call,9105.207408497407
2016-07,Buy Call,23789.464881551758
2016-07,Buy Call,26121.04671026305
2016-07,Buy Call,26471.726868924074
2016-07,Buy Call,11267.787072841706
2016-07,Buy Call,89117.45081153732
2016-07,Buy Call,58426.308847457694
2016-07,Buy Call,1227.8820537137135
2016-07,Buy Put,27985.201949324968
2016-07,Buy Put,40489.662411308025
2016-07,Buy Put,45067.568852015684
2016-07,Buy Put,103026.25507921315
2016-07,Buy Put,130341.41390413234
2016-07,Buy Put,104870.90587088988
2016-07,Buy Put,22950.309875349183
2016-07,Buy Call,41742.86713380582
2016-07,Buy Call,67520.59251262476
2016-07,Buy Call,76422.04072777758
2016-07,Buy Call,67494.65399193166
2016-07,Buy Call,77117.87152865667
2016-07,Buy Call,84295.16721035757
2016-07,Buy Call,47981.56793284125
2016-07,Buy Call,19787.63406539308
2016-07,Buy Call,9084.640807392574
