Month,Arbitrage Type,Gain
2016-01,Buy Put,8858.244383400659
2016-01,Buy Put,17635.405743186893
2016-01,Buy Put,26332.239298584525
2016-01,Buy Put,34950.160959311914
2016-01,Buy Put,10185.99671207987
2016-01,Buy Put,2325.587596613943
2016-01,Buy Put,35549.27692671939
2016-01,Buy Put,36828.461654552666
2016-01,Buy Put,30600.066455628294
2016-01,Buy Put,24329.91887497238
2016-01,Buy Put,18018.316926013966
2016-01,Buy Put,76298.25222170794
2016-01,Buy Put,99440.32470479237
2016-01,Buy Put,114621.50899397017
2016-01,Buy Put,138687.84479869768
2016-01,Buy Put,143050.41355381755
2016-01,Buy Put,147391.41484671237
2016-01,Buy Put,151711.00230121048
2016-01,Buy Put,156009.3953965822
2016-01,Buy Put,153347.65414553962
2016-01,Buy Put,157789.61768816834
2016-01,Buy Put,136805.14699299628
2016-01,Buy Put,132895.34342118615
2016-01,Buy Put,129143.86284880486
2016-01,Buy Put,125376.2103694207
2016-01,Buy Put,165261.806207619
2016-01,Buy Put,172043.36159754873
2016-01,Buy Put,156575.74140162644
2016-01,Buy Put,173104.47072356893
2016-01,Buy Put,180502.43580250224
2016-01,Buy Put,187836.44493817596
2016-02,Buy Put,195106.71270611545
2016-02,Buy Put,220969.26228143586
2016-02,Buy Put,249213.94344795367
2016-02,Buy Put,253643.77312497766
2016-02,Buy Put,266036.71822839027
2016-02,Buy Put,270551.7683830312
2016-02,Buy Put,275042.9862920516
2016-02,Buy Put,279510.67836784205
2016-02,Buy Put,282839.2620340239
2016-02,Buy Put,276952.12398087146
2016-02,Buy Put,282591.89083241945
2016-02,Buy Put,275972.89009638
2016-02,Buy Put,276694.1247115344
2016-02,Buy Put,277414.62992993783
2016-02,Buy Put,278134.630285404
2016-02,Buy Put,278853.9857126402
2016-02,Buy Put,283157.3291747045
2016-02,Buy Put,282344.40906861203
2016-02,Buy Put,264918.32840534
2016-02,Buy Put,270889.39355361497
2016-02,Buy Put,276818.61602627754
2016-02,Buy Put,282706.6931992359
2016-02,Buy Put,281858.0146366187
2016-02,Buy Put,263699.1733273977
2016-02,Buy Put,246136.67329067114
2016-02,Buy Put,250867.6388412727
2016-02,Buy Put,256924.0722142645
2016-02,Buy Put,262936.70808308
2016-02,Buy Put,268906.7801171401
2016-03,Buy Put,297456.6892817361
2016-03,Buy Put,316151.3437732815
2016-03,Buy Put,338626.7446076392
2016-03,Buy Put,326481.3073174739
2016-03,Buy Put,323666.94587394386
2016-03,Buy Put,320841.62679247005
2016-03,Buy Put,318005.5872117933
2016-03,Buy Put,314003.685233347
2016-03,Buy Put,318631.07064098807
2016-03,Buy Put,326949.4114081066
2016-03,Buy Put,340785.42424321687
2016-03,Buy Put,332462.36870802194
2016-03,Buy Put,324041.5991635697
2016-03,Buy Put,315523.8207299913
2016-03,Buy Put,247492.48893157195
