Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,159194.84467076295
2016-01,Buy Call,149966.41147484802
2016-01,Buy Call,214945.67350817917
2016-01,Buy Call,213416.01633600326
2016-01,Buy Call,247030.56864632346
2016-01,Buy Call,175028.4189869209
2016-01,Buy Call,103581.80540154649
2016-01,Buy Call,33490.63948891917
2016-01,Buy Put,13328.99361860207
2016-01,Buy Put,70422.19893461344
2016-01,Buy Put,61048.07158091496
2016-01,Buy Put,172645.74749724736
2016-01,Buy Put,169741.981899028
2016-01,Buy Put,158971.17914510873
2016-01,Buy Put,141990.3140151302
2016-01,Buy Call,124041.59258604786
2016-01,Buy Call,141879.35064256686
2016-01,Buy Call,3638.1835759176083
2016-01,Buy Call,74832.51624416986
2016-01,Buy Call,73384.95143635981
2016-01,Buy Call,67664.09935448614
2016-02,Buy Call,61577.081536155376
2016-02,Buy Call,180756.859692206
2016-02,Buy Call,280023.6068447983
2016-02,Buy Call,220722.4557922487
2016-02,Buy Call,211807.98109012854
2016-02,Buy Call,145419.2353304009
2016-02,Buy Call,87896.53123867146
2016-02,Buy Call,57575.09040014775
2016-02,Buy Call,30661.247921907274
2016-02,Buy Put,45825.21578348242
2016-02,Buy Put,16305.71205888387
2016-02,Buy Put,67223.28611573225
2016-02,Buy Put,53053.27310815144
2016-02,Buy Put,39801.876599296906
2016-02,Buy Put,24687.50049194135
2016-02,Buy Put,15258.292675753182
2016-02,Buy Call,18652.29497508025
2016-02,Buy Call,3612.6253529644714
2016-02,Buy Put,120389.47527476473
2016-02,Buy Put,65307.339510638936
2016-02,Buy Put,9166.988813028354
2016-02,Buy Call,40057.311326195944
2016-02,Buy Call,25621.27019564642
2016-02,Buy Put,107977.00245183251
2016-02,Buy Put,198367.5724837184
2016-02,Buy Put,131710.36634952138
2016-02,Buy Put,51551.651568709996
2016-02,Buy Call,21359.757343322628
2016-02,Buy Call,72934.1578877154
2016-03,Buy Call,248366.08555964014
2016-03,Buy Call,301022.2907799953
2016-03,Buy Call,346490.7358308995
2016-03,Buy Call,150998.2833003125
2016-03,Buy Call,27142.22907879815
2016-03,Buy Put,54267.91739744452
2016-03,Buy Put,93677.47383789648
2016-03,Buy Put,113537.90103821027
2016-03,Buy Put,57098.57920415296
2016-03,Buy Call,31727.83104870547
2016-03,Buy Call,140067.29669866047
2016-03,Buy Call,43673.01840569127
2016-03,Buy Put,48710.69133447037
2016-03,Buy Put,119977.99431084566
2016-03,Buy Put,436732.80860402033
2016-03,Buy Put,351170.39217395
2016-03,Buy Put,387275.02273052215
2016-03,Buy Put,306260.3371512633
2016-03,Buy Put,233767.709837414
2016-03,Buy Put,172247.70872197047
2016-03,Buy Put,139977.91261738967
2016-03,Buy Put,141683.50939969442
2016-03,Buy Put,314637.24523242575
2016-03,Buy Put,268911.2561786349
2016-03,Buy Put,128018.7933934993
2016-03,Buy Call,22569.065618471384
2016-03,Buy Call,131221.37078259754
2016-03,Buy Call,191373.96534138772
2016-03,Buy Call,186854.90289085216
2016-03,Buy Put,123422.91342701373
2016-03,Buy Put,409095.8733421912
2016-04,Buy Put,398618.24741761433
2016-04,Buy Put,286771.01550938387
2016-04,Buy Put,140152.59353377196
2016-04,Buy Call,6933.504015652403
2016-04,Buy Call,240921.86479050425
2016-04,Buy Call,175386.80388803128
2016-04,Buy Call,209840.95381260736
2016-04,Buy Call,180793.2696832495
2016-04,Buy Call,38266.18831658557
2016-04,Buy Put,72456.62901304329
2016-04,Buy Put,129434.29548813867
2016-04,Buy Put,330247.121919534
2016-04,Buy Put,341387.7658468305
2016-04,Buy Put,303147.4546253996
2016-04,Buy Put,346477.78133071936
2016-04,Buy Put,302574.3404114731
2016-04,Buy Put,257421.98752957713
2016-04,Buy Put,224255.3211464884
2016-04,Buy Put,212878.43610118527
2016-04,Buy Put,144388.13049560474
2016-04,Buy Call,65542.53617598604
2016-04,Buy Put,88871.20759685453
2016-04,Buy Put,100381.17578393545
2016-04,Buy Put,116978.13888181941
2016-04,Buy Put,129632.29105775298
2016-04,Buy Put,231835.07423412663
2016-04,Buy Put,332620.3347426997
2016-04,Buy Put,349667.0945888525
2016-04,Buy Put,159928.67432125556
2016-04,Buy Put,67301.22009882322
2016-05,Buy Call,7789.940256664351
2016-05,Buy Call,47015.72541712729
2016-05,Buy Call,22067.232837166273
2016-05,Buy Call,71634.25797639889
2016-05,Buy Call,61284.94889991032
2016-05,Buy Put,7803.267659856061
2016-05,Buy Put,93306.63174090681
2016-05,Buy Put,148685.4891067182
2016-05,Buy Put,179890.44710224355
2016-05,Buy Put,246280.0425431446
2016-05,Buy Put,169405.00806899727
2016-05,Buy Put,175071.69714615677
2016-05,Buy Call,23075.9551026658
2016-05,Buy Call,15002.623410092398
2016-05,Buy Put,5772.856884867395
2016-05,Buy Put,33950.480875196474
2016-05,Buy Put,157064.04311310075
2016-05,Buy Put,80150.69163839072
2016-05,Buy Put,174615.35124499683
2016-05,Buy Put,422034.37703451206
2016-05,Buy Put,309616.03155164677
2016-05,Buy Put,169256.08011081116
2016-05,Buy Put,19094.214638565532
2016-05,Buy Call,215072.7825576002
2016-05,Buy Call,349865.4075129757
2016-05,Buy Call,225321.02210277927
2016-05,Buy Call,141961.79470245694
2016-05,Buy Call,76153.01384037921
2016-05,Buy Call,11105.990638087704
2016-05,Buy Put,37404.99248223905
2016-05,Buy Put,50636.08246612894
2016-06,Buy Put,131140.51329853816
2016-06,Buy Put,166439.302047781
2016-06,Buy Call,52580.69730644266
2016-06,Buy Call,59131.35650393642
2016-06,Buy Call,50102.558567981956
2016-06,Buy Call,37967.97214032388
2016-06,Buy Put,91876.46843381536
2016-06,Buy Call,90590.05390708563
2016-06,Buy Call,112605.03532570355
2016-06,Buy Call,4611.419778997927
2016-06,Buy Put,31685.029492978247
2016-06,Buy Put,52393.58742285382
2016-06,Buy Put,60783.938727038134
2016-06,Buy Put,131431.21105193245
2016-06,Buy Put,243620.85312436754
2016-06,Buy Put,120874.949484433
2016-06,Buy Put,109600.45115142592
2016-06,Buy Call,54566.007803032335
2016-06,Buy Call,168613.44226942165
2016-06,Buy Call,237694.40550745992
2016-06,Buy Call,125382.95687876122
2016-06,Buy Put,19878.60297338351
2016-06,Buy Call,85313.1218004748
2016-06,Buy Call,248476.48868332684
2016-06,Buy Call,192468.88169638687
2016-06,Buy Call,142742.9818712227
2016-06,Buy Call,96659.81490986119
2016-06,Buy Call,29746.594806356443
2016-06,Buy Call,10164.666720978488
2016-06,Buy Put,37073.84197188013
2016-07,Buy Put,210090.27790674928
2016-07,Buy Put,155832.82397859043
2016-07,Buy Put,88319.24659027556
2016-07,Buy Put,24539.736986790573
2016-07,Buy Call,20181.952208764287
2016-07,Buy Call,12602.806098081843
2016-07,Buy Call,161416.62259682655
2016-07,Buy Call,60902.63606006729
2016-07,Buy Call,24899.371174416985
2016-07,Buy Put,6532.749612000899
2016-07,Buy Put,24759.771814059306
2016-07,Buy Call,47990.93347685712
2016-07,Buy Call,12836.249995816119
2016-07,Buy Put,17399.277844333483
2016-07,Buy Put,116768.54606256625
2016-07,Buy Put,79133.50653053718
2016-07,Buy Put,38435.47182740892
2016-07,Buy Put,3297.1497486116164
2016-07,Buy Call,131007.39702188413
2016-07,Buy Call,191962.40522139618
2016-07,Buy Call,383543.19449575234
2016-07,Buy Call,460836.7830091105
2016-07,Buy Call,345062.5071381328
2016-07,Buy Call,217295.44873376837
2016-07,Buy Call,102331.35507007063
