Month,Arbitrage Type,Gain
2016-01,Buy Call,219853.02886594128
2016-01,Buy Call,215387.41579642816
2016-01,Buy Call,210918.69825414734
2016-01,Buy Call,206446.81248695918
2016-01,Buy Call,144426.28524352587
2016-01,Buy Call,105819.84268750943
2016-01,Buy Call,90975.51199764098
2016-01,Buy Call,127831.44136213309
2016-01,Buy Call,137227.4830282265
2016-01,Buy Call,146767.07950090416
2016-01,Buy Call,156416.31142977986
2016-01,Buy Call,150132.78845054857
2016-01,Buy Call,131960.17469681465
2016-01,Buy Call,139292.77066787903
2016-01,Buy Call,138047.9927526892
2016-01,Buy Call,144033.87306350624
2016-01,Buy Call,150066.31065546116
2016-01,Buy Call,156138.06041494626
2016-01,Buy Call,162242.96878525024
2016-01,Buy Call,154803.28170258418
2016-01,Buy Call,136230.9035838507
2016-01,Buy Call,123111.89862890614
2016-01,Buy Call,129443.559670392
2016-01,Buy Call,135858.72819848533
2016-01,Buy Call,142343.2035490464
2016-01,Buy Call,201819.64628717708
2016-01,Buy Call,224993.5309897353
2016-01,Buy Call,223030.81676528792
2016-01,Buy Call,155671.29975335093
2016-01,Buy Call,147730.26298982473
2016-01,Buy Call,139861.3396917483
2016-02,Buy Call,132082.40457086617
2016-02,Buy Call,87409.77612674783
2016-02,Buy Call,44227.4751449645
2016-02,Buy Put,31511.12425936731
2016-02,Buy Put,42152.57071876977
2016-02,Buy Put,44424.995872191175
2016-02,Buy Put,46692.45592043581
2016-02,Buy Put,48954.94602351391
2016-02,Buy Put,34737.61570043621
2016-02,Buy Put,20042.059858582208
2016-02,Buy Put,31990.962527288502
2016-02,Buy Put,3523.3624238912853
2016-02,Buy Call,1771.1372107953594
2016-02,Buy Call,7336.83732343593
2016-02,Buy Call,12920.03806605635
2016-02,Buy Call,18520.37430003861
2016-02,Buy Put,15770.999590728252
2016-02,Buy Put,36682.60074513796
2016-02,Buy Put,19193.31580990047
2016-02,Buy Put,12203.791077581627
2016-02,Buy Put,5172.420385946452
2016-02,Buy Call,2035.807792964306
2016-02,Buy Call,15299.997303941382
2016-02,Buy Call,12061.620417711083
2016-02,Buy Put,23603.408516066793
2016-02,Buy Put,8390.787847986303
2016-02,Buy Put,19107.008489925192
2016-02,Buy Put,29723.85125409005
2016-02,Buy Put,40239.23497584292
2016-03,Buy Put,9221.81715111492
2016-03,Buy Put,28927.09699176521
2016-03,Buy Put,74317.82637283391
2016-03,Buy Put,65300.61584103919
2016-03,Buy Put,63033.78311571351
2016-03,Buy Put,60761.62945467445
2016-03,Buy Put,58484.15986545774
2016-03,Buy Put,76442.81402806996
2016-03,Buy Put,64429.64042730637
2016-03,Buy Put,53609.25494167645
2016-03,Buy Put,54254.317818447365
2016-03,Buy Put,53818.0860586408
2016-03,Buy Put,53381.664297461386
2016-03,Buy Put,52945.048476601645
2016-03,Buy Put,42401.22623079401
2016-03,Buy Put,24512.599883166786
2016-03,Buy Put,18395.865292632152
2016-03,Buy Put,2286.3512065498526
2016-03,Buy Put,4191.720127920462
2016-03,Buy Put,6094.082218254471
2016-03,Buy Put,7993.446750276689
2016-03,Buy Put,18788.032746442695
2016-03,Buy Put,23327.315939013715
2016-03,Buy Put,32906.378057134585
2016-03,Buy Put,31123.528473813167
2016-03,Buy Put,29337.767618983435
2016-03,Buy Put,27549.11299888363
2016-03,Buy Put,25757.56234136861
2016-03,Buy Put,32976.718723091384
2016-03,Buy Put,37147.65658213537
2016-03,Buy Put,43457.874153034485
2016-04,Buy Put,37578.84840746329
2016-04,Buy Put,37946.17876278039
2016-04,Buy Put,38313.38983823684
2016-04,Buy Put,38680.47075812342
2016-04,Buy Put,54134.63331044
2016-04,Buy Put,55615.757257129415
2016-04,Buy Put,34248.646303609574
2016-04,Buy Put,26636.488363124045
2016-04,Buy Put,25611.18601056478
2016-04,Buy Put,24584.94978230874
2016-04,Buy Put,23557.76949465849
2016-04,Buy Put,9058.660899086135
2016-04,Buy Put,4885.966618473958
2016-04,Buy Call,11786.821693476668
2016-04,Buy Call,16042.99236754514
2016-04,Buy Call,18283.684669341936
2016-04,Buy Call,20527.063793565503
2016-04,Buy Call,22773.100986768215
2016-04,Buy Call,46102.62133343212
2016-04,Buy Call,23959.447768731934
2016-04,Buy Call,34613.405864774904
2016-04,Buy Call,55539.210699464544
2016-04,Buy Call,51881.31555647146
2016-04,Buy Call,48229.47898693997
2016-04,Buy Call,44583.78759113657
2016-04,Buy Call,16636.995441501767
2016-04,Buy Call,23635.992244322777
2016-04,Buy Call,27428.895529993722
2016-04,Buy Call,35622.436110600116
2016-04,Buy Call,41485.257134098676
2016-05,Buy Call,47364.52054058304
2016-05,Buy Call,53259.84204893075
2016-05,Buy Call,90150.44130205752
2016-05,Buy Call,97850.5526653919
2016-05,Buy Call,95600.5436806322
2016-05,Buy Call,99144.27984080021
2016-05,Buy Call,105605.57053540264
2016-05,Buy Call,112081.1949626841
2016-05,Buy Call,120071.1428074328
2016-05,Buy Call,142832.9719721262
2016-05,Buy Call,136573.93933786466
2016-05,Buy Call,176894.19323960465
2016-05,Buy Call,150619.60969822507
2016-05,Buy Call,137382.29043994466
