Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,26816.995766949956
2016-01,Buy Call,854726.5633313117
2016-01,Buy Call,2444328.6001579026
2016-01,Buy Call,1359365.8162889285
2016-01,Buy Call,1148471.5155583557
2016-01,Buy Call,415696.6885839779
2016-01,Buy Call,59431.587061766324
2016-01,Buy Put,128516.79670913541
2016-01,Buy Put,333890.2973589768
2016-01,Buy Call,842057.5799918737
2016-01,Buy Call,2579641.765376792
2016-01,Buy Call,3239326.356512194
2016-01,Buy Call,2143453.4983933275
2016-01,Buy Call,1234719.9352801254
2016-01,Buy Call,605803.6697830147
2016-01,Buy Put,3707851.9350800933
2016-01,Buy Put,3933997.2754403763
2016-01,Buy Put,2841463.895552721
2016-01,Buy Call,3779461.326780094
2016-01,Buy Call,3901645.360377827
2016-01,Buy Call,3725004.682281792
2016-02,Buy Call,3423583.770926797
2016-02,Buy Call,5241544.748815066
2016-02,Buy Call,6149219.395730011
2016-02,Buy Call,7109760.057436994
2016-02,Buy Call,7040632.935710342
2016-02,Buy Call,6740456.0246453155
2016-02,Buy Call,6261174.702243224
2016-02,Buy Call,5580249.01672357
2016-02,Buy Call,3724656.7712434595
2016-02,Buy Call,1406809.2486946285
2016-02,Buy Call,2116889.2116439934
2016-02,Buy Put,1706192.287480434
2016-02,Buy Put,2015306.875927763
2016-02,Buy Put,2051168.9068544144
2016-02,Buy Put,1871872.0756388337
2016-02,Buy Put,1726040.3818338404
2016-02,Buy Call,2390425.6886107475
2016-02,Buy Call,3882779.6337121185
2016-02,Buy Call,1534242.5663370988
2016-02,Buy Call,514162.8919956531
2016-02,Buy Put,1451.3451286859436
2016-02,Buy Put,356288.8087577676
2016-02,Buy Put,1295061.1222721734
2016-02,Buy Put,480761.300188675
2016-02,Buy Call,3331325.211604593
2016-02,Buy Call,1179731.9941601357
2016-02,Buy Call,1947375.8052130279
2016-02,Buy Call,2716693.80380294
2016-02,Buy Call,3319887.6286159875
2016-03,Buy Put,533515.1485651295
2016-03,Buy Call,2001312.6282095897
2016-03,Buy Call,5393102.720826072
2016-03,Buy Call,3838504.538327612
2016-03,Buy Call,2694356.8242193833
2016-03,Buy Call,1907548.1582726468
2016-03,Buy Call,1413710.7090761275
2016-03,Buy Call,2984199.9270548173
2016-03,Buy Call,1036184.0856919286
2016-03,Buy Put,608668.2923828164
2016-03,Buy Put,266690.6031441272
2016-03,Buy Put,303778.537541433
2016-03,Buy Put,342325.5245989196
2016-03,Buy Put,228913.23836105925
2016-03,Buy Put,1247572.7493577723
2016-03,Buy Put,2546741.412508197
2016-03,Buy Put,2376894.3408192913
2016-03,Buy Put,3001046.632242591
2016-03,Buy Put,1976723.14061046
2016-03,Buy Put,1108487.378298264
2016-03,Buy Put,449518.67990320694
2016-03,Buy Call,1051163.3563446025
2016-03,Buy Call,1475262.5777310869
2016-03,Buy Call,2303609.755938737
2016-03,Buy Call,1822309.765160483
2016-03,Buy Call,1452389.539817574
2016-03,Buy Call,1174984.4763771761
2016-03,Buy Call,929081.3311637578
2016-03,Buy Call,1631904.1144957396
2016-03,Buy Call,1787156.5550932474
2016-03,Buy Call,2071424.9715330624
2016-04,Buy Call,971556.8590893326
2016-04,Buy Call,866666.391803534
2016-04,Buy Call,860389.4650995869
2016-04,Buy Call,862292.5054511939
2016-04,Buy Call,2427950.1972412732
2016-04,Buy Call,2104276.7854091553
2016-04,Buy Put,820280.3909550767
2016-04,Buy Put,1326032.175497346
2016-04,Buy Put,881158.9104750226
2016-04,Buy Put,588787.3239946372
2016-04,Buy Put,439853.16993118316
2016-04,Buy Put,1708527.322491676
2016-04,Buy Put,1594007.000240481
2016-04,Buy Put,2458896.6981484788
2016-04,Buy Put,2065357.1423009255
2016-04,Buy Put,1503355.5833826994
2016-04,Buy Put,1039928.7236843122
2016-04,Buy Put,766011.0843819439
2016-04,Buy Put,2368540.3996817344
2016-04,Buy Call,534430.6540051491
2016-04,Buy Put,313039.52983867587
2016-04,Buy Put,1828535.6599733261
2016-04,Buy Put,832847.7573095938
2016-04,Buy Call,137324.36539663695
2016-04,Buy Call,835525.5561117474
2016-04,Buy Call,3298467.208611072
2016-04,Buy Call,2199367.9328653426
2016-04,Buy Call,1514856.2882390735
2016-04,Buy Call,653371.4829957376
2016-04,Buy Call,193826.14314179137
2016-05,Buy Put,87296.55313823059
2016-05,Buy Put,346653.9367006192
2016-05,Buy Put,3039375.7205877565
2016-05,Buy Put,2773518.207096842
2016-05,Buy Put,1688178.9339206393
2016-05,Buy Put,1183647.8971639934
2016-05,Buy Put,1168646.9938692313
2016-05,Buy Put,1208805.3724014855
2016-05,Buy Put,1167254.2465829423
2016-05,Buy Put,2427814.085267386
2016-05,Buy Put,1021204.8384094316
2016-05,Buy Put,3325801.023243173
2016-05,Buy Put,162664.38122679005
2016-05,Buy Call,1631725.6120450026
2016-05,Buy Call,2735960.7096254732
2016-05,Buy Call,3295470.7489609234
2016-05,Buy Call,831239.2732435114
2016-05,Buy Call,1679026.5480195642
2016-05,Buy Call,4097458.4745435296
2016-05,Buy Call,4081369.8089111624
2016-05,Buy Call,2934502.9702713676
2016-05,Buy Call,1922933.1585857067
2016-05,Buy Call,1025181.0759300212
2016-05,Buy Put,777660.8767372579
2016-05,Buy Call,3114573.311446918
2016-05,Buy Call,3389385.503990852
2016-05,Buy Call,2108819.1665980103
2016-05,Buy Call,2413961.6619549002
2016-05,Buy Call,2777597.6241543107
2016-05,Buy Call,3104677.1691979133
2016-05,Buy Call,3334435.422841423
2016-06,Buy Call,4874350.923492344
2016-06,Buy Call,2837850.190496809
2016-06,Buy Call,1651332.2482440316
2016-06,Buy Call,1478027.4449384762
2016-06,Buy Call,1374622.2134533639
2016-06,Buy Call,1238856.8380271464
2016-06,Buy Put,550103.8260962616
2016-06,Buy Put,1100751.6115749213
2016-06,Buy Put,901981.2844499171
2016-06,Buy Put,321323.15000623633
2016-06,Buy Call,278160.26006956917
2016-06,Buy Call,769658.0251120508
2016-06,Buy Call,1078448.7484631455
2016-06,Buy Call,1834689.116457355
2016-06,Buy Call,3721564.1058009653
2016-06,Buy Call,2766366.0206428915
2016-06,Buy Put,1088421.6409210835
2016-06,Buy Put,1980681.6345163297
2016-06,Buy Put,2486228.0603638566
2016-06,Buy Put,2853921.16642565
2016-06,Buy Put,3199489.3597983634
2016-06,Buy Put,2349663.449836086
2016-06,Buy Put,1540402.2041696664
2016-06,Buy Call,2014847.0296655318
2016-06,Buy Call,2022483.7160033786
2016-06,Buy Call,1928358.3281929994
2016-06,Buy Call,1866178.1102406394
2016-06,Buy Call,2180311.0008668085
2016-06,Buy Call,1091352.8513570442
2016-06,Buy Put,424884.39280484157
2016-07,Buy Call,17952.15758897939
2016-07,Buy Call,257230.23604550122
2016-07,Buy Call,393175.46474063647
2016-07,Buy Call,398438.8643795569
2016-07,Buy Call,469595.1780441021
2016-07,Buy Put,1826837.804972186
2016-07,Buy Call,1135284.377089178
2016-07,Buy Put,5242465.576333636
2016-07,Buy Put,4877851.273988568
2016-07,Buy Put,4336671.036248248
2016-07,Buy Put,3558449.276574791
2016-07,Buy Put,1450872.3170999077
2016-07,Buy Put,2106868.8061579764
2016-07,Buy Put,3459987.553553141
2016-07,Buy Put,4107830.501628044
2016-07,Buy Put,3650301.606374683
2016-07,Buy Put,3121766.736047746
2016-07,Buy Put,2538036.5910842214
2016-07,Buy Put,1944039.8254327108
2016-07,Buy Put,2156814.338079201
2016-07,Buy Put,1314773.878374382
