Month,Arbitrage Type,Gain
2016-01,Buy Call,108335.1970258164
2016-01,Buy Call,109914.44744747625
2016-01,Buy Call,111492.40630993163
2016-01,Buy Call,113069.07289563029
2016-01,Buy Call,163731.81283390892
2016-01,Buy Call,30609.951267681623
2016-01,Buy Call,216218.54690328846
2016-01,Buy Call,298690.89142811944
2016-01,Buy Call,265345.88621347054
2016-01,Buy Call,231250.5384071706
2016-01,Buy Call,196414.35550536457
2016-01,Buy Call,184367.23831220903
2016-01,Buy Call,204587.38150849243
2016-01,Buy Put,28749.595197908206
2016-01,Buy Call,1695.4224083711722
2016-01,Buy Call,5299.614633276661
2016-01,Buy Call,8897.98270307196
2016-01,Buy Call,12490.517727425044
2016-01,Buy Call,16077.21151987107
2016-01,Buy Call,28520.967913351567
2016-01,Buy Put,22038.151944343554
2016-01,Buy Put,59094.60150004264
2016-01,Buy Put,80383.42449620117
2016-01,Buy Put,101431.86553091255
2016-01,Buy Put,122242.39837481221
2016-01,Buy Put,87089.86495471648
2016-01,Buy Put,89214.29196712439
2016-01,Buy Put,217294.21720398535
2016-01,Buy Put,250424.27421638535
2016-01,Buy Put,267798.1868295305
2016-01,Buy Put,284993.1075975292
2016-02,Buy Put,302010.8519820184
2016-02,Buy Put,333980.5190407326
2016-02,Buy Put,357067.8322502765
2016-02,Buy Put,394286.5313725647
2016-02,Buy Put,401150.26687241695
2016-02,Buy Put,389736.4010741526
2016-02,Buy Put,378237.94015164935
2016-02,Buy Put,366654.212913371
2016-02,Buy Put,537578.8537056963
2016-02,Buy Put,637088.8161717581
2016-02,Buy Put,636849.1979223165
2016-02,Buy Put,655671.3507014145
2016-02,Buy Put,611976.8677996582
2016-02,Buy Put,566831.2677676965
2016-02,Buy Put,520176.9953616271
2016-02,Buy Put,471955.2746138653
2016-02,Buy Put,314647.8222143152
2016-02,Buy Put,407322.6955521747
2016-02,Buy Put,506757.84945808287
2016-02,Buy Put,484169.53982155776
2016-02,Buy Put,461227.81882189657
2016-02,Buy Put,437926.48821667867
