Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,187584.4455660456
2016-01,Buy Call,253894.32128767454
2016-01,Buy Call,200209.808430305
2016-01,Buy Call,817120.7176405381
2016-01,Buy Call,609796.2666034
2016-01,Buy Call,450714.00348857435
2016-01,Buy Call,291489.2405933607
2016-01,Buy Call,165583.703659685
2016-01,Buy Call,77729.23459879166
2016-01,Buy Call,5839.492281097591
2016-01,Buy Call,193405.60996834812
2016-01,Buy Call,300257.31010518444
2016-01,Buy Call,328229.7125829459
2016-01,Buy Call,340618.4239348633
2016-01,Buy Call,329345.848910517
2016-01,Buy Call,106965.02122486962
2016-01,Buy Call,58278.87962432499
2016-01,Buy Call,495789.7273368275
2016-01,Buy Call,511842.87085423106
2016-01,Buy Call,460315.4539599252
2016-01,Buy Call,402660.1822051745
2016-02,Buy Call,325163.188778518
2016-02,Buy Call,328278.68356064725
2016-02,Buy Call,333863.8626524251
2016-02,Buy Call,392562.2322971023
2016-02,Buy Call,313168.21736435685
2016-02,Buy Call,162752.2302587252
2016-02,Buy Call,47822.929232065544
2016-02,Buy Put,19313.259507470095
2016-02,Buy Call,697664.238109379
2016-02,Buy Call,912088.7706521365
2016-02,Buy Call,714971.287444559
2016-02,Buy Call,560428.356109778
2016-02,Buy Call,181179.2271741126
2016-02,Buy Put,85027.05069966154
2016-02,Buy Put,243272.3867310891
2016-02,Buy Put,342196.3376728279
2016-02,Buy Put,721739.0610092558
2016-02,Buy Put,204901.02276625778
2016-02,Buy Call,405621.0525744781
2016-02,Buy Call,313246.9038219341
2016-02,Buy Call,177953.84474949926
2016-02,Buy Put,2359.4620995517344
2016-02,Buy Put,214367.4598432277
2016-02,Buy Put,107348.07214087993
2016-02,Buy Put,364940.5894920292
2016-02,Buy Put,535067.4396958724
2016-02,Buy Put,405745.1879211058
2016-02,Buy Put,282361.27347538085
2016-02,Buy Put,156083.00570454504
2016-03,Buy Call,604807.864138035
2016-03,Buy Call,709575.8406273873
2016-03,Buy Call,778692.27430633
2016-03,Buy Call,676806.0537904645
2016-03,Buy Call,490655.13593164313
2016-03,Buy Call,383283.370039976
2016-03,Buy Call,352493.4169256504
2016-03,Buy Call,402619.98958173353
2016-03,Buy Call,389846.17149850464
2016-03,Buy Call,366738.16915866197
2016-03,Buy Call,458355.8928950176
2016-03,Buy Call,371606.91552697856
2016-03,Buy Call,297861.95402848395
2016-03,Buy Call,256108.24551099044
2016-03,Buy Call,206993.62940474585
2016-03,Buy Put,255100.8815937017
2016-03,Buy Put,81309.57323961852
2016-03,Buy Call,49140.52739523811
2016-03,Buy Put,42530.1544101977
2016-03,Buy Put,148114.8753076802
2016-03,Buy Put,228229.26630464479
2016-03,Buy Put,109475.15158159859
2016-03,Buy Put,438041.4013041118
2016-03,Buy Put,737823.9395824196
2016-03,Buy Put,665969.5292897894
2016-03,Buy Put,567494.3168728142
2016-03,Buy Put,456978.9495095762
2016-03,Buy Put,387270.4769195927
2016-03,Buy Call,1645.9117855660566
2016-03,Buy Call,463952.3660593206
2016-03,Buy Call,671948.7099255695
2016-04,Buy Call,150574.95921793062
2016-04,Buy Call,50336.91050935474
2016-04,Buy Put,43867.917382961255
2016-04,Buy Put,48276.80885724206
2016-04,Buy Call,259605.85561481508
2016-04,Buy Call,609087.0267080994
2016-04,Buy Call,666285.6349449555
2016-04,Buy Call,447281.3447349395
2016-04,Buy Call,425483.42310639244
2016-04,Buy Call,413762.2909675933
2016-04,Buy Call,465417.7578073408
2016-04,Buy Call,498332.1899954198
2016-04,Buy Call,192360.5873276415
2016-04,Buy Put,680254.2558709312
2016-04,Buy Put,484964.575917477
2016-04,Buy Put,397975.8147583503
2016-04,Buy Put,300810.2597116036
2016-04,Buy Put,218742.01806653204
2016-04,Buy Put,386096.2413955136
2016-04,Buy Put,573311.6137268083
2016-04,Buy Put,688185.1166316472
2016-04,Buy Put,355759.5612389406
2016-04,Buy Put,125275.31586481543
2016-04,Buy Call,76835.64101256835
2016-04,Buy Call,204836.49688905815
2016-04,Buy Put,154232.26231634145
2016-04,Buy Put,480775.03782019805
2016-04,Buy Put,283501.8006483345
2016-04,Buy Put,788557.7874793875
2016-04,Buy Put,527804.206676219
2016-05,Buy Put,206128.91731051164
2016-05,Buy Call,125770.61779117216
2016-05,Buy Call,381517.5153083672
2016-05,Buy Call,389252.283636246
2016-05,Buy Call,406840.1195371365
2016-05,Buy Call,137730.7692382992
2016-05,Buy Put,56838.61735095519
2016-05,Buy Put,201472.1356811968
2016-05,Buy Put,295086.925859362
2016-05,Buy Call,136796.87911240634
2016-05,Buy Call,446576.27701620583
2016-05,Buy Call,332561.85744260234
2016-05,Buy Put,480564.84050876944
2016-05,Buy Put,356188.954286889
2016-05,Buy Put,226950.76140889013
2016-05,Buy Put,112152.30834197598
2016-05,Buy Put,354760.86205360957
2016-05,Buy Put,579724.7689561722
2016-05,Buy Put,576417.7982092935
2016-05,Buy Put,117204.35336599877
2016-05,Buy Put,140617.88417077993
2016-05,Buy Put,194969.419798106
2016-05,Buy Put,248747.4577730602
2016-05,Buy Call,42578.5907504519
2016-05,Buy Call,306081.0502139617
2016-05,Buy Call,296013.80051363434
2016-05,Buy Call,176838.20291338747
2016-05,Buy Call,80884.39667390546
2016-05,Buy Call,3067.4079958998846
2016-05,Buy Put,55399.417523872784
2016-05,Buy Put,98176.17940754886
2016-06,Buy Put,13675.855928479308
2016-06,Buy Put,66094.19713961628
2016-06,Buy Put,383006.66350160737
2016-06,Buy Put,288995.6982036779
2016-06,Buy Put,199446.36846446074
2016-06,Buy Put,121491.93963166738
2016-06,Buy Call,182709.72203344727
2016-06,Buy Call,55481.63796115091
2016-06,Buy Put,65039.8228018787
2016-06,Buy Call,472493.31744341913
2016-06,Buy Call,409646.7241300239
2016-06,Buy Call,342963.41282374953
2016-06,Buy Call,277670.5572215015
2016-06,Buy Call,455090.73215626826
2016-06,Buy Call,478792.3114741588
2016-06,Buy Call,363978.31006541284
2016-06,Buy Call,210074.2432249767
2016-06,Buy Call,83560.8049422234
2016-06,Buy Put,19365.200801928495
2016-06,Buy Put,87564.39044266884
2016-06,Buy Put,20151.701899745687
2016-06,Buy Call,507524.2758634779
2016-06,Buy Call,401717.43254871474
2016-06,Buy Call,396487.846203641
2016-06,Buy Call,366588.6523848769
2016-06,Buy Call,335895.56754271756
2016-06,Buy Call,306280.8501982417
2016-06,Buy Call,452761.03026067815
2016-06,Buy Call,480674.18207014614
2016-06,Buy Call,366330.2262058892
2016-07,Buy Call,418144.62823384703
2016-07,Buy Call,314534.2227120409
2016-07,Buy Call,224578.41927198175
2016-07,Buy Call,148902.8547600739
2016-07,Buy Call,89384.20653370471
2016-07,Buy Put,185954.262275132
2016-07,Buy Call,80480.78117620961
2016-07,Buy Call,93538.42608970098
2016-07,Buy Call,295988.3776321348
2016-07,Buy Call,437589.8282397976
2016-07,Buy Call,539231.6348491128
2016-07,Buy Call,370771.39770944713
2016-07,Buy Call,430066.8203278235
2016-07,Buy Call,329889.09770235606
2016-07,Buy Put,75682.83645526464
2016-07,Buy Put,62761.753321598946
2016-07,Buy Put,30940.41165035932
2016-07,Buy Call,8051.962763406806
2016-07,Buy Put,212250.35466129327
2016-07,Buy Put,101067.84532693069
2016-07,Buy Call,67975.26653879516
2016-07,Buy Call,112232.43897453017
2016-07,Buy Call,322409.5741108464
2016-07,Buy Call,462669.1130023701
2016-07,Buy Call,551561.6010340558
2016-07,Buy Call,670203.361044031
