Month,Arbitrage Type,Gain
2016-01,Buy Call,2881.1589034383187
2016-01,Buy Put,3377.1468311378785
2016-01,Buy Put,9420.277586716707
2016-01,Buy Put,15434.155223989166
2016-01,Buy Call,54362.10572583633
2016-01,Buy Call,50328.65043755308
2016-01,Buy Call,89821.50798682298
2016-01,Buy Call,57031.18887512204
2016-01,Buy Call,91279.7488367012
2016-01,Buy Call,124626.72501395745
2016-01,Buy Call,157056.3877489839
2016-01,Buy Call,245874.03089397596
2016-01,Buy Call,297703.66336312646
2016-01,Buy Call,425991.40030083404
2016-01,Buy Call,458444.77893033717
2016-01,Buy Call,454571.2095742651
2016-01,Buy Call,450660.58477965323
2016-01,Buy Call,446713.1727535367
2016-01,Buy Call,442728.6032214024
2016-01,Buy Call,408374.49517138855
2016-01,Buy Call,425261.1387803622
2016-01,Buy Call,440115.7213819289
2016-01,Buy Call,438694.5663963768
2016-01,Buy Call,437269.1296172917
2016-01,Buy Call,435838.8816601515
2016-01,Buy Call,408795.9949962361
2016-01,Buy Call,412044.7072328144
2016-01,Buy Call,379660.5367870214
2016-01,Buy Call,330029.8257687171
2016-01,Buy Call,330922.115221437
2016-01,Buy Call,331813.2555009381
2016-02,Buy Call,332703.34252363123
2016-02,Buy Call,345053.46181656193
2016-02,Buy Call,294106.3141066369
2016-02,Buy Call,229795.152220742
2016-02,Buy Call,236609.6787560732
2016-02,Buy Call,222767.3513781152
2016-02,Buy Call,208716.1662320902
2016-02,Buy Call,194457.45461315766
2016-02,Buy Call,281078.0719035151
2016-02,Buy Call,275833.08836189954
2016-02,Buy Call,209867.63857421486
2016-02,Buy Call,242262.45178321903
2016-02,Buy Call,239707.22396672884
2016-02,Buy Call,237144.6244358655
2016-02,Buy Call,234574.71370660877
2016-02,Buy Call,231997.4539974101
2016-02,Buy Call,263770.53046667954
2016-02,Buy Call,305537.034895135
2016-02,Buy Call,332435.1047917169
2016-02,Buy Call,312130.2130015291
2016-02,Buy Call,291235.0905403418
2016-02,Buy Call,269754.89774999593
2016-02,Buy Call,151975.76071496145
2016-02,Buy Call,62184.74909456262
2016-02,Buy Call,66497.10109986273
2016-02,Buy Call,65584.37385928784
2016-02,Buy Call,67610.07277441777
2016-02,Buy Call,69635.76265325244
2016-02,Buy Call,71655.69538655347
2016-03,Buy Call,56317.45230719787
2016-03,Buy Call,58232.408442467684
2016-03,Buy Call,55076.89532754156
2016-03,Buy Put,16515.234900868592
2016-03,Buy Put,29336.944342986724
2016-03,Buy Put,42034.10311757949
2016-03,Buy Put,54610.78190412394
2016-03,Buy Put,43928.971462413814
2016-03,Buy Call,63493.048734446944
2016-03,Buy Put,14009.399193451343
2016-03,Buy Put,60998.07638678811
2016-03,Buy Put,36961.31336163688
2016-03,Buy Put,12474.740463993328
2016-03,Buy Call,13238.813382024262
2016-03,Buy Call,33566.80884123264
2016-03,Buy Call,80462.04385310318
2016-03,Buy Call,113298.86782722553
2016-03,Buy Call,133204.99125654806
2016-03,Buy Call,165180.00550476942
2016-03,Buy Call,196270.5368409168
2016-03,Buy Call,226393.00376010142
2016-03,Buy Call,305918.467272166
2016-03,Buy Call,275344.7759245322
2016-03,Buy Call,334789.50929166016
2016-03,Buy Call,349980.8020652022
2016-03,Buy Call,364816.1559737737
2016-03,Buy Call,379293.992786101
2016-03,Buy Call,393412.2073940571
2016-03,Buy Call,357755.4819629949
2016-03,Buy Call,302301.6474666029
2016-03,Buy Call,263414.38720166724
2016-04,Buy Call,229859.59034827098
2016-04,Buy Call,225455.58493134443
2016-04,Buy Call,221030.46971437655
2016-04,Buy Call,216584.35225661067
2016-04,Buy Call,215555.3461145825
2016-04,Buy Call,108869.92883238023
2016-04,Buy Call,75346.61996409042
2016-04,Buy Call,124015.39721537702
2016-04,Buy Call,110185.89334271311
2016-04,Buy Call,96203.80211694268
2016-04,Buy Call,82050.78435432256
2016-04,Buy Call,141989.8077194972
2016-04,Buy Call,434736.98522605095
2016-04,Buy Call,535234.2955838641
2016-04,Buy Call,503734.63727912336
2016-04,Buy Call,489305.1473703114
2016-04,Buy Call,474234.11450658116
2016-04,Buy Call,458522.5821374106
2016-04,Buy Call,503431.83644646674
2016-04,Buy Call,487793.7086603872
2016-04,Buy Call,444867.5206873052
2016-04,Buy Call,459431.80648840533
2016-04,Buy Call,460460.2838681675
2016-04,Buy Call,461486.382834698
2016-04,Buy Call,462509.655212461
2016-04,Buy Call,454417.01555149193
2016-04,Buy Call,437673.46506819036
2016-04,Buy Call,467965.76362195984
2016-04,Buy Call,477022.6377359794
2016-04,Buy Call,461115.1364363515
2016-05,Buy Call,444542.28899073554
2016-05,Buy Call,427305.50016130664
2016-05,Buy Call,426218.630411638
2016-05,Buy Call,394432.50941674004
2016-05,Buy Call,326006.68339024705
2016-05,Buy Call,261522.90172666425
2016-05,Buy Call,257129.36480231007
2016-05,Buy Call,252712.7887708165
2016-05,Buy Call,248273.41591450214
2016-05,Buy Call,226134.47360211224
2016-05,Buy Call,220656.6867160973
2016-05,Buy Call,231676.2949372073
2016-05,Buy Call,200567.5608285209
2016-05,Buy Call,211105.29770666276
2016-05,Buy Call,221528.61911135702
2016-05,Buy Call,231836.90257819655
2016-05,Buy Call,149313.42206159572
2016-05,Buy Call,144039.6314847803
2016-05,Buy Call,126346.23740617456
2016-05,Buy Call,105148.71970145378
2016-05,Buy Call,55941.647869111934
2016-05,Buy Call,4888.036879545865
2016-05,Buy Put,43364.338977852414
2016-05,Buy Put,80347.8364131216
2016-05,Buy Put,35825.788369997725
2016-05,Buy Put,58419.040407240886
2016-05,Buy Put,61276.581027204455
2016-05,Buy Put,51852.643701376874
2016-05,Buy Put,42357.96068205033
2016-05,Buy Put,32795.90000821742
2016-05,Buy Put,23162.604372839014
2016-06,Buy Put,74194.84730268522
2016-06,Buy Put,159378.69555742168
2016-06,Buy Put,224183.4739089441
2016-06,Buy Put,224689.75440085615
2016-06,Buy Put,225195.7725621807
2016-06,Buy Put,225701.54893493565
2016-06,Buy Put,247318.39159609948
2016-06,Buy Put,260638.8944616569
2016-06,Buy Put,237456.45547863602
2016-06,Buy Put,236630.62442482286
2016-06,Buy Put,233270.82583699265
2016-06,Buy Put,229900.70841147058
2016-06,Buy Put,226520.38004214602
2016-06,Buy Put,286951.69432258717
2016-06,Buy Put,214847.80173264895
2016-06,Buy Put,202123.52811085666
2016-06,Buy Put,142840.96227776998
2016-06,Buy Put,88408.78091563199
2016-06,Buy Put,31511.35509470393
2016-06,Buy Call,29362.778483157825
2016-06,Buy Put,10793.629992324582
2016-06,Buy Put,74814.94006913892
2016-06,Buy Put,117231.7897418722
2016-06,Buy Put,70070.41051128837
2016-06,Buy Put,43064.27455362183
2016-06,Buy Put,15488.229722077307
2016-06,Buy Call,13451.836498663994
2016-06,Buy Call,8039.170343348445
2016-06,Buy Put,50634.20283531528
2016-06,Buy Put,92769.79524075557
2016-07,Buy Put,17307.47144409861
2016-07,Buy Put,20081.092427968626
2016-07,Buy Put,22848.948758657174
2016-07,Buy Put,25611.050098582666
2016-07,Buy Put,28367.406075044953
2016-07,Buy Call,23256.025626814393
2016-07,Buy Put,90611.85944202066
2016-07,Buy Put,167018.74089654468
2016-07,Buy Put,188864.6289158018
2016-07,Buy Put,210345.4612949811
2016-07,Buy Put,231390.91135726986
2016-07,Buy Put,297279.071775904
2016-07,Buy Put,295176.23450804467
2016-07,Buy Put,360865.6722279129
2016-07,Buy Put,385792.59056849225
2016-07,Buy Put,369923.92675162834
2016-07,Buy Put,353793.01133688126
2016-07,Buy Put,337395.13230451656
2016-07,Buy Put,294578.78765124513
2016-07,Buy Put,302602.45946129237
2016-07,Buy Put,315178.67301786493
2016-07,Buy Put,299179.3610607356
2016-07,Buy Put,275701.2013726019
2016-07,Buy Put,251692.81555691824
2016-07,Buy Put,227141.849212952
2016-07,Buy Put,179294.58148752886
2016-07,Buy Put,175053.2059502703
2016-07,Buy Put,191410.18037267087
2016-07,Buy Put,224472.09558316672
2016-07,Buy Put,240075.0017899469
2016-07,Buy Put,255459.2821520174
2016-08,Buy Put,270627.9877564839
2016-08,Buy Put,306436.43352579983
2016-08,Buy Put,333429.1571122581
2016-08,Buy Put,333908.6738039114
2016-08,Buy Put,308586.8260566862
2016-08,Buy Put,277520.35874116386
2016-08,Buy Put,245516.99164370433
2016-08,Buy Put,212547.75242342206
2016-08,Buy Put,177729.61321987424
2016-08,Buy Put,75985.39823781891
2016-08,Buy Call,16604.823603035613
2016-08,Buy Call,1574.1499200494502
2016-08,Buy Put,17463.462892301606
2016-08,Buy Put,36133.422918837256
2016-08,Buy Put,54540.801808599324
2016-08,Buy Put,102510.28951476826
2016-08,Buy Put,117514.70738468939
2016-08,Buy Put,134009.23414019062
2016-08,Buy Put,157915.49998185772
2016-08,Buy Put,170138.33970580806
2016-08,Buy Put,182234.3572610059
2016-08,Buy Put,194204.79565612326
2016-08,Buy Put,196805.9034734395
2016-08,Buy Put,216393.8918781767
2016-08,Buy Put,236825.86334799894
2016-08,Buy Put,230500.059045184
2016-08,Buy Put,237631.5266637583
2016-08,Buy Put,244717.09357069928
2016-08,Buy Put,251756.9838986553
2016-08,Buy Put,250126.21807869096
2016-08,Buy Put,242906.4271678172
2016-09,Buy Put,233125.13015338255
2016-09,Buy Put,315457.6216963978
2016-09,Buy Put,334309.2004908108
2016-09,Buy Put,352814.6771783032
2016-09,Buy Put,370981.10401754704
2016-09,Buy Put,388815.294144516
2016-09,Buy Put,456832.74444644264
2016-09,Buy Put,519376.9225695899
2016-09,Buy Put,562525.2380473178
