Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,208350.3069557864
2016-01,Buy Put,388053.7427328097
2016-01,Buy Put,407036.73454146204
2016-01,Buy Put,592120.4495047557
2016-01,Buy Put,512434.1687530407
2016-01,Buy Put,289907.58417482174
2016-01,Buy Put,62923.186541056
2016-01,Buy Call,107743.62371912715
2016-01,Buy Call,185258.8140527427
2016-01,Buy Call,335582.1188323116
2016-01,Buy Call,184212.4726126375
2016-01,Buy Call,24248.402118818292
2016-01,Buy Put,18755.324163244324
2016-01,Buy Put,42065.174034657815
2016-01,Buy Put,34197.734006038874
2016-01,Buy Call,119165.75510545968
2016-01,Buy Call,74526.93355288176
2016-01,Buy Call,202725.19207059502
2016-01,Buy Call,342618.3994946399
2016-01,Buy Call,247757.31711591932
2016-01,Buy Call,149767.87199768182
2016-02,Buy Call,65377.17056980696
2016-02,Buy Put,48838.68834384941
2016-02,Buy Call,156335.5304321661
2016-02,Buy Call,332061.8858194333
2016-02,Buy Call,218473.73952053318
2016-02,Buy Call,184545.91234961982
2016-02,Buy Call,157665.7837058555
2016-02,Buy Call,131348.04461819626
2016-02,Buy Put,255976.06179509035
2016-02,Buy Put,199079.9054907537
2016-02,Buy Call,109008.54577068487
2016-02,Buy Put,25591.421564705284
2016-02,Buy Call,6445.240773718552
2016-02,Buy Call,15027.808740917691
2016-02,Buy Call,9887.715701736965
2016-02,Buy Call,12712.501785458131
2016-02,Buy Put,123495.34887689017
2016-02,Buy Put,247607.8696638595
2016-02,Buy Put,274059.5463680613
2016-02,Buy Put,100322.36272385475
2016-02,Buy Call,63580.4530308377
2016-02,Buy Call,166232.11979556273
2016-02,Buy Call,496768.15875338676
2016-02,Buy Call,587222.9681839905
2016-02,Buy Call,435395.8667199276
2016-02,Buy Call,288538.57475438004
2016-02,Buy Call,145357.06277494854
2016-02,Buy Call,18441.4870326286
2016-02,Buy Put,58337.446600098985
2016-03,Buy Put,18930.37524227381
2016-03,Buy Put,33642.26149588489
2016-03,Buy Put,22859.424591544554
2016-03,Buy Call,212456.95890256754
2016-03,Buy Call,183172.65000108306
2016-03,Buy Call,139605.37263825402
2016-03,Buy Call,106526.05837215035
2016-03,Buy Put,4549.520583584154
2016-03,Buy Put,343962.6506916387
2016-03,Buy Put,34863.3609150788
2016-03,Buy Call,164682.26404265707
2016-03,Buy Call,43948.605258112395
2016-03,Buy Put,81844.46905372766
2016-03,Buy Put,142106.68920117797
2016-03,Buy Put,168877.49638033967
2016-03,Buy Put,248957.52057421382
2016-03,Buy Put,250531.36712785752
2016-03,Buy Put,211276.13869643013
2016-03,Buy Put,213664.90537020157
2016-03,Buy Put,204830.74392572042
2016-03,Buy Put,202456.37618582003
2016-03,Buy Put,361736.48564392555
2016-03,Buy Put,120059.28971087698
2016-03,Buy Put,249244.56073576273
2016-03,Buy Put,191282.79587231134
2016-03,Buy Put,147973.03781706185
2016-03,Buy Put,119067.35805843027
2016-03,Buy Put,110436.7443189389
2016-03,Buy Call,128789.56354969872
2016-03,Buy Call,337429.1851181912
2016-03,Buy Call,390644.12190523255
2016-04,Buy Call,391772.8354686005
2016-04,Buy Call,289889.48591187125
2016-04,Buy Call,187278.8205518816
2016-04,Buy Call,104870.24911672549
2016-04,Buy Call,30147.89544590357
2016-04,Buy Call,341244.13455342763
2016-04,Buy Call,332288.96989306377
2016-04,Buy Call,62230.86491409191
2016-04,Buy Call,50424.98194238476
2016-04,Buy Call,47692.178767825055
2016-04,Buy Call,45904.350906656786
2016-04,Buy Put,195494.6336875576
2016-04,Buy Put,729939.4932653916
2016-04,Buy Put,734187.6976418336
2016-04,Buy Put,530341.225022216
2016-04,Buy Put,185587.86114218505
2016-04,Buy Call,179121.0246591639
2016-04,Buy Call,358047.1007390784
2016-04,Buy Call,121246.78180649263
2016-04,Buy Call,208942.98546317103
2016-04,Buy Call,352271.78808447235
2016-04,Buy Call,161417.00647203194
2016-04,Buy Call,47964.76144538531
2016-04,Buy Put,7877.638880341209
2016-04,Buy Put,20738.07383261439
2016-04,Buy Call,23923.624337435
2016-04,Buy Call,102521.45089366139
2016-04,Buy Put,101560.23607673959
2016-04,Buy Put,139294.34926967055
2016-04,Buy Put,14435.950800216091
2016-05,Buy Call,93188.63461311012
2016-05,Buy Call,158669.86176274266
2016-05,Buy Call,120764.27280492296
2016-05,Buy Call,228603.89624208998
2016-05,Buy Call,421441.58046489547
2016-05,Buy Call,509571.8694690277
2016-05,Buy Call,400768.0736444446
2016-05,Buy Call,285966.672089252
2016-05,Buy Call,188686.1529984234
2016-05,Buy Call,172740.4967978785
2016-05,Buy Call,99982.63952986975
2016-05,Buy Put,22002.232557731815
2016-05,Buy Call,69421.99197517951
2016-05,Buy Put,8889.644106467642
2016-05,Buy Put,56624.90499578254
2016-05,Buy Put,91010.41504523977
2016-05,Buy Call,229565.10712194955
2016-05,Buy Call,181959.4282924939
2016-05,Buy Call,172166.51452021737
2016-05,Buy Call,163160.3036028899
2016-05,Buy Call,241219.58673897127
2016-05,Buy Call,296095.354007031
2016-05,Buy Call,327821.53924089565
2016-05,Buy Call,317626.8087208278
2016-05,Buy Call,30299.230451685587
2016-05,Buy Call,43808.37716960784
2016-05,Buy Put,7711.241155231363
2016-05,Buy Put,67092.4898852654
2016-05,Buy Put,87483.4366682684
2016-05,Buy Put,101910.611480168
2016-05,Buy Put,109767.67228117978
2016-06,Buy Call,111239.51948198397
2016-06,Buy Call,369608.55319264316
2016-06,Buy Call,457166.16723767703
2016-06,Buy Call,309871.2964616901
2016-06,Buy Call,169048.86585149015
2016-06,Buy Call,54227.41388451868
2016-06,Buy Call,108426.87916716542
2016-06,Buy Call,111375.92474289803
2016-06,Buy Put,45960.00700459868
2016-06,Buy Put,57738.42875781199
2016-06,Buy Put,61287.890651833266
2016-06,Buy Put,56557.107088313074
2016-06,Buy Put,56585.07338544894
2016-06,Buy Call,212255.73446366398
2016-06,Buy Put,162746.19392775945
2016-06,Buy Put,182386.17013724224
2016-06,Buy Put,309301.6280881713
2016-06,Buy Put,354075.3774886323
2016-06,Buy Put,369218.07348432625
2016-06,Buy Put,357534.87698271335
2016-06,Buy Put,64502.89086529892
2016-06,Buy Call,265132.0105388617
2016-06,Buy Call,372560.4140259797
2016-06,Buy Call,95434.49385315839
2016-06,Buy Put,101742.0500275783
2016-06,Buy Put,176045.6988775161
2016-06,Buy Put,227083.23608076596
2016-06,Buy Put,124655.78047484272
2016-06,Buy Call,140154.16451509565
2016-06,Buy Call,256333.7355930706
2016-07,Buy Put,102505.64482767643
2016-07,Buy Put,92688.06521883022
2016-07,Buy Put,58772.20558016205
2016-07,Buy Put,43345.7498645069
2016-07,Buy Put,21314.674140597846
2016-07,Buy Put,178532.91121245362
2016-07,Buy Call,250619.14244506767
2016-07,Buy Call,423904.733540569
2016-07,Buy Call,370053.8816320602
2016-07,Buy Call,300874.5425316963
2016-07,Buy Call,243182.38680773875
2016-07,Buy Call,365805.49529402796
2016-07,Buy Call,235473.56459672385
2016-07,Buy Call,392277.9268979717
2016-07,Buy Call,373040.04897445254
2016-07,Buy Call,177913.55424559896
2016-07,Buy Call,17530.98136304132
2016-07,Buy Put,74545.25194237505
2016-07,Buy Put,229336.5444234787
2016-07,Buy Put,122248.51157579408
2016-07,Buy Put,1231.7987169900846
2016-07,Buy Put,60007.841477808906
2016-07,Buy Put,147423.0743961975
2016-07,Buy Put,188616.00072178675
2016-07,Buy Put,202320.44169712183
2016-07,Buy Put,279932.86933064886
