Month,Arbitrage Type,Gain
2016-01,Buy Put,467969.0468744866
2016-01,Buy Call,31107.049549973453
2016-01,Buy Call,562407.3476973877
2016-01,Buy Call,1079615.608826657
2016-01,Buy Call,810626.6282398166
2016-01,Buy Call,2593468.0152513464
2016-01,Buy Call,1396727.255033511
2016-01,Buy Call,6448145.136038903
2016-01,Buy Call,6565918.3090222655
2016-01,Buy Call,6681463.435224117
2016-01,Buy Call,6794784.50675441
2016-01,Buy Call,6294121.581283747
2016-01,Buy Call,5271627.056113402
2016-01,Buy Call,4216195.340380409
2016-01,Buy Call,76994.72890527658
2016-01,Buy Call,100727.56475250344
2016-01,Buy Call,124433.09360372723
2016-01,Buy Call,148111.3269953198
2016-01,Buy Call,171762.26164212948
2016-01,Buy Call,1423139.6036916522
2016-01,Buy Call,2148380.54407835
2016-01,Buy Call,951802.7476877648
2016-01,Buy Call,288816.5846489983
2016-01,Buy Put,363137.09719240706
2016-01,Buy Put,977826.154986019
2016-01,Buy Put,1647970.5726077326
2016-01,Buy Put,1212652.6605300114
2016-01,Buy Put,2091284.1565128702
2016-01,Buy Put,4382214.20110068
2016-01,Buy Put,4819062.219023152
2016-01,Buy Put,5240763.6014967235
2016-02,Buy Put,5647788.190553257
2016-02,Buy Put,4231172.203715033
2016-02,Buy Put,3409350.094311634
2016-02,Buy Put,3951142.771153286
2016-02,Buy Put,7863275.762115052
2016-02,Buy Put,8320383.85689836
2016-02,Buy Put,8754288.42496666
2016-02,Buy Put,9166268.110395806
2016-02,Buy Put,9894024.851070398
2016-02,Buy Put,10212222.488090986
2016-02,Buy Put,10703088.4554689
2016-02,Buy Put,11299620.885827182
2016-02,Buy Put,11257201.435947493
2016-02,Buy Put,11214489.336223196
2016-02,Buy Put,11171481.828140428
2016-02,Buy Put,11128176.190609593
2016-02,Buy Put,11168763.405358192
2016-02,Buy Put,11645548.257220043
2016-02,Buy Put,12603142.557657123
2016-02,Buy Put,12763610.103334656
2016-02,Buy Put,12919441.84384269
2016-02,Buy Put,13070852.083686419
2016-02,Buy Put,13015983.279920164
2016-02,Buy Put,12947782.701716036
2016-02,Buy Put,13520543.747200036
2016-02,Buy Put,13842879.765903916
2016-02,Buy Put,13687019.785587445
2016-02,Buy Put,13524998.697105147
2016-02,Buy Put,13357881.740811579
2016-03,Buy Put,12054993.002165219
2016-03,Buy Put,12409325.82885044
2016-03,Buy Put,12697126.64141818
2016-03,Buy Put,13382917.17333415
2016-03,Buy Put,13420316.908361308
2016-03,Buy Put,13457478.780946154
2016-03,Buy Put,13494402.29244329
2016-03,Buy Put,13803836.089508777
2016-03,Buy Put,13953466.622273374
2016-03,Buy Put,13932593.941264087
2016-03,Buy Put,13993655.615376703
2016-03,Buy Put,13955879.642063877
2016-03,Buy Put,13917725.795991067
2016-03,Buy Put,13879160.192527948
2016-03,Buy Put,13799103.470562726
2016-03,Buy Put,14217431.978229158
2016-03,Buy Put,14155317.55564234
2016-03,Buy Put,13673521.741725672
2016-03,Buy Put,13700412.45105179
2016-03,Buy Put,13727122.906708317
2016-03,Buy Put,13753646.699067766
2016-03,Buy Put,13609449.670585044
2016-03,Buy Put,13989308.337419616
2016-03,Buy Put,13429031.353946144
2016-03,Buy Put,13380183.616312515
2016-03,Buy Put,13342391.985139279
2016-03,Buy Put,13294357.7448371
2016-03,Buy Put,13245877.870717123
2016-03,Buy Put,12440159.148929197
2016-03,Buy Put,13015690.9777469
2016-03,Buy Put,13492395.439525004
2016-04,Buy Put,13782333.999457436
2016-04,Buy Put,13835430.670060873
2016-04,Buy Put,13887709.492132472
2016-04,Buy Put,13939209.13008607
2016-04,Buy Put,13631258.629271861
2016-04,Buy Put,13442676.194784084
2016-04,Buy Put,13384747.816692993
2016-04,Buy Put,13322595.815337088
2016-04,Buy Put,13391265.476452887
2016-04,Buy Put,13470981.849312913
2016-04,Buy Put,13549596.111347655
2016-04,Buy Put,14191123.629447311
2016-04,Buy Put,14676671.059333423
2016-04,Buy Put,14574473.721316352
2016-04,Buy Put,13473489.31938049
2016-04,Buy Put,12971970.459088694
2016-04,Buy Put,12410283.213081002
2016-04,Buy Put,11785351.63044458
2016-04,Buy Put,11760486.435835518
2016-04,Buy Put,11307741.269297665
2016-04,Buy Put,10288263.646240551
2016-04,Buy Put,10082683.373224797
2016-04,Buy Put,10124197.09098394
2016-04,Buy Put,10165466.228521923
2016-04,Buy Put,10206492.533462012
2016-04,Buy Put,10296288.806211025
2016-04,Buy Put,7967717.377244128
2016-04,Buy Put,7668249.56082283
2016-04,Buy Put,5664792.936980717
2016-04,Buy Put,5355909.212355812
2016-05,Buy Put,5038551.806339001
2016-05,Buy Put,4712512.4761732025
2016-05,Buy Put,4418924.113328473
2016-05,Buy Put,7071634.275158516
2016-05,Buy Put,8703766.545516033
2016-05,Buy Put,8946675.062203355
2016-05,Buy Put,8789877.627314411
2016-05,Buy Put,8629993.766841834
2016-05,Buy Put,8466956.275341231
2016-05,Buy Put,8221949.619137234
2016-05,Buy Put,10308012.858255338
2016-05,Buy Put,6962765.386491099
2016-05,Buy Put,5663114.144385304
2016-05,Buy Put,4651260.97395401
2016-05,Buy Put,3549110.181616527
2016-05,Buy Put,2350104.401585611
2016-05,Buy Call,2357788.0160657684
2016-05,Buy Call,2409142.7290450158
2016-05,Buy Call,6745623.161702582
2016-05,Buy Call,8774723.258716946
2016-05,Buy Call,8743224.181760099
2016-05,Buy Call,8711259.026720427
2016-05,Buy Call,8678825.888930377
2016-05,Buy Call,7618616.438989861
2016-05,Buy Call,7280105.7812018115
2016-05,Buy Call,5916130.590824253
2016-05,Buy Call,4739518.193443018
2016-05,Buy Call,4073603.596140288
2016-05,Buy Call,3365569.5848025004
2016-05,Buy Call,2615963.5003584754
2016-05,Buy Call,1825482.9757912036
2016-06,Buy Call,1930916.7654075737
2016-06,Buy Call,2731899.065026539
2016-06,Buy Put,3015343.2380508888
2016-06,Buy Put,2758256.0967070153
2016-06,Buy Put,2496577.804926517
2016-06,Buy Put,2230251.586972912
2016-06,Buy Put,137270.12479705535
2016-06,Buy Put,1950655.1237465998
2016-06,Buy Put,3085851.724918484
2016-06,Buy Put,3369067.8657475244
2016-06,Buy Put,3933814.1215220047
2016-06,Buy Put,4475321.916579105
2016-06,Buy Put,4994425.426972753
2016-06,Buy Put,6350484.954187664
2016-06,Buy Put,6162807.146656945
2016-06,Buy Put,6187891.517335772
2016-06,Buy Put,4251942.1691141585
2016-06,Buy Put,4325780.676904884
2016-06,Buy Put,4399192.834214375
2016-06,Buy Put,4472180.816335026
2016-06,Buy Put,2948714.63811387
2016-06,Buy Put,2973802.795684804
2016-06,Buy Put,4323068.218263643
2016-06,Buy Put,5350254.391916707
2016-06,Buy Put,5487787.048335065
2016-06,Buy Put,5623683.707506473
2016-06,Buy Put,5757962.315942308
2016-06,Buy Put,5988784.32288808
2016-06,Buy Put,4327533.03459998
2016-06,Buy Put,2444438.086013605
2016-07,Buy Put,1267478.3616380694
2016-07,Buy Put,1732195.9575792504
2016-07,Buy Put,2183679.680438644
2016-07,Buy Put,2622286.005524103
2016-07,Buy Put,3048301.14893835
2016-07,Buy Put,4362571.109293242
2016-07,Buy Put,5895629.1999758715
2016-07,Buy Put,6670211.457957862
2016-07,Buy Put,6851814.987780727
2016-07,Buy Put,7030174.10934848
2016-07,Buy Put,7205344.72846802
2016-07,Buy Put,8651541.570519071
2016-07,Buy Put,8700274.351334143
2016-07,Buy Put,8410420.388106046
2016-07,Buy Put,8444701.309096929
2016-07,Buy Put,8273965.405769417
2016-07,Buy Put,8099766.9447358195
2016-07,Buy Put,7922030.340991796
2016-07,Buy Put,8122332.156877462
2016-07,Buy Put,8468913.019008482
2016-07,Buy Put,8129721.403007835
2016-07,Buy Put,8636516.057433682
2016-07,Buy Put,8708746.354446646
2016-07,Buy Put,8780345.554738602
2016-07,Buy Put,8851319.765573863
2016-07,Buy Put,9648516.452453336
2016-07,Buy Put,10517837.120071037
2016-07,Buy Put,10872941.287299952
2016-07,Buy Put,11336944.234814908
2016-07,Buy Put,11396308.196468553
2016-07,Buy Put,11455100.206666201
2016-08,Buy Put,11513327.795803377
2016-08,Buy Put,11332384.849388845
2016-08,Buy Put,11767973.593629193
2016-08,Buy Put,11132230.320822287
2016-08,Buy Put,10648383.169904236
2016-08,Buy Put,10738577.15249396
2016-08,Buy Put,10827545.069715953
2016-08,Buy Put,10915308.362140963
2016-08,Buy Put,10163719.340773497
2016-08,Buy Put,10071435.353672314
2016-08,Buy Put,11490903.422284575
2016-08,Buy Put,13436047.18378505
2016-08,Buy Put,13696934.42295921
2016-08,Buy Put,13942133.700139904
2016-08,Buy Put,14172182.699491877
2016-08,Buy Put,13898095.190284664
2016-08,Buy Put,13782401.79775129
2016-08,Buy Put,13356917.659319222
2016-08,Buy Put,13781002.279293993
2016-08,Buy Put,14030757.744019533
2016-08,Buy Put,14264395.762343455
2016-08,Buy Put,14474285.525837643
2016-08,Buy Put,15058101.435504604
2016-08,Buy Put,15519073.995381583
2016-08,Buy Put,15546325.401088992
2016-08,Buy Put,15299827.015976455
2016-08,Buy Put,15293391.685477069
2016-08,Buy Put,15286944.718061179
2016-08,Buy Put,15280486.065712612
2016-08,Buy Put,15046559.525538009
2016-08,Buy Put,14873360.909553675
2016-09,Buy Put,14862598.079372866
2016-09,Buy Put,15127964.215250961
2016-09,Buy Put,15082918.56185636
2016-09,Buy Put,15037423.068781741
2016-09,Buy Put,14991530.85266591
