Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,5004548.851502761
2016-01,Buy Put,1882527.8877499443
2016-01,Buy Call,2917208.520939539
2016-01,Buy Call,5959306.295778418
2016-01,Buy Call,10698106.895204945
2016-01,Buy Call,10079353.946129872
2016-01,Buy Call,9238181.092316069
2016-01,Buy Call,8236166.128800264
2016-01,Buy Call,7022816.893628885
2016-01,Buy Call,3694014.1150289206
2016-01,Buy Call,1229263.2809385965
2016-01,Buy Call,3497534.6802719967
2016-01,Buy Call,4344314.487839995
2016-01,Buy Call,5147032.338679083
2016-01,Buy Call,5848412.258639201
2016-01,Buy Call,6604023.576222573
2016-01,Buy Call,5237666.552970381
2016-01,Buy Call,6361623.472455392
2016-01,Buy Call,9485185.759196255
2016-01,Buy Call,9277997.394866347
2016-01,Buy Call,8997776.255278196
2016-02,Buy Call,8682964.319390351
2016-02,Buy Call,4341374.001458093
2016-02,Buy Call,1300689.9316690124
2016-02,Buy Call,2538500.7317630653
2016-02,Buy Call,10958649.569850821
2016-02,Buy Call,10907632.185568744
2016-02,Buy Call,10778087.57501232
2016-02,Buy Call,10594745.126078961
2016-02,Buy Call,11128446.696268184
2016-02,Buy Call,10711857.201043045
2016-02,Buy Call,10772003.601431692
2016-02,Buy Call,11204487.97321798
2016-02,Buy Call,9643231.036225585
2016-02,Buy Call,7939216.509398704
2016-02,Buy Call,6302421.716094528
2016-02,Buy Call,4982214.038510563
2016-02,Buy Call,4358772.720010194
2016-02,Buy Call,6367758.608275267
2016-02,Buy Call,10317642.5919375
2016-02,Buy Call,10020957.985036092
2016-02,Buy Call,9670237.192459013
2016-02,Buy Call,9283487.31310342
2016-02,Buy Call,7687605.5052323695
2016-02,Buy Call,5975722.745621936
2016-02,Buy Call,8850141.211638289
2016-02,Buy Call,9634836.34377809
2016-02,Buy Call,7227560.575513991
2016-02,Buy Call,4706392.021676777
2016-02,Buy Call,2313633.3206285825
2016-03,Buy Put,7398968.617055431
2016-03,Buy Put,4377225.4589902675
2016-03,Buy Put,1174379.5379378526
2016-03,Buy Call,5673448.831503123
2016-03,Buy Call,5812652.829487802
2016-03,Buy Call,5777688.757820442
2016-03,Buy Call,5663979.17491588
2016-03,Buy Call,7515753.483955052
2016-03,Buy Call,7811153.984956661
2016-03,Buy Call,6669739.225545698
2016-03,Buy Call,6222459.33243019
2016-03,Buy Call,4783415.310744715
2016-03,Buy Call,3568782.1295246636
2016-03,Buy Call,2594183.374506713
2016-03,Buy Call,1494318.6879585255
2016-03,Buy Call,5585743.471490076
2016-03,Buy Call,4398429.764892796
2016-03,Buy Put,1063295.3288584303
2016-03,Buy Put,407744.0173517743
2016-03,Buy Call,300423.1303056599
2016-03,Buy Call,1001735.1487483097
2016-03,Buy Put,122117.29830414697
2016-03,Buy Call,4183480.2079451946
2016-03,Buy Put,1467299.763746439
2016-03,Buy Put,1256301.9786093151
2016-03,Buy Put,1021538.0444038828
2016-03,Buy Put,696561.7167082883
2016-03,Buy Put,382266.14009602147
2016-03,Buy Put,5741727.323036628
2016-03,Buy Put,122272.0381621798
2016-03,Buy Call,5016478.067690769
2016-04,Buy Call,7193260.946790502
2016-04,Buy Call,7077332.46023264
2016-04,Buy Call,6855111.0213899445
2016-04,Buy Call,6440658.44667486
2016-04,Buy Call,2809875.105812523
2016-04,Buy Call,542417.6747428078
2016-04,Buy Put,53524.793034512186
2016-04,Buy Put,528162.9547781108
2016-04,Buy Call,568287.0447627124
2016-04,Buy Call,1701881.7915503064
2016-04,Buy Call,2718330.1802642746
2016-04,Buy Call,8240177.204887317
2016-04,Buy Call,11185783.388920499
2016-04,Buy Call,9320104.180959191
2016-04,Buy Put,2724827.623644842
2016-04,Buy Put,6244802.606574922
2016-04,Buy Put,8376030.5145939635
2016-04,Buy Put,9585856.384777714
2016-04,Buy Put,8192442.504833082
2016-04,Buy Put,8279938.52867624
2016-04,Buy Put,9668494.709291367
2016-04,Buy Put,8420514.560864944
2016-04,Buy Put,6166476.220856623
2016-04,Buy Put,3722734.218482884
2016-04,Buy Put,1405495.1893040766
2016-04,Buy Call,754249.1757188259
2016-04,Buy Put,7406240.759462406
2016-04,Buy Put,6658637.490557141
2016-04,Buy Put,9107760.733371465
2016-04,Buy Put,8063442.185524679
2016-05,Buy Put,6920885.700762454
2016-05,Buy Put,5760347.976148978
2016-05,Buy Put,4545821.193720399
2016-05,Buy Call,5623771.354391181
2016-05,Buy Call,10070204.628246088
2016-05,Buy Call,10141850.700018652
2016-05,Buy Call,9036858.778653909
2016-05,Buy Call,7613297.809065187
2016-05,Buy Call,6053180.055842404
2016-05,Buy Call,4137352.9087136374
2016-05,Buy Call,10345664.457095638
2016-05,Buy Put,3498748.018248307
2016-05,Buy Put,6425362.91092415
2016-05,Buy Put,7418820.204461042
2016-05,Buy Put,7891348.90319977
2016-05,Buy Put,8068491.924916145
2016-05,Buy Put,10412091.01107328
2016-05,Buy Put,9259997.961706376
2016-05,Buy Put,10682969.393564314
2016-05,Buy Put,10637134.2553611
2016-05,Buy Put,10088516.230529627
2016-05,Buy Put,8926820.304263912
2016-05,Buy Put,7193223.390191136
2016-05,Buy Put,753648.8612878998
2016-05,Buy Call,2835969.7452067677
2016-05,Buy Call,7400621.800442679
2016-05,Buy Call,9107929.110325955
2016-05,Buy Call,9371038.321327418
2016-05,Buy Call,9431576.82705791
2016-05,Buy Call,9301161.190915082
2016-05,Buy Call,9070302.54901126
2016-06,Buy Call,7735099.331771323
2016-06,Buy Call,5152471.372373412
2016-06,Buy Call,11271228.223943617
2016-06,Buy Call,10112041.492300676
2016-06,Buy Call,8674008.123015597
2016-06,Buy Call,7092687.631478384
2016-06,Buy Call,1716020.8116874287
2016-06,Buy Call,5107855.199999165
2016-06,Buy Call,6639452.306036503
2016-06,Buy Call,6442810.176069884
2016-06,Buy Call,6860407.130463045
2016-06,Buy Call,7199058.244119356
2016-06,Buy Call,7457612.972670716
2016-06,Buy Call,9364802.801001133
2016-06,Buy Call,8038017.017041511
2016-06,Buy Call,7110443.197113199
2016-06,Buy Call,603109.652426042
2016-06,Buy Call,570008.3833385748
2016-06,Buy Call,835609.3256771829
2016-06,Buy Call,1285035.1914969452
2016-06,Buy Put,2631629.661052102
2016-06,Buy Put,1663392.0611188558
2016-06,Buy Call,3085899.465190835
2016-06,Buy Call,5997158.957140101
2016-06,Buy Call,6146135.098199721
2016-06,Buy Call,6133452.233094175
2016-06,Buy Call,6010563.34993686
2016-06,Buy Call,6002588.778208718
2016-06,Buy Call,482894.28178156866
2016-06,Buy Put,4145536.9782723607
2016-07,Buy Put,5496080.368007853
2016-07,Buy Put,3547283.8190613063
2016-07,Buy Put,1361712.9807595063
2016-07,Buy Call,978608.4392709995
2016-07,Buy Call,2947531.8603927293
2016-07,Buy Call,6384002.614811607
2016-07,Buy Call,9155690.062330464
2016-07,Buy Call,9888197.379882116
2016-07,Buy Call,9388287.247771287
2016-07,Buy Call,8747450.40232679
2016-07,Buy Call,8024303.19854733
2016-07,Buy Call,10265493.941319803
2016-07,Buy Call,9201532.35403052
2016-07,Buy Call,7136497.774461133
2016-07,Buy Call,6115692.020522602
2016-07,Buy Call,4506931.322631885
2016-07,Buy Call,3127372.946900067
2016-07,Buy Call,2060223.2034603958
2016-07,Buy Call,2821526.48172746
2016-07,Buy Call,4119140.3537573023
2016-07,Buy Call,2558245.932316254
2016-07,Buy Call,4600836.338641585
2016-07,Buy Call,4695670.524831826
2016-07,Buy Call,4719390.0967605775
