Month,Arbitrage Type,Gain
2016-01,Buy Put,237.5161140193427
2016-01,Buy Put,475.0141503606642
2016-01,Buy Put,712.4939905480687
2016-01,Buy Put,949.9560858898803
2016-01,Buy Call,38693.366701728846
2016-01,Buy Call,78672.39518206049
2016-01,Buy Call,123976.85186458318
2016-01,Buy Put,24562.975082723427
2016-01,Buy Put,27043.915560248875
2016-01,Buy Put,29522.848896988307
2016-01,Buy Put,31999.878550450943
2016-01,Buy Call,38274.702913781766
2016-01,Buy Put,38564.61221260332
2016-01,Buy Put,127700.48071217843
2016-01,Buy Put,54003.03922928629
2016-01,Buy Put,81634.70730079325
2016-01,Buy Put,109019.57623856618
2016-01,Buy Put,136160.73875513734
2016-01,Buy Put,163061.24807061194
2016-01,Buy Put,129471.69547537385
2016-01,Buy Put,194963.3635000012
2016-01,Buy Put,251638.81778572517
2016-01,Buy Put,244616.19034091342
2016-01,Buy Put,237576.49208131683
2016-01,Buy Put,230519.66466662323
2016-01,Buy Put,141392.8014932253
2016-01,Buy Put,255940.18500527937
2016-01,Buy Put,390255.9557976346
2016-01,Buy Put,375233.3486980959
2016-01,Buy Put,371847.5598709432
2016-01,Buy Put,368457.73232092685
2016-02,Buy Put,365063.82007788576
2016-02,Buy Put,368454.5856385384
2016-02,Buy Put,443343.49377900397
2016-02,Buy Put,550869.6114552834
2016-02,Buy Put,521972.87485948607
2016-02,Buy Put,531918.8667764295
2016-02,Buy Put,541830.5271963888
2016-02,Buy Put,551707.7973774818
2016-02,Buy Put,525527.4720020893
2016-02,Buy Put,582459.7175948867
2016-02,Buy Put,654895.7503908923
2016-02,Buy Put,668990.4110079112
2016-02,Buy Put,667689.3672729065
2016-02,Buy Put,666387.821401166
2016-02,Buy Put,665085.7987999999
2016-02,Buy Put,663782.8763366613
2016-02,Buy Put,673402.9546795313
2016-02,Buy Put,665265.7217128563
2016-02,Buy Put,638362.9983482705
2016-02,Buy Put,627578.6611354093
2016-02,Buy Put,616752.4818008943
2016-02,Buy Put,605883.9973149261
2016-02,Buy Put,604759.0342942328
2016-02,Buy Put,667678.916671946
2016-02,Buy Put,621112.6398448101
2016-02,Buy Put,559610.0976586271
2016-02,Buy Put,560703.6641364474
2016-02,Buy Put,561796.9029807597
2016-02,Buy Put,562889.6159215913
2016-03,Buy Put,623297.3631161869
2016-03,Buy Put,648478.2079112818
2016-03,Buy Put,687583.6085971656
2016-03,Buy Put,700632.4233513582
2016-03,Buy Put,704612.7074973611
2016-03,Buy Put,708587.3013578024
2016-03,Buy Put,712556.60768675
2016-03,Buy Put,695775.1984683326
2016-03,Buy Put,679865.6629489273
2016-03,Buy Put,687440.6949358161
2016-03,Buy Put,653688.2632229961
2016-03,Buy Put,660744.5462936212
2016-03,Buy Put,667783.1327068304
2016-03,Buy Put,674804.7371266779
2016-03,Buy Put,705782.1130117077
2016-03,Buy Put,614030.7992757669
2016-03,Buy Put,678297.8290913206
2016-03,Buy Put,745434.9890003229
2016-03,Buy Put,733402.9885688196
2016-03,Buy Put,721320.7237735731
2016-03,Buy Put,709187.995919791
2016-03,Buy Put,695976.439197068
2016-03,Buy Put,702907.3732843613
2016-03,Buy Put,663910.1814041765
2016-03,Buy Put,658328.2959097616
2016-03,Buy Put,652735.4358614446
2016-03,Buy Put,647131.6978424398
2016-03,Buy Put,641516.732280941
2016-03,Buy Put,779355.687400816
2016-03,Buy Put,819917.6512472306
2016-03,Buy Put,832704.0192734358
2016-04,Buy Put,735795.7862265323
2016-04,Buy Put,708973.8442030153
2016-04,Buy Put,681901.68585744
2016-04,Buy Put,654572.6276791086
2016-04,Buy Put,653007.766531438
2016-04,Buy Put,737903.0017186849
2016-04,Buy Put,764681.4476021646
2016-04,Buy Put,749140.0379386022
2016-04,Buy Put,763568.3220279361
