Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,86343.53650846549
2016-01,Buy Put,401420.0141129933
2016-01,Buy Call,58392.909980391036
2016-01,Buy Call,498452.4705988207
2016-01,Buy Put,184899.3636895173
2016-01,Buy Put,52639.62439642711
2016-01,Buy Call,56488.47154021297
2016-01,Buy Call,143301.6891230423
2016-01,Buy Call,179517.77927994783
2016-01,Buy Put,177494.23558488075
2016-01,Buy Call,191603.71545487465
2016-01,Buy Call,395871.63552170777
2016-01,Buy Call,140740.1907778052
2016-01,Buy Put,58181.88185181583
2016-01,Buy Put,205068.9637807892
2016-01,Buy Put,680592.6608791495
2016-01,Buy Call,172738.478599733
2016-01,Buy Call,903301.3320941805
2016-01,Buy Call,494945.3120974212
2016-01,Buy Call,193896.07281026145
2016-01,Buy Put,27355.353350145604
2016-02,Buy Put,152326.51798010722
2016-02,Buy Put,164896.04654194778
2016-02,Buy Call,333508.76302339573
2016-02,Buy Call,845048.2384891487
2016-02,Buy Call,297800.9366863787
2016-02,Buy Call,144584.3790111283
2016-02,Buy Call,78707.5760386955
2016-02,Buy Call,19901.8288971331
2016-02,Buy Put,250086.70742873562
2016-02,Buy Call,178047.94757040555
2016-02,Buy Call,590261.4191255111
2016-02,Buy Call,440499.13879454293
2016-02,Buy Call,183464.60291931522
2016-02,Buy Call,34340.929216696735
2016-02,Buy Put,59752.047073068585
2016-02,Buy Put,105397.17188777331
2016-02,Buy Put,35262.63423628961
2016-02,Buy Put,106832.1131456429
2016-02,Buy Put,274879.8044173597
2016-02,Buy Put,247110.58765331729
2016-02,Buy Put,211761.21905595125
2016-02,Buy Put,184279.530282474
2016-02,Buy Put,101719.90193522618
2016-02,Buy Call,425955.4632978606
2016-02,Buy Put,64151.712320708044
2016-02,Buy Put,476201.8653395117
2016-02,Buy Put,318112.2858984082
2016-02,Buy Put,163036.3337085754
2016-02,Buy Put,55857.84557298013
2016-03,Buy Call,422289.1358393781
2016-03,Buy Call,457229.84845327376
2016-03,Buy Call,536543.4643938442
2016-03,Buy Call,369786.60879972833
2016-03,Buy Call,180702.16233605408
2016-03,Buy Call,57260.860936274585
2016-03,Buy Put,6074.580796386897
2016-03,Buy Put,176851.9340147492
2016-03,Buy Put,256172.7634253117
2016-03,Buy Put,113584.89882167078
2016-03,Buy Put,301864.9962665236
2016-03,Buy Put,126380.98768400852
2016-03,Buy Put,3740.795752932513
2016-03,Buy Call,81838.97387294791
2016-03,Buy Call,286781.7147680469
2016-03,Buy Put,479281.26183805376
2016-03,Buy Call,123733.70328339917
2016-03,Buy Call,590247.8669604961
2016-03,Buy Call,290833.3181228215
2016-03,Buy Put,6823.791147482439
2016-03,Buy Put,127712.88765831201
2016-03,Buy Put,205037.8423454333
2016-03,Buy Put,100242.41920926613
2016-03,Buy Put,339101.8063836384
2016-03,Buy Put,255738.04472425365
2016-03,Buy Put,172166.3534566673
2016-03,Buy Put,100585.71612858458
2016-03,Buy Put,75375.31332159376
2016-03,Buy Call,933672.8502215621
2016-03,Buy Call,884201.5275199984
2016-03,Buy Call,585115.898977108
2016-04,Buy Put,443862.1723376599
2016-04,Buy Put,537855.3808119264
2016-04,Buy Put,536347.5654008809
2016-04,Buy Put,511903.4003765606
2016-04,Buy Put,286775.6569043536
2016-04,Buy Call,536265.9191012753
2016-04,Buy Call,605047.7454393075
2016-04,Buy Call,263798.4457194946
2016-04,Buy Call,190390.7255173749
2016-04,Buy Call,187878.46260652685
2016-04,Buy Call,164943.02524584014
2016-04,Buy Call,84566.88134783263
2016-04,Buy Put,461693.1462545182
2016-04,Buy Put,1350964.6030987739
2016-04,Buy Put,513589.8513871098
2016-04,Buy Put,264147.0701771311
2016-04,Buy Put,87108.11720854395
2016-04,Buy Put,27783.62494887432
2016-04,Buy Put,429875.01831566985
2016-04,Buy Put,379028.26048192394
2016-04,Buy Put,882155.2794816653
2016-04,Buy Put,274282.0317065764
2016-04,Buy Call,1739.2055266256534
2016-04,Buy Call,184515.43848960483
2016-04,Buy Call,282303.6505533878
2016-04,Buy Call,386968.79654955294
2016-04,Buy Put,527007.7615800375
2016-04,Buy Put,171690.91541160241
2016-04,Buy Put,817025.7047420435
2016-04,Buy Put,542359.4545204082
2016-05,Buy Put,316813.1031693164
2016-05,Buy Put,132986.07857844047
2016-05,Buy Call,327047.12445082865
2016-05,Buy Call,458803.900700282
2016-05,Buy Call,1212886.1691085503
2016-05,Buy Call,1627549.020469239
2016-05,Buy Call,1144788.0392505638
2016-05,Buy Call,713683.515463785
2016-05,Buy Call,357318.8790542687
2016-05,Buy Call,807933.948894302
2016-05,Buy Call,400194.3525950935
2016-05,Buy Call,58014.76740727907
2016-05,Buy Put,409925.2138456748
2016-05,Buy Put,251188.8956079389
2016-05,Buy Put,51020.5572116007
2016-05,Buy Call,57875.00698906456
2016-05,Buy Put,891388.4896572668
2016-05,Buy Put,460969.4558019939
2016-05,Buy Put,118808.71603887045
2016-05,Buy Call,293662.80922696576
2016-05,Buy Call,3465.3307860708082
2016-05,Buy Put,190183.1166305925
2016-05,Buy Put,311828.91274205106
2016-05,Buy Put,84487.95314514967
2016-05,Buy Call,384904.4865305302
2016-05,Buy Call,434030.8195238336
2016-05,Buy Call,749259.7321662373
2016-05,Buy Call,498682.36064097716
2016-05,Buy Call,301781.14445437386
2016-05,Buy Call,180433.2586065982
2016-05,Buy Call,102070.28128763795
2016-06,Buy Call,121020.35681295575
2016-06,Buy Call,11828.148164077846
2016-06,Buy Put,341110.5798066387
2016-06,Buy Put,32416.47240802337
2016-06,Buy Call,206698.66283823524
2016-06,Buy Call,323795.45356319996
2016-06,Buy Call,628678.8931174243
2016-06,Buy Call,305645.14087232907
2016-06,Buy Call,167544.71297657146
2016-06,Buy Call,535131.7648508882
2016-06,Buy Call,191178.30830540328
2016-06,Buy Put,33596.093622243476
2016-06,Buy Put,155224.73661463466
2016-06,Buy Put,122139.45521916258
2016-06,Buy Put,127119.99637537019
2016-06,Buy Call,8776.445428480883
2016-06,Buy Call,18554.550027317873
2016-06,Buy Call,23551.418241581247
2016-06,Buy Call,31883.778942983554
2016-06,Buy Call,34250.94241650584
2016-06,Buy Call,279568.72116414644
2016-06,Buy Call,402086.9437482091
2016-06,Buy Call,323104.6688085541
2016-06,Buy Call,56450.95079876939
2016-06,Buy Put,108479.73326911386
2016-06,Buy Put,177911.04180923157
2016-06,Buy Put,204920.39469133515
2016-06,Buy Put,170274.1277120623
2016-06,Buy Call,129751.25801808218
2016-06,Buy Call,15891.779485585288
2016-07,Buy Call,188566.37282512168
2016-07,Buy Call,217933.96532815736
2016-07,Buy Call,206144.31996703785
2016-07,Buy Call,196156.44188063187
2016-07,Buy Call,180911.70189222082
2016-07,Buy Put,23167.71074983137
2016-07,Buy Call,45532.55869943484
2016-07,Buy Call,334579.6762706854
2016-07,Buy Call,178846.1362792333
2016-07,Buy Call,53666.982917071946
2016-07,Buy Put,2048.7218841509502
2016-07,Buy Put,362167.7856302554
2016-07,Buy Put,40685.73541442078
2016-07,Buy Call,32372.55880196699
2016-07,Buy Call,188639.3799460251
2016-07,Buy Call,110602.54554733007
2016-07,Buy Call,42749.29741394828
2016-07,Buy Call,8218.226118479777
2016-07,Buy Call,50169.40581005969
2016-07,Buy Put,39476.13809548045
2016-07,Buy Call,27813.214584462286
2016-07,Buy Call,323790.3843704828
2016-07,Buy Call,182240.3495725098
2016-07,Buy Call,62495.43633191479
2016-07,Buy Call,6970.951035050632
