Month,Arbitrage Type,Gain
2016-01,Buy Put,57688.976074256716
2016-01,Buy Put,51171.93064230463
2016-01,Buy Put,44694.80871092912
2016-01,Buy Put,38886.30501221968
2016-01,Buy Call,27037.004101966744
2016-01,Buy Put,71833.79931992562
2016-01,Buy Put,46704.69995559756
2016-01,Buy Call,72041.58999270404
2016-01,Buy Call,50617.15442231929
2016-01,Buy Call,32988.04083098261
2016-01,Buy Call,8843.890104994756
2016-01,Buy Put,67030.25297823828
2016-01,Buy Call,23327.375738407598
2016-01,Buy Put,92602.88687422502
2016-01,Buy Put,176821.95939418933
2016-01,Buy Put,181165.81479573314
2016-01,Buy Put,185632.19350878056
2016-01,Buy Put,190145.87311145093
2016-01,Buy Put,194495.80258783427
2016-01,Buy Put,163417.0811809099
2016-01,Buy Put,179497.48721120073
2016-01,Buy Put,152192.12851225096
2016-01,Buy Put,151052.90308889252
2016-01,Buy Put,149873.8703869158
2016-01,Buy Put,148631.53296371578
2016-01,Buy Put,60915.109030069914
2016-01,Buy Put,233.08333235050327
2016-01,Buy Put,170891.1487757412
2016-01,Buy Put,222309.5668513828
2016-01,Buy Put,224512.16022508548
2016-01,Buy Put,226700.52236447445
2016-02,Buy Put,228873.21243571534
2016-02,Buy Put,233281.9491599416
2016-02,Buy Put,249970.3106356499
2016-02,Buy Put,326508.72158217937
2016-02,Buy Put,341178.6091129514
2016-02,Buy Put,340674.77094725973
2016-02,Buy Put,340170.7982795905
2016-02,Buy Put,339666.69641717215
2016-02,Buy Put,342933.15545464866
2016-02,Buy Put,441972.7107740847
2016-02,Buy Put,459404.1004893725
2016-02,Buy Put,421795.83366186434
2016-02,Buy Put,436994.62243066734
2016-02,Buy Put,452078.11592597124
2016-02,Buy Put,467243.3342673763
2016-02,Buy Put,482634.7034243739
2016-02,Buy Put,530490.8464957308
2016-02,Buy Put,535355.6733675227
2016-02,Buy Put,613178.7665092645
2016-02,Buy Put,645986.2587593861
2016-02,Buy Put,677938.1337844086
2016-02,Buy Put,709123.6113058876
2016-02,Buy Put,643662.6098431582
2016-02,Buy Put,656323.5743991314
2016-02,Buy Put,639998.9746178782
2016-02,Buy Put,550543.487937599
2016-02,Buy Put,535388.0062078744
2016-02,Buy Put,520165.3355979765
2016-02,Buy Put,505142.2752792192
2016-03,Buy Put,531256.8124201746
2016-03,Buy Put,568631.3389152886
2016-03,Buy Put,624641.9018607341
2016-03,Buy Put,660789.1914837331
2016-03,Buy Put,659888.4138460228
2016-03,Buy Put,658986.9902074134
2016-03,Buy Put,658084.9284263053
2016-03,Buy Put,622791.8351850157
2016-03,Buy Put,589072.5282362191
2016-03,Buy Put,604253.4302022738
2016-03,Buy Put,622752.4439522014
2016-03,Buy Put,623477.7606275373
2016-03,Buy Put,624202.6098334534
2016-03,Buy Put,624927.0112611569
2016-03,Buy Put,642258.5436885804
2016-03,Buy Put,604493.717216478
2016-03,Buy Put,574207.3360470599
2016-03,Buy Put,653264.0640924505
2016-03,Buy Put,630663.7734001548
2016-03,Buy Put,607622.7042549505
2016-03,Buy Put,584079.4081989209
2016-03,Buy Put,551032.5481425546
2016-03,Buy Put,494825.81082627067
2016-03,Buy Put,513793.28616249963
2016-03,Buy Put,482977.31017437327
2016-03,Buy Put,450911.7578911948
2016-03,Buy Put,418579.9817941351
2016-03,Buy Put,385879.12866936234
2016-03,Buy Put,400861.10281851364
2016-03,Buy Put,560857.4764405034
2016-03,Buy Put,597381.8372464059
2016-04,Buy Put,561203.881061882
2016-04,Buy Put,527360.077876768
2016-04,Buy Put,493554.7281278723
2016-04,Buy Put,458721.8309745431
2016-04,Buy Put,466639.2310767513
2016-04,Buy Put,501007.89561410865
2016-04,Buy Put,575301.6501223271
2016-04,Buy Put,557796.2342849929
2016-04,Buy Put,567000.5634857774
2016-04,Buy Put,576102.582867854
2016-04,Buy Put,585110.7607330377
2016-04,Buy Put,608720.2093068277
2016-04,Buy Put,581675.2683328375
2016-04,Buy Put,442828.13777057227
2016-04,Buy Put,303800.38237453985
2016-04,Buy Put,297835.2934479567
2016-04,Buy Put,291850.9163378644
2016-04,Buy Put,285847.20181895664
2016-04,Buy Put,201218.4002482016
2016-04,Buy Put,15346.609248123144
2016-04,Buy Call,96274.67977028913
2016-04,Buy Call,184297.8019208026
2016-04,Buy Call,185412.0293810304
2016-04,Buy Call,186524.7860846182
2016-04,Buy Call,187636.36680437656
2016-04,Buy Call,248274.47903994226
2016-04,Buy Call,246492.33151507843
2016-04,Buy Call,356489.98438551516
2016-04,Buy Call,408829.4279400415
2016-04,Buy Call,435481.9709464621
2016-05,Buy Call,461571.12685583
2016-05,Buy Call,487152.71139312576
2016-05,Buy Call,443066.8491587646
2016-05,Buy Call,385728.1107680315
2016-05,Buy Call,413220.89965742495
2016-05,Buy Call,353651.2772084883
2016-05,Buy Call,336617.17076793354
2016-05,Buy Call,319384.00824817136
2016-05,Buy Call,301956.55664048006
2016-05,Buy Call,313586.2168520944
2016-05,Buy Call,207164.03707821484
2016-05,Buy Call,211402.64201386573
2016-05,Buy Call,366849.41076774534
2016-05,Buy Call,366800.09049032594
2016-05,Buy Call,366750.64548226644
2016-05,Buy Call,366701.3030041595
2016-05,Buy Call,237878.36904606153
2016-05,Buy Call,304907.29086041666
2016-05,Buy Call,444229.052509602
2016-05,Buy Call,446573.2805075149
2016-05,Buy Call,449368.22914157656
2016-05,Buy Call,452156.92132650176
2016-05,Buy Call,454939.4094750667
2016-05,Buy Call,636350.55074052
2016-05,Buy Call,335969.6382859738
2016-05,Buy Call,216942.46502764613
2016-05,Buy Call,175906.72885288327
2016-05,Buy Call,203602.59230558597
2016-05,Buy Call,230851.0785343927
2016-05,Buy Call,257749.5177566753
2016-05,Buy Call,284270.5859625063
2016-06,Buy Call,265966.0770450891
2016-06,Buy Call,197516.63358631788
2016-06,Buy Call,418249.6737053221
2016-06,Buy Call,448550.4499313677
2016-06,Buy Call,478138.79691464576
2016-06,Buy Call,507157.31719720125
2016-06,Buy Call,392018.09150856093
2016-06,Buy Call,284544.2759400463
2016-06,Buy Call,348069.31027072
2016-06,Buy Call,226489.01615515983
2016-06,Buy Call,183375.21091627807
2016-06,Buy Call,138448.1544312699
2016-06,Buy Call,90431.81314379467
2016-06,Buy Call,79540.09594439526
2016-06,Buy Call,20299.74808297652
2016-06,Buy Call,55871.926217260894
2016-06,Buy Call,125805.61979144633
2016-06,Buy Call,129054.81033962473
2016-06,Buy Call,132326.9595050185
2016-06,Buy Call,135632.40160756253
2016-06,Buy Call,193356.85354403153
2016-06,Buy Call,149536.20805719937
2016-06,Buy Call,144529.957703039
2016-06,Buy Call,158376.138840147
2016-06,Buy Call,142530.0157612135
2016-06,Buy Call,125752.42664645714
2016-06,Buy Call,109403.83412005517
2016-06,Buy Call,187307.00822930757
2016-06,Buy Call,31070.971833486285
2016-06,Buy Put,4936.419275487935
2016-07,Buy Put,1246.0453173339658
2016-07,Buy Call,1089.938386730438
2016-07,Buy Call,3522.2066297819765
2016-07,Buy Call,5964.856464913737
2016-07,Buy Call,8429.551999540763
2016-07,Buy Call,108484.99968705738
2016-07,Buy Call,97829.16594052082
2016-07,Buy Call,152716.85925336697
2016-07,Buy Call,127592.83874076743
2016-07,Buy Call,101834.27373106468
2016-07,Buy Call,77056.60779645029
2016-07,Buy Call,68331.39790080267
2016-07,Buy Call,89140.11107533071
2016-07,Buy Call,92687.4228905028
2016-07,Buy Call,171373.80207390507
2016-07,Buy Call,180844.95064147178
2016-07,Buy Call,190175.8218527334
2016-07,Buy Call,199436.37228422874
2016-07,Buy Call,231172.97633016066
2016-07,Buy Call,266505.96818516805
2016-07,Buy Call,230489.06934540626
2016-07,Buy Call,180932.54854395724
2016-07,Buy Call,111572.38157121085
2016-07,Buy Call,40392.064421276074
2016-07,Buy Put,31795.077875980125
2016-07,Buy Put,201802.26693379667
2016-07,Buy Put,207546.53774539733
2016-07,Buy Put,183357.7373043056
2016-07,Buy Put,251961.74745249777
2016-07,Buy Put,275419.23049413343
2016-07,Buy Put,298572.5585304522
2016-08,Buy Put,321441.3216410676
2016-08,Buy Put,352671.780178742
2016-08,Buy Put,343641.45295099745
2016-08,Buy Put,335298.46501720685
2016-08,Buy Put,327633.0317188929
2016-08,Buy Put,338359.2440231489
2016-08,Buy Put,349023.3186468821
2016-08,Buy Put,359616.4585240267
2016-08,Buy Put,375572.2601305997
2016-08,Buy Put,331154.0055505553
2016-08,Buy Put,304215.277104408
2016-08,Buy Put,287582.18937180756
2016-08,Buy Put,255539.45957917534
2016-08,Buy Put,223174.7797248147
2016-08,Buy Put,189402.97405976025
2016-08,Buy Put,138866.3069218694
2016-08,Buy Put,103579.5721129027
2016-08,Buy Put,122179.39656157739
2016-08,Buy Put,135038.58198331288
2016-08,Buy Put,153380.39566206874
2016-08,Buy Put,171404.29944331714
2016-08,Buy Put,190102.30524002836
2016-08,Buy Put,184793.26020203857
2016-08,Buy Put,156671.74025750085
2016-08,Buy Put,122688.12299886277
2016-08,Buy Put,147157.85015000548
2016-08,Buy Put,163105.80407959918
2016-08,Buy Put,178285.8124787694
2016-08,Buy Put,194160.45507997737
2016-08,Buy Put,333478.3364553999
2016-08,Buy Put,316984.67071912263
2016-09,Buy Put,333583.4032201426
2016-09,Buy Put,340597.2505437873
2016-09,Buy Put,364934.0752872412
2016-09,Buy Put,388859.2280097072
2016-09,Buy Put,412652.9471032256
2016-09,Buy Put,436689.3811343928
2016-09,Buy Put,500451.9535631005
2016-09,Buy Put,462812.7998194138
2016-09,Buy Put,478039.1436182718
2016-09,Buy Put,475257.0582283973
2016-09,Buy Put,472471.6667527424
2016-09,Buy Put,469697.8483604326
2016-09,Buy Put,501744.9113981449
2016-09,Buy Put,481012.4980497648
2016-09,Buy Put,404782.2065911184
2016-09,Buy Put,491306.92388673936
2016-09,Buy Put,488687.5163383486
2016-09,Buy Put,486069.223119987
2016-09,Buy Put,483427.34804666776
2016-09,Buy Put,460924.600067532
2016-09,Buy Put,414206.64109145734
2016-09,Buy Put,345555.862873141
2016-09,Buy Put,343026.0601241315
2016-09,Buy Put,300034.3527340412
2016-09,Buy Put,256026.6612850519
2016-09,Buy Put,211067.37730589486
2016-09,Buy Put,236248.9088344759
2016-09,Buy Put,145751.40444397405
2016-09,Buy Put,202652.4245932997
2016-09,Buy Put,265565.17923912895
2016-10,Buy Put,255364.83294343526
2016-10,Buy Put,245102.61289738366
2016-10,Buy Put,234897.70870246217
2016-10,Buy Put,295125.46930419956
2016-10,Buy Put,353987.2571646754
2016-10,Buy Put,53643.03686316063
2016-10,Buy Call,276000.02294262184
2016-10,Buy Call,246771.76992715744
2016-10,Buy Call,217104.37167286756
2016-10,Buy Call,187005.1841371634
2016-10,Buy Put,26354.463113907655
2016-10,Buy Put,142964.5997494333
2016-10,Buy Put,131519.66725646248
2016-10,Buy Call,58629.97361379385
2016-10,Buy Call,64211.71594229947
2016-10,Buy Call,69777.37703627796
2016-10,Buy Call,75330.97680608592
2016-10,Buy Put,22977.999384934832
2016-10,Buy Put,141444.58977670738
2016-10,Buy Put,208040.8244748675
2016-10,Buy Put,276642.715975445
2016-10,Buy Put,273925.85080811573
2016-10,Buy Put,271204.96500462823
2016-10,Buy Put,268479.98516948835
2016-10,Buy Put,378645.91288261453
2016-10,Buy Put,365463.26499860984
2016-10,Buy Put,370737.8867157054
2016-10,Buy Put,358639.5795873969
2016-10,Buy Put,359846.2164284122
2016-10,Buy Put,361051.8119034047
2016-10,Buy Put,362256.35208176856
2016-11,Buy Put,357213.25020799454
2016-11,Buy Put,352129.124836555
2016-11,Buy Put,359524.5349487541
2016-11,Buy Put,362863.93921804463
2016-11,Buy Put,370623.9398349602
2016-11,Buy Put,378340.0030494377
2016-11,Buy Put,386014.4372302479
2016-11,Buy Put,375651.7270394397
2016-11,Buy Put,372115.98438774375
2016-11,Buy Put,363368.1741877766
2016-11,Buy Put,337408.143637937
2016-11,Buy Put,347888.9011887816
2016-11,Buy Put,358302.28800736566
2016-11,Buy Put,368639.73844711494
2016-11,Buy Put,402301.88579052495
2016-11,Buy Put,477634.82158585545
2016-11,Buy Put,548840.1244340473
2016-11,Buy Put,536681.3166245805
2016-11,Buy Put,527787.593284554
2016-11,Buy Put,518932.19156442425
2016-11,Buy Put,510167.96243299113
2016-11,Buy Put,483091.28207317897
2016-11,Buy Put,480149.5516190855
