Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,26488.56852826853
2016-01,Buy Call,273810.5516237752
2016-01,Buy Put,279068.6915694494
2016-01,Buy Call,201136.5917885719
2016-01,Buy Call,431884.82502572256
2016-01,Buy Call,212592.98576915954
2016-01,Buy Call,42965.916596209296
2016-01,Buy Put,56884.552711565564
2016-01,Buy Put,78120.06863867183
2016-01,Buy Put,218022.58868467915
2016-01,Buy Put,78189.38824581778
2016-01,Buy Put,188553.71178759128
2016-01,Buy Put,140665.06990733175
2016-01,Buy Put,103747.30422422828
2016-01,Buy Put,86921.15273420597
2016-01,Buy Put,431626.1872128031
2016-01,Buy Put,507422.10436310485
2016-01,Buy Call,427567.06708354387
2016-01,Buy Call,504643.48928667133
2016-01,Buy Call,269220.0683036923
2016-01,Buy Call,55243.591104691346
2016-02,Buy Put,63755.450661521
2016-02,Buy Put,77567.31365050485
2016-02,Buy Call,27949.660899874827
2016-02,Buy Call,390533.4560108322
2016-02,Buy Call,282135.40572937747
2016-02,Buy Call,104006.08214412798
2016-02,Buy Put,5676.321075259949
2016-02,Buy Put,43699.864535614804
2016-02,Buy Put,20712.23131144251
2016-02,Buy Call,501583.793106029
2016-02,Buy Call,390404.840389035
2016-02,Buy Put,38418.32329798578
2016-02,Buy Call,128.87037987496797
2016-02,Buy Call,74394.31427186349
2016-02,Buy Call,139367.29670637505
2016-02,Buy Call,157981.24588432926
2016-02,Buy Call,346733.424615838
2016-02,Buy Call,219602.78818561108
2016-02,Buy Call,533391.386610802
2016-02,Buy Call,486907.6208397729
2016-02,Buy Call,431335.5615706236
2016-02,Buy Call,385492.5617131464
2016-02,Buy Put,258942.50325829306
2016-02,Buy Put,131161.92435668595
2016-02,Buy Put,173873.3332508602
2016-02,Buy Put,549408.639251709
2016-02,Buy Put,392666.63538695214
2016-02,Buy Put,242089.60164311933
2016-02,Buy Put,138979.24464952282
2016-03,Buy Call,138879.05388842014
2016-03,Buy Call,345891.8171165415
2016-03,Buy Call,538163.1553734962
2016-03,Buy Call,516846.3315510543
2016-03,Buy Call,261100.01417447394
2016-03,Buy Call,82319.70727391058
2016-03,Buy Put,5582.788166364594
2016-03,Buy Put,235070.21179820242
2016-03,Buy Put,335323.9750923294
2016-03,Buy Put,90572.265116176
2016-03,Buy Call,121028.8171462679
2016-03,Buy Call,110849.66070593438
2016-03,Buy Call,77485.08366062623
2016-03,Buy Call,54380.84431690982
2016-03,Buy Call,152773.90448900263
2016-03,Buy Put,146427.1475770076
2016-03,Buy Put,262334.51954875875
2016-03,Buy Call,354113.6797026816
2016-03,Buy Call,104655.21882812468
2016-03,Buy Put,98765.28835786402
2016-03,Buy Put,206526.93612852247
2016-03,Buy Put,280113.53803412576
2016-03,Buy Put,413788.9215239099
2016-03,Buy Put,101309.74252780333
2016-03,Buy Put,162156.05070025063
2016-03,Buy Put,221263.83686635265
2016-03,Buy Put,257009.00397452386
2016-03,Buy Put,264168.331588376
2016-03,Buy Put,22510.59033817526
2016-03,Buy Call,823056.8536925169
2016-03,Buy Call,715957.6917863432
2016-04,Buy Call,167346.94873759538
2016-04,Buy Put,204892.276549959
2016-04,Buy Put,329900.0228980802
2016-04,Buy Put,347786.8253556977
2016-04,Buy Put,141252.47909430173
2016-04,Buy Call,159484.28097445698
2016-04,Buy Call,530996.369657533
2016-04,Buy Call,226974.41519167682
2016-04,Buy Call,151117.5076180642
2016-04,Buy Call,114738.81084403815
2016-04,Buy Call,112189.37142030682
2016-04,Buy Call,198733.5463196871
2016-04,Buy Put,74018.45998944978
2016-04,Buy Put,706667.8062249068
2016-04,Buy Put,909973.0245290854
2016-04,Buy Put,556723.240124679
2016-04,Buy Put,227293.64071827263
2016-04,Buy Put,50942.68731476603
2016-04,Buy Put,367818.3397672612
2016-04,Buy Put,825199.1763370192
2016-04,Buy Put,809493.1664391023
2016-04,Buy Put,710818.7437979261
2016-04,Buy Put,387585.19015106786
2016-04,Buy Put,194887.29677206252
2016-04,Buy Put,145311.08593178744
2016-04,Buy Put,411815.41403231845
2016-04,Buy Put,365044.71133165597
2016-04,Buy Put,692130.8984352379
2016-04,Buy Put,698361.2442344978
2016-04,Buy Put,611900.7029623127
2016-05,Buy Put,553598.5976906411
2016-05,Buy Put,538085.5034188485
2016-05,Buy Put,263864.8589761843
2016-05,Buy Put,43108.26430421599
2016-05,Buy Put,350959.4885782086
2016-05,Buy Put,180029.05614537923
2016-05,Buy Put,250745.98016872685
2016-05,Buy Put,290133.1246085874
2016-05,Buy Put,300181.52861104853
2016-05,Buy Put,399243.4625047601
2016-05,Buy Call,55372.35865840629
2016-05,Buy Put,140184.4164164352
2016-05,Buy Put,759707.9704455875
2016-05,Buy Put,634845.2288804012
2016-05,Buy Put,494932.8966342037
2016-05,Buy Put,387257.61901913816
2016-05,Buy Call,270383.8846562583
2016-05,Buy Put,267565.4997331698
2016-05,Buy Put,800799.2100977699
2016-05,Buy Put,696201.6170302263
2016-05,Buy Put,574560.6885406396
2016-05,Buy Put,465678.3869178973
2016-05,Buy Put,401702.6965599939
2016-05,Buy Put,956256.7371910901
2016-05,Buy Call,521206.61297194107
2016-05,Buy Call,661296.7504435794
2016-05,Buy Call,378729.87249522796
2016-05,Buy Put,200843.23413185956
2016-05,Buy Put,494689.4143972145
2016-05,Buy Put,603649.4620197921
2016-05,Buy Put,605641.2186413347
2016-06,Buy Put,396982.5560437208
2016-06,Buy Call,1502.2874495222993
2016-06,Buy Put,831158.5586235619
2016-06,Buy Put,762439.3237116252
2016-06,Buy Put,683519.0720621825
2016-06,Buy Put,618245.573365499
2016-06,Buy Call,68419.954387128
2016-06,Buy Call,432012.8867546167
2016-06,Buy Put,247614.78077801867
2016-06,Buy Call,117844.71101701044
2016-06,Buy Put,3670.810278151748
2016-06,Buy Put,52079.76367373845
2016-06,Buy Put,37584.56694344403
2016-06,Buy Put,138980.53056012216
2016-06,Buy Call,25375.730237701788
2016-06,Buy Put,248789.20924066962
2016-06,Buy Put,489848.9557860266
2016-06,Buy Put,389518.4005463506
2016-06,Buy Put,295546.8511261046
2016-06,Buy Put,230864.32036017257
2016-06,Buy Put,409152.4889003502
2016-06,Buy Put,154511.55195321675
2016-06,Buy Put,154364.4212425299
2016-06,Buy Put,237609.59783471236
2016-06,Buy Put,178224.5321949958
2016-06,Buy Put,140238.83023559235
2016-06,Buy Put,121715.44647462796
2016-06,Buy Put,452765.605464144
2016-06,Buy Call,259161.79290781115
2016-06,Buy Call,222191.32227800388
2016-07,Buy Put,208.63136786175573
2016-07,Buy Put,139678.99461346888
2016-07,Buy Put,204957.21556403267
2016-07,Buy Put,218934.60004715947
2016-07,Buy Put,189897.2164233612
2016-07,Buy Put,506005.3013926336
2016-07,Buy Put,337748.5838062348
2016-07,Buy Put,423055.10125398624
2016-07,Buy Put,207647.5650964973
2016-07,Buy Put,66380.47726532648
2016-07,Buy Put,8028.143864880377
2016-07,Buy Put,75768.04164508388
2016-07,Buy Put,234362.34645973996
2016-07,Buy Put,259006.49434584368
2016-07,Buy Put,502954.59593379375
2016-07,Buy Put,414359.19632107596
2016-07,Buy Put,335261.10257909633
2016-07,Buy Put,290656.7121841412
2016-07,Buy Put,367406.19926289853
2016-07,Buy Put,440992.6439907821
2016-07,Buy Put,222682.86690007953
2016-07,Buy Put,5440.236324044889
2016-07,Buy Call,193057.73888769906
2016-07,Buy Call,277548.35720915237
2016-07,Buy Call,301758.9766626507
2016-07,Buy Call,709128.6611734837
