Month,Arbitrage Type,Gain
2016-01,Buy Call,5054.085601358338
2016-01,Buy Call,5863.622413503577
2016-01,Buy Call,6672.727418528979
2016-01,Buy Call,7481.399558148638
2016-01,Buy Put,19277.580731106525
2016-01,Buy Put,107320.6684277217
2016-01,Buy Put,78077.47618497984
2016-01,Buy Put,76745.01825128743
2016-01,Buy Put,92442.81027626756
2016-01,Buy Put,107915.64717240121
2016-01,Buy Put,123164.02524207249
2016-01,Buy Put,109140.9217212913
2016-01,Buy Put,129006.48370726132
2016-01,Buy Put,198697.89557483842
2016-01,Buy Put,224266.5280796423
2016-01,Buy Put,229191.86540108782
2016-01,Buy Put,234117.91328660314
2016-01,Buy Put,239038.8795395566
2016-01,Buy Put,243949.497009595
2016-01,Buy Put,270039.89292649424
2016-01,Buy Put,292228.2049880316
2016-01,Buy Put,302246.08100880525
2016-01,Buy Put,291991.33284972236
2016-01,Buy Put,281590.5992980774
2016-01,Buy Put,271028.58972276776
2016-01,Buy Put,274631.1662818783
2016-01,Buy Put,278193.3768745084
2016-01,Buy Put,295588.82009894913
2016-01,Buy Put,292845.99019614176
2016-01,Buy Put,298944.6397289317
2016-01,Buy Put,304997.2527336013
2016-02,Buy Put,311009.61722795974
2016-02,Buy Put,320529.2839439036
2016-02,Buy Put,386956.64947863587
2016-02,Buy Put,373726.6678726776
2016-02,Buy Put,351679.2369822266
2016-02,Buy Put,348104.0013765888
2016-02,Buy Put,344523.8819284491
2016-02,Buy Put,340938.9080766143
2016-02,Buy Put,343072.73450848187
2016-02,Buy Put,337546.753303938
2016-02,Buy Put,351856.31395975035
2016-02,Buy Put,311513.1968482903
2016-02,Buy Put,308722.71324682643
2016-02,Buy Put,305924.543369386
2016-02,Buy Put,303117.53321854695
2016-02,Buy Put,300301.4109231685
2016-02,Buy Put,301696.7568381208
2016-02,Buy Put,303516.127033479
2016-02,Buy Put,288334.6108977918
2016-02,Buy Put,281566.2446094436
2016-02,Buy Put,274729.7394853483
2016-02,Buy Put,267823.730030603
2016-02,Buy Put,263209.5575322673
2016-02,Buy Put,291867.69117056776
2016-02,Buy Put,285074.9584185426
2016-02,Buy Put,266883.9772242535
2016-02,Buy Put,268254.0599606291
2016-02,Buy Put,269621.4236610537
2016-02,Buy Put,270986.17026571505
2016-03,Buy Put,285792.54591557477
2016-03,Buy Put,279925.536789829
2016-03,Buy Put,343467.5773103617
2016-03,Buy Put,388486.42220513517
2016-03,Buy Put,378948.2255623984
2016-03,Buy Put,369336.31073490856
2016-03,Buy Put,359668.7055531742
2016-03,Buy Put,380021.0666748445
2016-03,Buy Put,402613.74002440675
2016-03,Buy Put,388140.1533226771
2016-03,Buy Put,359619.8139639153
2016-03,Buy Put,360620.1558477569
2016-03,Buy Put,361620.2052555355
2016-03,Buy Put,362620.03620987927
2016-03,Buy Put,356084.9527871941
2016-03,Buy Put,348675.51626176765
2016-03,Buy Put,377887.3323826293
2016-03,Buy Put,384440.6790394696
2016-03,Buy Put,380021.06662269594
2016-03,Buy Put,375585.1931587344
2016-03,Buy Put,371134.9210113557
2016-03,Buy Put,363550.5754439006
2016-03,Buy Put,354040.4153351808
2016-03,Buy Put,334972.0423849192
2016-03,Buy Put,329485.57849760365
2016-03,Buy Put,323982.4289410116
2016-03,Buy Put,318459.11433156714
2016-03,Buy Put,312911.7588490331
2016-03,Buy Put,355082.6239928124
2016-03,Buy Put,399992.6434956258
2016-03,Buy Put,424412.624017398
2016-04,Buy Put,379255.28081246006
2016-04,Buy Put,368877.238846002
2016-04,Buy Put,358435.47836528346
2016-04,Buy Put,347946.18269298284
2016-04,Buy Put,355023.60394955444
2016-04,Buy Put,400390.6348690407
2016-04,Buy Put,415072.18225561536
2016-04,Buy Put,401810.3107863844
2016-04,Buy Put,408659.0677686051
2016-04,Buy Put,415433.08725098707
2016-04,Buy Put,422125.3872765409
2016-04,Buy Put,417897.374073144
2016-04,Buy Put,377644.77856202563
2016-04,Buy Put,308255.58532950835
2016-04,Buy Put,323783.07576973777
2016-04,Buy Put,323733.09776554926
2016-04,Buy Put,323683.1745033602
2016-04,Buy Put,323633.4446784408
2016-04,Buy Put,281203.55552538
2016-04,Buy Put,285990.0270866689
2016-04,Buy Put,258912.5884161838
2016-04,Buy Put,298086.61460192985
2016-04,Buy Put,304507.3940772269
2016-04,Buy Put,310881.86361955473
2016-04,Buy Put,317217.54791463574
2016-04,Buy Put,290082.7104763515
2016-04,Buy Put,246531.9667698793
2016-04,Buy Put,279212.2826118906
2016-04,Buy Put,229502.69274496904
2016-04,Buy Put,234207.62360037983
2016-05,Buy Put,238908.01457893217
2016-05,Buy Put,243598.9765216995
2016-05,Buy Put,282698.2952542743
2016-05,Buy Put,313836.5282577151
2016-05,Buy Put,314921.19783878356
2016-05,Buy Put,309578.2093927042
2016-05,Buy Put,311539.9747102696
2016-05,Buy Put,313498.231890188
2016-05,Buy Put,315453.0313393753
2016-05,Buy Put,364089.05047691497
2016-05,Buy Put,369759.15399697714
2016-05,Buy Put,348281.3090223598
2016-05,Buy Put,332840.7915134779
2016-05,Buy Put,338120.6935766041
2016-05,Buy Put,343388.7096735368
2016-05,Buy Put,348645.93112170184
2016-05,Buy Put,338041.7435100309
2016-05,Buy Put,318709.38299241656
2016-05,Buy Put,346339.04116700974
2016-05,Buy Put,362492.6501680168
2016-05,Buy Put,351721.7822895482
2016-05,Buy Put,340905.80914822157
2016-05,Buy Put,330041.972590811
2016-05,Buy Put,352978.08993750124
2016-05,Buy Put,383610.2412605662
2016-05,Buy Put,400286.5018432349
2016-05,Buy Put,410761.0380076761
2016-05,Buy Put,412444.2540508735
2016-05,Buy Put,414122.72924702265
2016-05,Buy Put,415796.05278088397
2016-05,Buy Put,417464.496240914
2016-06,Buy Put,432014.62202898
2016-06,Buy Put,438395.36558950343
2016-06,Buy Put,418081.4845826912
2016-06,Buy Put,423730.3224067244
2016-06,Buy Put,429314.6349528119
2016-06,Buy Put,434831.01711449557
2016-06,Buy Put,429953.10885215155
2016-06,Buy Put,393700.69375980063
2016-06,Buy Put,399072.7135947747
2016-06,Buy Put,414701.90717644506
2016-06,Buy Put,416966.4892016005
2016-06,Buy Put,419221.7584384004
2016-06,Buy Put,421467.36119127047
2016-06,Buy Put,432506.23309018364
2016-06,Buy Put,444458.16718024213
2016-06,Buy Put,444787.3090427183
2016-06,Buy Put,471944.7263671217
2016-06,Buy Put,478761.4238372271
2016-06,Buy Put,485307.74730777007
2016-06,Buy Put,491551.78180071956
2016-06,Buy Put,504145.92884211906
2016-06,Buy Put,510098.7860798689
2016-06,Buy Put,517436.81530294695
2016-06,Buy Put,506829.0150411485
2016-06,Buy Put,505472.7646896779
2016-06,Buy Put,504097.6148027951
2016-06,Buy Put,502701.82162616093
2016-06,Buy Put,532328.1968877289
2016-06,Buy Put,528923.0264451898
2016-06,Buy Put,536332.8677140053
2016-07,Buy Put,528085.3805825405
2016-07,Buy Put,526794.1883443097
2016-07,Buy Put,525528.662193576
2016-07,Buy Put,524291.5101011079
2016-07,Buy Put,523083.35389786185
2016-07,Buy Put,524319.8057857387
2016-07,Buy Put,544406.3875364815
2016-07,Buy Put,583615.0594128568
2016-07,Buy Put,591008.3052060475
2016-07,Buy Put,598133.8805483851
2016-07,Buy Put,604995.445950589
2016-07,Buy Put,593098.6206574165
2016-07,Buy Put,604485.1563542188
2016-07,Buy Put,607706.8197953146
2016-07,Buy Put,600088.316232128
2016-07,Buy Put,597637.4606105672
2016-07,Buy Put,595154.5823304869
2016-07,Buy Put,592637.5689091863
2016-07,Buy Put,581397.454603227
2016-07,Buy Put,620775.7346707971
2016-07,Buy Put,609347.9202583384
2016-07,Buy Put,602588.7041944813
2016-07,Buy Put,585546.3453910357
2016-07,Buy Put,567751.7905198162
2016-07,Buy Put,551964.536771278
2016-07,Buy Put,550887.8285754229
2016-07,Buy Put,556093.2419989033
2016-07,Buy Put,563359.032399564
2016-07,Buy Put,583159.22682986
2016-07,Buy Put,538573.7004761726
2016-07,Buy Put,507539.3780067614
2016-08,Buy Put,474690.1279755562
2016-08,Buy Put,413375.90842287673
2016-08,Buy Put,467912.54501412285
2016-08,Buy Put,478977.71215625264
2016-08,Buy Put,480790.87173097965
2016-08,Buy Put,479576.59473617654
2016-08,Buy Put,478353.3655515804
2016-08,Buy Put,477121.1535338207
2016-08,Buy Put,489788.6155198883
2016-08,Buy Put,483148.6849096844
2016-08,Buy Put,499003.0844690203
2016-08,Buy Put,493449.83581178426
2016-08,Buy Put,495046.35419786605
2016-08,Buy Put,496617.9830117472
2016-08,Buy Put,498164.4597043715
2016-08,Buy Put,505579.6618337389
2016-08,Buy Put,507068.8252729898
2016-08,Buy Put,515012.3471475325
2016-08,Buy Put,531691.8111358237
2016-08,Buy Put,531788.8381800717
2016-08,Buy Put,531886.4826411466
2016-08,Buy Put,531984.1831881753
2016-08,Buy Put,534088.2028723897
2016-08,Buy Put,532108.3451466695
2016-08,Buy Put,525592.9949237892
2016-08,Buy Put,508040.4346245757
2016-08,Buy Put,499992.94693098404
2016-08,Buy Put,491148.8709864145
2016-08,Buy Put,481600.7390313235
2016-08,Buy Put,462584.04500866315
2016-08,Buy Put,456724.83540935715
2016-09,Buy Put,446454.03666765307
2016-09,Buy Put,452338.70445694536
2016-09,Buy Put,457418.5268483682
2016-09,Buy Put,462408.76012633333
2016-09,Buy Put,467302.79479298886
2016-09,Buy Put,472093.7403382965
2016-09,Buy Put,477820.73006049683
2016-09,Buy Put,490094.9582592844
2016-09,Buy Put,479015.04515041003
2016-09,Buy Put,478083.34977637656
2016-09,Buy Put,477146.59380388726
2016-09,Buy Put,476204.8422747167
2016-09,Buy Put,481296.30055404606
2016-09,Buy Put,491873.9157222305
2016-09,Buy Put,510760.9659131711
2016-09,Buy Put,517741.8046648832
2016-09,Buy Put,518864.47604136873
2016-09,Buy Put,520007.76740493573
2016-09,Buy Put,521174.9939173078
2016-09,Buy Put,528071.2295372539
2016-09,Buy Put,539277.9519962367
2016-09,Buy Put,523472.4706531537
2016-09,Buy Put,497014.0617413605
2016-09,Buy Put,499273.13937551074
2016-09,Buy Put,501521.9080411128
2016-09,Buy Put,503675.7411860897
2016-09,Buy Put,503360.15337309625
2016-09,Buy Put,494942.3471646934
2016-09,Buy Put,499950.89127707714
2016-09,Buy Put,508745.14813210146
2016-10,Buy Put,508142.6867567771
2016-10,Buy Put,507537.106271716
2016-10,Buy Put,506928.34235455387
2016-10,Buy Put,500164.74424081633
2016-10,Buy Put,485382.68038021924
2016-10,Buy Put,438280.8427560416
2016-10,Buy Put,426100.5894770449
2016-10,Buy Put,437086.89803202107
2016-10,Buy Put,447781.36237016495
2016-10,Buy Put,458147.7871872508
2016-10,Buy Put,480418.44180943014
2016-10,Buy Put,512396.8711466276
2016-10,Buy Put,516465.8888473319
2016-10,Buy Put,517841.7325193951
2016-10,Buy Put,516242.3259304507
2016-10,Buy Put,514667.8784608394
2016-10,Buy Put,513106.2515247038
2016-10,Buy Put,510064.46077140846
2016-10,Buy Put,517250.3261726522
2016-10,Buy Put,529402.6561433149
2016-10,Buy Put,530114.8065870063
2016-10,Buy Put,532237.5950049843
2016-10,Buy Put,534377.3051273644
2016-10,Buy Put,536516.3354962643
2016-10,Buy Put,536076.6635119437
2016-10,Buy Put,528092.5242342959
2016-10,Buy Put,530534.7753596905
2016-10,Buy Put,528425.7606696343
2016-10,Buy Put,526297.8318292326
2016-10,Buy Put,524244.54688225273
2016-10,Buy Put,522269.2505011306
2016-11,Buy Put,520864.76244074473
2016-11,Buy Put,536113.1620060924
2016-11,Buy Put,526467.5800076262
2016-11,Buy Put,497338.25389090745
2016-11,Buy Put,468183.58414735785
2016-11,Buy Put,434306.5440743281
2016-11,Buy Put,397381.2118853708
2016-11,Buy Put,410462.5999953502
2016-11,Buy Put,416652.8529150924
2016-11,Buy Put,416265.02487783233
2016-11,Buy Put,404857.8149309225
2016-11,Buy Put,406647.0745317954
2016-11,Buy Put,408431.5255802302
2016-11,Buy Put,410210.45505218545
2016-11,Buy Put,407816.4618823425
2016-11,Buy Put,413403.67545732623
2016-11,Buy Put,400049.4613594601
2016-11,Buy Put,411245.7431888412
2016-11,Buy Put,412012.4749158638
2016-11,Buy Put,412778.1151605099
2016-11,Buy Put,413542.883400579
2016-11,Buy Put,424330.64946594357
2016-11,Buy Put,440739.38252112654
2016-11,Buy Put,447033.0346855214
2016-11,Buy Put,453213.31786416686
2016-11,Buy Put,452205.8476846791
2016-11,Buy Put,451195.3329008129
2016-11,Buy Put,450181.5185263958
2016-11,Buy Put,436736.58338157926
2016-11,Buy Put,447013.7372155687
2016-12,Buy Put,438483.5626262973
2016-12,Buy Put,432872.38382629136
2016-12,Buy Put,432089.1111594172
2016-12,Buy Put,431304.7075501455
2016-12,Buy Put,430518.6678572639
2016-12,Buy Put,430195.6338820503
2016-12,Buy Put,431002.9483887519
2016-12,Buy Put,425856.14886403177
2016-12,Buy Put,405751.4910630413
2016-12,Buy Put,405441.27156938
2016-12,Buy Put,405130.68494916207
2016-12,Buy Put,404820.1104744482
2016-12,Buy Put,388505.6019942841
2016-12,Buy Put,390704.2600004171
2016-12,Buy Put,404481.3427732503
2016-12,Buy Put,413895.4549429794
2016-12,Buy Put,416104.9047024754
2016-12,Buy Put,418305.3844060449
2016-12,Buy Put,420497.03575128736
2016-12,Buy Put,415756.8301312846
2016-12,Buy Put,395266.5196050393
2016-12,Buy Put,336744.9591787572
2016-12,Buy Put,357509.40004586696
2016-12,Buy Put,348759.173225007
2016-12,Buy Put,339980.17806776916
2016-12,Buy Put,331168.844338821
2016-12,Buy Put,322316.65687030467
2016-12,Buy Put,304622.32905082766
2016-12,Buy Put,310667.14105484117
2016-12,Buy Put,307164.0696601676
2016-12,Buy Put,309383.8637215338
2017-01,Buy Put,311598.7570952985
2017-01,Buy Put,313808.9729709712
2017-01,Buy Put,316014.62332703
2017-01,Buy Put,325994.6330843917
2017-01,Buy Put,332176.18153070204
2017-01,Buy Put,363051.0643272959
2017-01,Buy Put,359956.4481041781
2017-01,Buy Put,356857.70167301636
2017-01,Buy Put,353755.21352322894
2017-01,Buy Put,312358.5126743276
2017-01,Buy Put,334129.766862862
2017-01,Buy Put,310888.75090570236
2017-01,Buy Put,307002.25201817945
2017-01,Buy Put,309996.6802979868
2017-01,Buy Put,312982.12773625524
2017-01,Buy Put,315959.43134278135
2017-01,Buy Put,318929.48792160605
2017-01,Buy Put,293164.9101654816
2017-01,Buy Put,288738.2031894141
2017-01,Buy Put,278161.87609816366
2017-01,Buy Put,278680.35845394345
2017-01,Buy Put,279198.21606048243
2017-01,Buy Put,279715.8209784172
2017-01,Buy Put,272334.0365776998
2017-01,Buy Put,272217.55191467167
2017-01,Buy Put,255298.4972925074
2017-01,Buy Put,272429.45024396194
2017-01,Buy Put,271743.5408922171
2017-01,Buy Put,271056.9431957168
2017-01,Buy Put,270369.6878668076
2017-01,Buy Put,275180.3524080536
2017-02,Buy Put,268698.1823169319
2017-02,Buy Put,286488.59989109
2017-02,Buy Put,294367.5595846198
2017-02,Buy Put,294716.59939451376
2017-02,Buy Put,295065.6400100371
2017-02,Buy Put,295414.5234147649
