Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Call,149317.0036480045
2016-01,Buy Call,3247.480614675169
2016-01,Buy Call,80020.51174318226
2016-01,Buy Call,382429.4506325536
2016-01,Buy Call,396551.6550558341
2016-01,Buy Call,302211.7231510411
2016-01,Buy Call,207473.57367936915
2016-01,Buy Call,131020.98054235612
2016-01,Buy Call,75400.07429585316
2016-01,Buy Call,162380.35135161865
2016-01,Buy Call,209308.11403251326
2016-01,Buy Call,177897.50500766744
2016-01,Buy Call,32142.925281178235
2016-01,Buy Put,71078.88811978925
2016-01,Buy Put,136331.78497594755
2016-01,Buy Put,97592.15919422459
2016-01,Buy Put,52849.66670272695
2016-01,Buy Call,76245.64898884855
2016-01,Buy Call,40624.11279045719
2016-01,Buy Call,61670.23991048026
2016-01,Buy Call,66442.82931524259
2016-02,Buy Call,65578.2052779763
2016-02,Buy Call,81401.7755934877
2016-02,Buy Call,415543.290234643
2016-02,Buy Call,204953.46744153055
2016-02,Buy Put,45110.459056171945
2016-02,Buy Put,99172.37137145917
2016-02,Buy Put,118888.16429669902
2016-02,Buy Put,114310.1169034928
2016-02,Buy Put,62438.86633213691
2016-02,Buy Put,71489.68655451782
2016-02,Buy Call,43581.18027109015
2016-02,Buy Put,208875.0629158369
2016-02,Buy Put,165868.3853981806
2016-02,Buy Put,132282.4875731321
2016-02,Buy Put,94896.71546864642
2016-02,Buy Put,69020.75905117755
2016-02,Buy Put,21051.440434764147
2016-02,Buy Call,6827.277111426611
2016-02,Buy Put,87119.17041328477
2016-02,Buy Put,103611.46052134274
2016-02,Buy Put,112249.51133027261
2016-02,Buy Put,116496.38375977389
2016-02,Buy Put,100138.11235876702
2016-02,Buy Call,112823.14499095491
2016-02,Buy Call,48203.29087127817
2016-02,Buy Put,79344.12280364356
2016-02,Buy Put,59567.786750971405
2016-02,Buy Put,41281.27265747495
2016-02,Buy Put,26677.446458052145
2016-03,Buy Call,67323.62210297538
2016-03,Buy Call,7190.212910991533
2016-03,Buy Call,365209.49882404355
2016-03,Buy Call,482718.59522933804
2016-03,Buy Call,277397.5276049399
2016-03,Buy Call,77182.18219592288
2016-03,Buy Put,73720.46792397313
2016-03,Buy Call,40982.57571562059
2016-03,Buy Call,158017.01791796673
2016-03,Buy Put,7191.057740943307
2016-03,Buy Put,200547.14134217377
2016-03,Buy Put,152778.75925452024
2016-03,Buy Put,107565.0823059462
2016-03,Buy Put,50658.73903781437
2016-03,Buy Put,66162.40401351448
2016-03,Buy Put,86417.01663488633
2016-03,Buy Call,124676.25884856659
2016-03,Buy Call,127245.07304195853
2016-03,Buy Call,43011.26089463026
2016-03,Buy Put,28818.21906071025
2016-03,Buy Put,73550.47707164886
2016-03,Buy Put,119964.20128937047
2016-03,Buy Put,142854.81071859607
2016-03,Buy Put,205938.4692632662
2016-03,Buy Put,168943.20294877473
2016-03,Buy Put,134054.82953794135
2016-03,Buy Put,104479.46271082741
2016-03,Buy Put,86180.81248621579
2016-03,Buy Call,217691.067295668
2016-03,Buy Call,410827.63889697735
2016-03,Buy Call,415810.29856497765
2016-04,Buy Put,34874.760130200855
2016-04,Buy Put,146592.56721884618
2016-04,Buy Put,198535.26856888947
2016-04,Buy Put,194223.7270723446
2016-04,Buy Put,79412.65091919902
2016-04,Buy Call,246725.16169934865
2016-04,Buy Call,270939.97409502533
2016-04,Buy Call,87989.29768565245
2016-04,Buy Call,64606.103215012925
2016-04,Buy Call,43537.7414271727
2016-04,Buy Call,43493.87327958709
2016-04,Buy Put,20430.66914970737
2016-04,Buy Put,275161.3567439826
2016-04,Buy Put,516098.7290218575
2016-04,Buy Put,298783.63111556537
2016-04,Buy Put,156680.71574276965
2016-04,Buy Put,41295.356294945406
2016-04,Buy Call,32157.147180136293
2016-04,Buy Put,193652.91303566677
2016-04,Buy Put,98730.19111477178
2016-04,Buy Put,207209.19355202484
2016-04,Buy Call,91230.68619517838
2016-04,Buy Call,121419.81728669294
2016-04,Buy Call,127959.55508964951
2016-04,Buy Call,129690.22886295179
2016-04,Buy Put,102058.25243647481
2016-04,Buy Put,311639.0798758033
2016-04,Buy Put,71853.08303827753
2016-04,Buy Put,291936.0386892329
2016-04,Buy Put,172385.62586528872
2016-05,Buy Put,65613.38356203806
2016-05,Buy Call,15559.511694146266
2016-05,Buy Call,254393.02822151434
2016-05,Buy Call,354100.2301239598
2016-05,Buy Call,243450.69220097316
2016-05,Buy Call,101892.205471799
2016-05,Buy Call,33471.93777593205
2016-05,Buy Put,7715.567928055833
2016-05,Buy Put,31561.414828630062
2016-05,Buy Call,263764.7845389317
2016-05,Buy Call,210448.81815585014
2016-05,Buy Put,21352.041436276893
2016-05,Buy Put,140904.94133494148
2016-05,Buy Put,96396.06589091443
2016-05,Buy Put,49762.224187439584
2016-05,Buy Call,5048.519637067983
2016-05,Buy Put,61758.48538716266
2016-05,Buy Put,161612.32604900634
2016-05,Buy Call,52541.96130508504
2016-05,Buy Call,141720.14331249017
2016-05,Buy Call,20271.04040475791
2016-05,Buy Put,71726.08856075513
2016-05,Buy Put,133107.99865266177
2016-05,Buy Call,37120.99224639687
2016-05,Buy Call,213686.62296909236
2016-05,Buy Call,249278.48447928368
2016-05,Buy Call,213783.06056546848
2016-05,Buy Call,119123.02399583651
2016-05,Buy Call,39010.83980540676
2016-05,Buy Put,6893.737434157998
2016-05,Buy Put,15765.81885908368
2016-06,Buy Call,72911.80170641454
2016-06,Buy Call,74344.92583576357
2016-06,Buy Put,113787.17442149266
2016-06,Buy Put,63929.56888208445
2016-06,Buy Put,18770.50036672401
2016-06,Buy Call,23542.68209117194
2016-06,Buy Put,28227.017464601544
2016-06,Buy Put,256524.77561514077
2016-06,Buy Put,160272.00593770275
2016-06,Buy Put,814.0571132244645
2016-06,Buy Call,36906.919564689386
2016-06,Buy Call,47837.96458090706
2016-06,Buy Call,31520.339350599614
2016-06,Buy Call,72067.5655967149
2016-06,Buy Call,112185.3837300506
2016-06,Buy Call,52802.88211058704
2016-06,Buy Call,207767.89718853906
2016-06,Buy Call,164472.09670302953
2016-06,Buy Call,130509.19269181449
2016-06,Buy Call,108876.5628779953
2016-06,Buy Call,162620.47562471338
2016-06,Buy Call,145712.524848868
2016-06,Buy Call,150328.03769925705
2016-06,Buy Put,46139.233001518674
2016-06,Buy Put,67401.8087556938
2016-06,Buy Put,68262.53271843541
2016-06,Buy Put,71344.00500859428
2016-06,Buy Call,244386.56744580457
2016-06,Buy Call,120670.89946436482
2016-06,Buy Call,108868.23477732931
2016-07,Buy Put,32751.42011062826
2016-07,Buy Put,58027.310226627545
2016-07,Buy Put,54416.46215584939
2016-07,Buy Put,58195.22108638253
2016-07,Buy Put,57078.34726540284
2016-07,Buy Put,35549.27556323406
2016-07,Buy Call,145218.06138786886
2016-07,Buy Call,319360.4461007311
2016-07,Buy Call,224419.68099871092
2016-07,Buy Call,170099.38627369082
2016-07,Buy Call,129925.18382508322
2016-07,Buy Put,9900.006903908576
2016-07,Buy Call,52006.61411646834
2016-07,Buy Call,37171.71108326056
2016-07,Buy Put,42328.46234912913
2016-07,Buy Put,54262.72634100116
2016-07,Buy Put,65183.561515169684
2016-07,Buy Put,62797.11268837573
2016-07,Buy Put,107814.6790647807
2016-07,Buy Call,173940.4661069237
2016-07,Buy Call,24303.356816620435
2016-07,Buy Put,51230.01840393826
2016-07,Buy Put,145888.62612510312
2016-07,Buy Put,199060.6846750005
2016-07,Buy Put,209429.87271374845
