Month,Arbitrage Type,Gain
2016-01,Buy Call,66823.31539316522
2016-01,Buy Call,99253.39512075482
2016-01,Buy Call,131460.38503491296
2016-01,Buy Call,163446.1110242711
2016-01,Buy Put,135692.1315137072
2016-01,Buy Put,146616.40714651014
2016-01,Buy Put,271405.45677281125
2016-01,Buy Put,391978.5921918191
2016-01,Buy Put,362316.4169706996
2016-01,Buy Put,332460.348702476
2016-01,Buy Put,302409.10171902156
2016-01,Buy Put,330545.6257429356
2016-01,Buy Put,729035.6608193562
2016-01,Buy Put,879620.6401799367
2016-01,Buy Put,936213.4368235501
2016-01,Buy Put,951911.8051620126
2016-01,Buy Put,967549.1984318611
2016-01,Buy Put,983125.9088254498
2016-01,Buy Put,998642.1641690626
2016-01,Buy Put,1207297.2675034706
2016-01,Buy Put,1223429.7756075633
2016-01,Buy Put,1186564.6985918374
2016-01,Buy Put,1170940.3753782795
2016-01,Buy Put,1155252.380097366
2016-01,Buy Put,1139500.2867489196
2016-01,Buy Put,1084391.6445564758
2016-01,Buy Put,1094079.4424474945
2016-01,Buy Put,1043089.6549407081
2016-01,Buy Put,1086571.4314331142
2016-01,Buy Put,1123508.878795903
2016-01,Buy Put,1160098.3923884486
2016-02,Buy Put,1196343.9583621067
2016-02,Buy Put,1503587.4048048968
2016-02,Buy Put,1684172.1590115314
2016-02,Buy Put,1719734.4852722837
2016-02,Buy Put,1734511.7834697063
2016-02,Buy Put,1754676.928782203
2016-02,Buy Put,1774712.6112532853
2016-02,Buy Put,1794625.210004078
2016-02,Buy Put,1813817.0164890822
2016-02,Buy Put,1856714.0643868712
2016-02,Buy Put,1897129.3568846406
2016-02,Buy Put,1957778.613769328
2016-02,Buy Put,1953981.9637344137
2016-02,Buy Put,1950181.184421389
2016-02,Buy Put,1946376.2440575252
2016-02,Buy Put,1942567.1460692727
2016-02,Buy Put,1938211.4221633698
2016-02,Buy Put,1918125.3093168493
2016-02,Buy Put,1876157.5326695165
2016-02,Buy Put,1851098.7845164735
2016-02,Buy Put,1825858.8989163088
2016-02,Buy Put,1800432.6450585495
2016-02,Buy Put,1843675.6873790615
2016-02,Buy Put,1888307.955306061
2016-02,Buy Put,1751469.9166819768
2016-02,Buy Put,1746726.43579202
2016-02,Buy Put,1778363.7672741434
2016-02,Buy Put,1809696.7606573598
2016-02,Buy Put,1840743.1467843053
2016-03,Buy Put,1786879.1005385134
2016-03,Buy Put,1797876.3187208741
2016-03,Buy Put,1904828.7824478508
2016-03,Buy Put,1936105.427863474
2016-03,Buy Put,1915121.166662459
2016-03,Buy Put,1894010.5599525836
2016-03,Buy Put,1872772.3388926592
2016-03,Buy Put,1854132.9815127342
2016-03,Buy Put,1859331.0181492982
2016-03,Buy Put,1835270.0826512561
2016-03,Buy Put,1775235.371955567
2016-03,Buy Put,1767236.210670589
2016-03,Buy Put,1759217.0018231883
2016-03,Buy Put,1751177.341780469
2016-03,Buy Put,1691530.9549251774
2016-03,Buy Put,1707228.3029061097
2016-03,Buy Put,1827149.0809208045
2016-03,Buy Put,1778331.528047751
2016-03,Buy Put,1775461.246130966
2016-03,Buy Put,1772588.4146424206
2016-03,Buy Put,1769713.0363988904
2016-03,Buy Put,1761985.209376661
2016-03,Buy Put,1741016.73290496
2016-03,Buy Put,1669422.344719017
2016-03,Buy Put,1619490.3994522677
2016-03,Buy Put,1568535.157373475
2016-03,Buy Put,1516652.09649655
2016-03,Buy Put,1464123.0997634481
2016-03,Buy Put,1074278.117569449
2016-03,Buy Put,1176622.327056755
2016-03,Buy Put,1079827.85693045
2016-04,Buy Put,984633.9994103843
2016-04,Buy Put,994183.239415122
2016-04,Buy Put,1003709.6509553933
2016-04,Buy Put,1013213.3594958219
2016-04,Buy Put,1212545.5294234157
2016-04,Buy Put,1329963.8682320777
2016-04,Buy Put,1306805.120172804
2016-04,Buy Put,1436134.670919742
2016-04,Buy Put,1449174.730977944
2016-04,Buy Put,1462601.4208855694
2016-04,Buy Put,1475632.0747251336
2016-04,Buy Put,1351617.2633518195
2016-04,Buy Put,954692.23679941
2016-04,Buy Put,884245.0452115358
