Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,249329.87810615258
2016-01,Buy Put,242685.5786581399
2016-01,Buy Call,1423532.4297815026
2016-01,Buy Call,1653078.9720435592
2016-01,Buy Call,1445536.2713623287
2016-01,Buy Call,1002818.3028774222
2016-01,Buy Call,558168.0792865313
2016-01,Buy Call,205476.323328881
2016-01,Buy Put,1526.2301990617289
2016-01,Buy Call,909312.2354622878
2016-01,Buy Call,650546.9418002861
2016-01,Buy Call,135082.94544044475
2016-01,Buy Put,144907.00584667592
2016-01,Buy Put,346183.0670210446
2016-01,Buy Put,448234.5731650952
2016-01,Buy Put,680485.9139678569
2016-01,Buy Put,512713.9339330284
2016-01,Buy Put,640899.1788261246
2016-01,Buy Put,271261.0344797355
2016-01,Buy Call,9834.610411203925
2016-01,Buy Call,188172.7879659536
2016-02,Buy Call,285500.01485403697
2016-02,Buy Call,1657537.670366736
2016-02,Buy Call,2000090.7963636224
2016-02,Buy Call,1582541.0765593944
2016-02,Buy Call,1008557.8733919505
2016-02,Buy Call,610350.117438756
2016-02,Buy Call,330321.6952668606
2016-02,Buy Call,141545.63001132203
2016-02,Buy Call,27297.27639535895
2016-02,Buy Call,165594.01720543575
2016-02,Buy Call,285194.75173476397
2016-02,Buy Call,527629.7508554392
2016-02,Buy Call,243276.68540739466
2016-02,Buy Put,9461.93839958198
2016-02,Buy Put,177780.02755267153
2016-02,Buy Put,261262.62369700725
2016-02,Buy Put,308968.19873436244
2016-02,Buy Put,426280.3445594017
2016-02,Buy Put,627434.265180483
2016-02,Buy Put,653792.0559835015
2016-02,Buy Put,650996.3814038002
2016-02,Buy Put,634442.4410027046
2016-02,Buy Put,211058.30742870067
2016-02,Buy Call,146858.21156921008
2016-02,Buy Put,761567.8330017062
2016-02,Buy Put,670891.7079429
2016-02,Buy Put,351499.69450361596
2016-02,Buy Put,53319.526735222666
2016-02,Buy Call,139782.28768779387
2016-03,Buy Put,316833.3448293197
2016-03,Buy Put,248382.01972397655
2016-03,Buy Call,458778.8759475302
2016-03,Buy Call,497960.7973092328
2016-03,Buy Call,107948.73092824276
2016-03,Buy Put,230936.1100413696
2016-03,Buy Put,421449.7072595407
2016-03,Buy Put,503426.6918758874
2016-03,Buy Put,401807.37159735715
2016-03,Buy Put,480724.7340063725
2016-03,Buy Put,740500.0954091605
2016-03,Buy Put,625595.6599619595
2016-03,Buy Put,509986.51798580855
2016-03,Buy Put,422519.86966779496
2016-03,Buy Put,671714.974792124
2016-03,Buy Put,437334.79982643074
2016-03,Buy Call,442015.6746703725
2016-03,Buy Put,18371.463670149526
2016-03,Buy Put,114688.5485969591
2016-03,Buy Put,221315.1256738257
2016-03,Buy Put,258043.06835370028
2016-03,Buy Put,311985.91252857
2016-03,Buy Put,424122.4442587708
2016-03,Buy Put,769010.714019565
2016-03,Buy Put,882847.8529754165
2016-03,Buy Put,929381.4657574941
2016-03,Buy Put,933454.5125916023
2016-03,Buy Put,932018.739341828
2016-03,Buy Put,2100547.8821409866
2016-03,Buy Put,1286794.3411575311
2016-03,Buy Put,1243163.9182416277
2016-04,Buy Put,1181314.0009461592
2016-04,Buy Put,693546.7710239607
2016-04,Buy Put,345983.544221923
2016-04,Buy Put,135302.6372722752
2016-04,Buy Call,990453.5316905552
2016-04,Buy Call,1305246.973011137
2016-04,Buy Call,757960.3902608127
2016-04,Buy Call,1034748.4523876674
2016-04,Buy Call,642214.9124801848
2016-04,Buy Call,335458.5150774767
2016-04,Buy Call,96719.14500886203
2016-04,Buy Put,758161.5521860173
2016-04,Buy Put,2105503.8526161523
2016-04,Buy Put,1935274.0090761955
2016-04,Buy Put,1835965.3218871087
2016-04,Buy Put,1554518.4222969296
2016-04,Buy Put,1277155.9068844952
2016-04,Buy Put,1067760.2821319709
2016-04,Buy Put,965392.3890650518
2016-04,Buy Put,1129695.037145609
2016-04,Buy Put,856299.5569142444
2016-04,Buy Put,370462.9409220459
2016-04,Buy Put,202013.96114772762
2016-04,Buy Put,69921.12248882165
2016-04,Buy Put,18706.94922131122
2016-04,Buy Put,460820.90240524564
2016-04,Buy Put,655632.5075734506
2016-04,Buy Put,1409375.070571997
2016-04,Buy Put,927087.4123091204
2016-04,Buy Put,459132.2276297518
2016-05,Buy Put,17550.080473725415
2016-05,Buy Call,338119.6759502814
2016-05,Buy Call,477075.0381483566
2016-05,Buy Call,1564328.5457271787
2016-05,Buy Call,2359260.6087160064
2016-05,Buy Call,1940958.1033114805
2016-05,Buy Call,1645765.5455228917
2016-05,Buy Call,1356150.1908831773
2016-05,Buy Call,1129171.3436440744
2016-05,Buy Call,782254.0992707374
2016-05,Buy Put,568975.1079551541
2016-05,Buy Call,111821.53607414592
2016-05,Buy Call,1490235.9183352587
2016-05,Buy Call,1129898.875492117
2016-05,Buy Call,753147.128929001
2016-05,Buy Call,343388.7202042314
2016-05,Buy Put,224667.70719442764
2016-05,Buy Call,77401.36941696107
2016-05,Buy Call,394760.04798109445
2016-05,Buy Put,872210.4948359047
2016-05,Buy Put,876191.776220935
2016-05,Buy Put,800400.7129447785
2016-05,Buy Put,673229.5948847167
2016-05,Buy Call,880056.2785505335
2016-05,Buy Call,1453614.5038688844
2016-05,Buy Call,1228880.4570243387
2016-05,Buy Call,768516.8367646611
2016-05,Buy Call,337763.4872333601
2016-05,Buy Call,65651.17722077218
2016-05,Buy Put,107107.22602233602
2016-05,Buy Put,192152.98510292202
2016-06,Buy Put,175897.63544432912
2016-06,Buy Put,997610.3040062938
2016-06,Buy Put,179600.8061867127
2016-06,Buy Call,162646.32837221882
2016-06,Buy Call,403400.8070716339
2016-06,Buy Call,508665.72654875595
2016-06,Buy Call,257704.66435153593
2016-06,Buy Put,58726.656011074854
2016-06,Buy Call,392523.91448231094
2016-06,Buy Call,3420.126602676987
2016-06,Buy Put,102851.97433906035
2016-06,Buy Put,187540.35416689873
2016-06,Buy Put,188989.63616446452
2016-06,Buy Put,25351.16828084938
2016-06,Buy Call,43193.87025100241
2016-06,Buy Call,115041.95939207307
2016-06,Buy Put,203228.29096645024
2016-06,Buy Put,305348.5305427301
2016-06,Buy Put,358024.4742556573
2016-06,Buy Put,379424.16793606523
2016-06,Buy Call,749553.5611059552
2016-06,Buy Call,607373.7287340605
2016-06,Buy Call,399961.10336385015
2016-06,Buy Call,312939.5543497253
2016-06,Buy Call,322913.65217665205
2016-06,Buy Call,328123.1673506824
2016-06,Buy Call,334844.96098408557
2016-06,Buy Call,475978.6122462373
2016-06,Buy Call,287398.4456204681
2016-06,Buy Call,100116.37592461398
2016-07,Buy Put,393734.29885317537
2016-07,Buy Put,411882.0311715581
2016-07,Buy Put,381488.4480828766
2016-07,Buy Put,320641.9793954467
2016-07,Buy Put,283684.4151656521
2016-07,Buy Call,469333.4934624005
2016-07,Buy Put,327977.47854193917
2016-07,Buy Call,883016.741107781
2016-07,Buy Call,545674.1690167206
2016-07,Buy Call,260227.38351701945
2016-07,Buy Put,26869.933086373974
2016-07,Buy Put,66092.85896490747
2016-07,Buy Put,362178.5114010407
2016-07,Buy Put,493277.34405785863
2016-07,Buy Put,279190.83242056787
2016-07,Buy Put,205798.18806658068
2016-07,Buy Put,166708.01210317164
2016-07,Buy Put,142212.65351434908
2016-07,Buy Put,29551.196169791183
2016-07,Buy Call,122870.68857045824
2016-07,Buy Call,376014.5873055336
2016-07,Buy Call,362925.9773653928
2016-07,Buy Call,131026.49180095227
2016-07,Buy Put,53330.96373183821
