Month,Arbitrage Type,Gain
2016-01,Buy Put,3233.833541774089
2016-01,Buy Put,6460.0529341909405
2016-01,Buy Put,9680.35553332669
2016-01,Buy Put,12892.942417476404
2016-01,Buy Call,4433.979362325146
2016-01,Buy Call,13661.74142858867
2016-01,Buy Put,32632.127430009205
2016-01,Buy Put,39265.28296307552
2016-01,Buy Put,14869.000297618839
2016-01,Buy Call,10649.452641882106
2016-01,Buy Call,36967.37908630254
2016-01,Buy Call,29139.40072794574
2016-01,Buy Put,31443.618087244828
2016-01,Buy Put,42562.22205395588
2016-01,Buy Put,170521.263479678
2016-01,Buy Put,202894.1732198639
2016-01,Buy Put,234401.64273777243
2016-01,Buy Put,265073.36902252375
2016-01,Buy Put,294933.564320214
2016-01,Buy Put,308352.4150515835
2016-01,Buy Put,279930.4418432236
2016-01,Buy Put,327190.0343564873
2016-01,Buy Put,325517.821759302
2016-01,Buy Put,323842.52101215336
2016-01,Buy Put,322164.53279207257
2016-01,Buy Put,309147.13450358633
2016-01,Buy Put,315893.06698016985
2016-01,Buy Put,305262.0604980945
2016-01,Buy Put,309204.6288466079
2016-01,Buy Put,319235.06979220663
2016-01,Buy Put,329173.0016972885
2016-02,Buy Put,339023.3342924134
2016-02,Buy Put,370815.51497518463
2016-02,Buy Put,375980.0774328923
2016-02,Buy Put,380116.99689327116
2016-02,Buy Put,496546.81534091337
2016-02,Buy Put,593834.2560772938
2016-02,Buy Put,683193.1916751302
2016-02,Buy Put,762698.8854480814
2016-02,Buy Put,790822.7030430695
2016-02,Buy Put,801840.3936232339
2016-02,Buy Put,767476.3019049102
2016-02,Buy Put,779033.8572493028
2016-02,Buy Put,778592.4683273251
2016-02,Buy Put,778154.2592449941
2016-02,Buy Put,777704.7635579244
2016-02,Buy Put,777261.0940224461
2016-02,Buy Put,758799.485909428
2016-02,Buy Put,803053.2337631406
2016-02,Buy Put,824242.485591908
2016-02,Buy Put,823454.8691655447
2016-02,Buy Put,822668.1239074587
2016-02,Buy Put,821879.9757330277
2016-02,Buy Put,833833.9705211837
2016-02,Buy Put,809156.6353174873
2016-02,Buy Put,783467.4603409191
2016-02,Buy Put,799448.5993093505
2016-02,Buy Put,794959.2098276721
2016-02,Buy Put,790421.4949907989
2016-02,Buy Put,785833.4410337555
2016-03,Buy Put,750398.9865992899
2016-03,Buy Put,776444.0475915322
2016-03,Buy Put,769043.0824719705
2016-03,Buy Put,773685.5337703243
2016-03,Buy Put,789629.3416233391
2016-03,Buy Put,804981.4947684873
2016-03,Buy Put,819821.5529657436
2016-03,Buy Put,795751.3781506638
2016-03,Buy Put,812108.4329264346
2016-03,Buy Put,808699.2844547947
2016-03,Buy Put,808936.7772906169
2016-03,Buy Put,807809.1410739763
2016-03,Buy Put,806681.0737612649
2016-03,Buy Put,805561.2213954059
2016-03,Buy Put,828753.2479668922
2016-03,Buy Put,849572.8087436785
2016-03,Buy Put,879316.2128906288
2016-03,Buy Put,831662.3636252824
2016-03,Buy Put,847213.5920013741
2016-03,Buy Put,862598.7026740703
2016-03,Buy Put,878167.66616635
2016-03,Buy Put,879604.3124087234
2016-03,Buy Put,887227.7644578048
2016-03,Buy Put,858645.620491254
2016-03,Buy Put,861235.940341393
2016-03,Buy Put,863834.2678842488
