Month,Arbitrage Type,Gain
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,No Arbitrage,0.0
2016-01,Buy Put,313480.8490657903
2016-01,Buy Put,243170.31824169532
2016-01,Buy Call,24172.102848211805
2016-01,Buy Call,32465.997021354553
2016-01,Buy Call,501002.3682247073
2016-01,Buy Call,461781.8622758332
2016-01,Buy Call,412259.5812513019
2016-01,Buy Call,341287.10817580554
2016-01,Buy Call,268121.0496647495
2016-01,Buy Call,125862.67181486831
2016-01,Buy Put,191424.45662612672
2016-01,Buy Put,5992.580128054925
2016-01,Buy Put,100242.3437758857
2016-01,Buy Put,150018.79694200683
2016-01,Buy Put,164105.0582915078
2016-01,Buy Put,230171.3767628506
2016-01,Buy Put,174298.44951237427
2016-01,Buy Put,209587.50556083673
2016-01,Buy Put,164467.25528561146
2016-01,Buy Put,97956.3825293397
2016-01,Buy Put,50418.2367018764
2016-02,Buy Put,12764.088788593142
2016-02,Buy Call,127878.57381122692
2016-02,Buy Call,62331.436003209004
2016-02,Buy Put,3979.319422541039
2016-02,Buy Call,550566.1423222019
2016-02,Buy Call,783832.8258048453
2016-02,Buy Call,896249.1056648272
2016-02,Buy Call,948889.0619909079
2016-02,Buy Call,777037.3975209406
2016-02,Buy Call,477091.87389851594
2016-02,Buy Put,204965.7223177448
2016-02,Buy Put,252087.11688427598
2016-02,Buy Put,319467.6189206014
2016-02,Buy Put,309007.9598270421
2016-02,Buy Put,250180.714690039
2016-02,Buy Put,181059.7379357617
2016-02,Buy Put,267616.59269836004
2016-02,Buy Call,201216.15471344968
2016-02,Buy Call,316503.72127572977
2016-02,Buy Call,164493.4988200397
2016-02,Buy Call,21538.13774390656
2016-02,Buy Put,80468.83973598185
2016-02,Buy Put,14096.810712832308
2016-02,Buy Put,297449.26722130313
2016-02,Buy Put,447753.8438875719
2016-02,Buy Put,214418.1389973454
2016-02,Buy Put,182597.68787168086
2016-02,Buy Put,147962.59310211823
2016-02,Buy Put,137627.45382173592
2016-03,Buy Put,371396.0882671934
2016-03,Buy Put,61356.135882231654
2016-03,Buy Put,105179.90771894858
2016-03,Buy Put,40267.45605579052
2016-03,Buy Call,104809.8713240897
2016-03,Buy Call,185324.8471987854
2016-03,Buy Call,229568.19187207957
2016-03,Buy Put,143151.8923362809
2016-03,Buy Put,26980.325257973447
2016-03,Buy Put,116244.8036535615
2016-03,Buy Put,134668.7023514761
2016-03,Buy Put,139003.2552182703
2016-03,Buy Put,142310.29650617443
2016-03,Buy Put,132231.9440805444
2016-03,Buy Call,117233.53853162166
2016-03,Buy Call,262902.10630323685
2016-03,Buy Call,418655.18031056935
2016-03,Buy Put,259308.52780035706
2016-03,Buy Put,121410.5275606876
2016-03,Buy Call,3333.865870182251
2016-03,Buy Call,118065.90288755814
2016-03,Buy Call,35413.38073620892
2016-03,Buy Call,40831.742857228906
2016-03,Buy Put,297766.65359926823
2016-03,Buy Put,232801.65963167575
2016-03,Buy Put,170675.58451856967
2016-03,Buy Put,112015.94721171304
2016-03,Buy Put,67536.96571366064
2016-03,Buy Put,384828.55916415557
2016-03,Buy Put,358585.14035629696
2016-03,Buy Call,251724.78601282934
2016-04,Buy Call,143801.83621550913
2016-04,Buy Call,189937.145763718
2016-04,Buy Call,189956.1807945318
2016-04,Buy Call,172775.51291752502
2016-04,Buy Put,389760.98249609594
2016-04,Buy Put,522700.9224304311
2016-04,Buy Put,255114.51825947518
2016-04,Buy Call,148348.5169882286
2016-04,Buy Call,113493.1954021816
2016-04,Buy Call,66894.07529191626
2016-04,Buy Put,4419.647611918264
2016-04,Buy Put,23216.920353142712
2016-04,Buy Call,363577.4908892877
2016-04,Buy Call,111617.67634188636
2016-04,Buy Put,402561.6836345627
2016-04,Buy Put,519192.430256723
2016-04,Buy Put,554474.6534117522
2016-04,Buy Put,550245.0222545967
2016-04,Buy Call,21208.292774797854
2016-04,Buy Put,348797.44274583756
2016-04,Buy Put,622255.9576215207
2016-04,Buy Put,397136.78975350317
2016-04,Buy Put,313752.9715897678
2016-04,Buy Put,253383.8767889449
2016-04,Buy Put,223616.00384730095
2016-04,Buy Call,107300.41903110532
2016-04,Buy Call,174943.57117033843
2016-04,Buy Call,100327.91605414459
2016-04,Buy Put,617993.4632698352
2016-04,Buy Put,533694.741695058
2016-05,Buy Put,432337.0373433484
2016-05,Buy Put,318326.8491218776
2016-05,Buy Put,400325.96287250397
2016-05,Buy Call,180330.81490359138
2016-05,Buy Call,600825.0128754966
2016-05,Buy Call,510988.8683157209
2016-05,Buy Call,288653.92072528094
2016-05,Buy Call,63187.68168515732
2016-05,Buy Put,117198.20547113713
2016-05,Buy Put,321585.3775142925
2016-05,Buy Put,328034.8936449542
2016-05,Buy Call,835995.748932044
2016-05,Buy Call,695341.6842425213
2016-05,Buy Call,276357.5464658672
2016-05,Buy Put,142736.67075344676
2016-05,Buy Put,388030.15724387177
2016-05,Buy Put,792883.5173645723
2016-05,Buy Put,696834.0912610546
2016-05,Buy Put,775147.667144049
2016-05,Buy Put,912034.3600517815
2016-05,Buy Put,629411.9442914692
2016-05,Buy Put,259699.97920746478
2016-05,Buy Call,33135.4646069002
2016-05,Buy Call,433414.5682984101
2016-05,Buy Call,23955.562327774514
2016-05,Buy Call,374903.7142320617
2016-05,Buy Call,438516.42114191945
2016-05,Buy Call,375776.3841790656
2016-05,Buy Call,293977.7739709619
2016-05,Buy Call,235402.48792393116
2016-05,Buy Call,201081.36082185624
2016-06,Buy Call,286709.65116290504
2016-06,Buy Put,101017.63176597345
2016-06,Buy Call,19058.846567247656
2016-06,Buy Put,184187.56709513674
2016-06,Buy Put,285758.1848228605
2016-06,Buy Put,334201.01864019
2016-06,Buy Put,616317.3514847014
2016-06,Buy Put,323293.682452082
2016-06,Buy Put,57244.94151542814
2016-06,Buy Put,94700.56601258037
2016-06,Buy Put,19459.095562119444
2016-06,Buy Call,10982.371438366556
2016-06,Buy Call,10653.020743149
2016-06,Buy Call,356708.26355827146
2016-06,Buy Call,155595.67326740976
2016-06,Buy Put,89733.0334511004
2016-06,Buy Put,350187.03399392235
2016-06,Buy Put,338695.9523623041
2016-06,Buy Put,305416.0147725398
2016-06,Buy Put,265978.210996078
2016-06,Buy Call,263842.0029968458
2016-06,Buy Call,233303.52348727602
2016-06,Buy Call,82583.14104268294
2016-06,Buy Call,353544.54667333
2016-06,Buy Call,197413.87875956917
2016-06,Buy Call,61398.108687736654
2016-06,Buy Put,32904.74939611343
2016-06,Buy Call,53140.14560066482
2016-06,Buy Call,318153.72830764944
2016-06,Buy Call,206992.3059218226
2016-07,Buy Put,326954.9115843802
2016-07,Buy Put,301238.33994982264
2016-07,Buy Put,250937.2117224906
2016-07,Buy Put,185329.5036250202
2016-07,Buy Put,131212.24447758094
2016-07,Buy Call,62586.828256783636
2016-07,Buy Call,24161.41595143273
2016-07,Buy Put,46660.53927034497
2016-07,Buy Put,110063.7984634858
2016-07,Buy Put,159850.89499105953
2016-07,Buy Put,186251.68589002072
2016-07,Buy Call,388173.0572784612
2016-07,Buy Call,373994.17153526924
2016-07,Buy Call,186107.7182419031
2016-07,Buy Call,78186.37584567156
2016-07,Buy Put,63938.92691747638
2016-07,Buy Put,140240.51506198276
2016-07,Buy Put,178764.44804435465
2016-07,Buy Put,398400.83054945554
2016-07,Buy Put,236715.0426632243
2016-07,Buy Put,256549.41687834664
2016-07,Buy Put,145657.1975694665
2016-07,Buy Put,95897.67166407626
2016-07,Buy Put,73268.01460623145
2016-07,Buy Put,62465.17798771478
2016-07,Buy Put,73264.32996606157
